material_id,condition_core_id,condition_group_id,centroid_similarity,assignment_margin,assignment_status,observation_count,exact_recipe_id_count,core_display,solvent_cross_reference,additive_cross_reference,other_context_cross_reference,complete_condition_display,assignment_reason,parse_warnings
CMAT1:000338da16da4e192bec0f6f669293810459aa7f36c8d68d5b5950442f244baa,CCOREPOC1:8f11876b6f0383869fbb65faacd3225917655cf4b93268280300b3190ea268ee,CGPOC2:a2bd81d36b7becd7009dfb46eb484f6b132f98309b223fee54cc16eb8bae6036,0.977731,0.00896,review,1,1,TMSOK [base]; AmPhos Pd(crotyl)Cl [catalyst]; AmPhos [ligand],meoh,,,TMSOK [base]; AmPhos Pd(crotyl)Cl [catalyst]; AmPhos [ligand]; MeOH [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:000406cf675c6b4f9e76f406974b9dff8c11c59a31145ec0a9471c2afee511e8,CCOREPOC1:344a38ef8d870d3a768707dbe142588635e401719e101ea896d2246a3470930d,CGPOC2:a611266ed0404eb7113510a9849f6b93893bb205dd33135ccdf2a71fabd13eda,0.977711,0.058618,supported,1,1,DIPEA [base]; PEPPSI-IPENT [catalyst]; IPent [ligand],propionitrile,,,DIPEA [base]; PEPPSI-IPENT [catalyst]; IPent [ligand]; Propionitrile [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:0009f62c4f91d1a95747a90d80a26d44d91599bbab92ea697e4d0bc463d1e979,CCOREPOC1:f1991117aba785ffb8f91238ca530f7befe609cfdf45cb36b34b4b9ac627a954,CGPOC2:986f20cb7efae48872337388fea5567228834a3c860006dd869727f69ccca6bc,0.997399,0.016207,review,8,1,DIC [coupling_reagent],anisole + dmi,,,DIC [coupling_reagent]; anisole [solvent]; DMI [solvent]; No ligand,LEARNED_DECISIVE_CORE_GROUP,
CMAT1:000c1c57a1c6852b23396f68980c370d8dffcd3e72042395b411d2c58a1cc5bd,CCOREPOC1:6e3f97bbe5329bc7e5c0d9b94ac9869a096e036cf0a039b74cf1f14bd74fa7a4,CGPOC2:8c162a04357a464a55f0a2dad95cdea6473a01e1fa32003fdadf9d397ff5a715,0.980877,0.029659,provisional,1,1,K2CO3 [base]; XantPhos Pd G2 [catalyst]; XantPhos [ligand],dioxane,,,K2CO3 [base]; XantPhos Pd G2 [catalyst]; XantPhos [ligand]; Dioxane [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:00121ced5b925dbe9d0bf230ef2881a0d641d4f3ac491f3a20d0078b92e2fa87,CCOREPOC1:031ff2d946b33935eb580f5fc5bec6bfb097eddb14ae8844798dd1d2f23d0a9c,CGPOC2:8246b1f2de5d1a8fa561bb0c59f5b27c9119e5e86980f24229ad3bac6d685e17,0.997031,0.052673,supported,1,1,TMP [base]; tBuBrettPhos Pd(allyl)OTf [catalyst]; tBuBrettPhos [ligand],dmi,,,TMP [base]; tBuBrettPhos Pd(allyl)OTf [catalyst]; tBuBrettPhos [ligand]; DMI [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:001240516cf0fef8731b660554d6ad127098519af0782ea2f5a392ae5ab4feeb,CCOREPOC1:e99808c9936281534f7fe156480c294449b7436a001ad468fcc681d9176a6e36,CGPOC2:8682b65a16a336de17ba2ff6197780fc842d8942a64153c108ebf25b145be843,0.995638,0.621214,supported,1,1,TMG [base]; tBuXPhos Pd G3 [catalyst]; tBuXPhos [ligand],anisole,,,TMG [base]; tBuXPhos Pd G3 [catalyst]; tBuXPhos [ligand]; anisole [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:0012815d65c920b6480e0372c359b924a0e43351ff2586b2d760c99f2c44837c,CCOREPOC1:c81ccc8705eb4c15ed1ec38666612061c040a213572610fff64ec86b0dd9ddf9,CGPOC2:f635431829dc4e78e98f6e38819be685db8e122946602936cbfb40e991bf4c2d,0.993662,0.004451,review,1,1,Li2CO3 [base]; T3P [coupling_reagent],acetone,,,Li2CO3 [base]; T3P [coupling_reagent]; acetone [solvent]; No ligand,LEARNED_DECISIVE_CORE_GROUP,
CMAT1:0013e22d87e0993bf70b633c9c92ee99767d0513aa8985d985cb9c2461d26f4f,CCOREPOC1:3c0703358df0af86b53d090b93b365c0f8425360872a337785d5ab909ce45bc4,CGPOC2:aa9b05679219ed9d9142235c989fd6f3cfaf2cfff11a625d589c180f35a7b89b,0.999968,0.051885,supported,1,1,K3PO4 [base]; meCgPPh Pd G3 [catalyst]; meCgPPh [ligand],anisole + brij 35 + water,potassium 2-ethylhexanoate,,Potassium 2-ethylhexanoate [additive]; K3PO4 [base]; meCgPPh Pd G3 [catalyst]; meCgPPh [ligand]; anisole [solvent]; Brij 35 [solvent]; water [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:0013fccf617cd116582d7086e7fde4bf7098a7aac09833984bce5c87af15604e,CCOREPOC1:b16d96a5989eede09bd073e526f4a8fb6d15ca3f73bc5b9060e40158ffda7e3d,CGPOC2:251ab07b848077d72a9b3b1328bdeeda5245800c082312757d9d98969863c46b,0.992413,0.17538,supported,1,1,LiOtBu [base]; Cu(MeCN)4BF4 [catalyst]; diphenethyloxamide [ligand],dmi,,,LiOtBu [base]; Cu(MeCN)4BF4 [catalyst]; diphenethyloxamide [ligand]; DMI [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:0016c7f65af584e5f80f32e84dc6dd3c4260775ad8ef9d513bd5715fad3d75ff,CCOREPOC1:8c221b0b3e2641f588f3222514ffada0dbf6a73d989f756ac2fea4fa525f5cdd,CGPOC2:f635431829dc4e78e98f6e38819be685db8e122946602936cbfb40e991bf4c2d,0.996863,0.007799,review,1,1,DMAP [base]; MukayamaReagent [coupling_reagent],dcm,,,DMAP [base]; MukayamaReagent [coupling_reagent]; DCM [solvent]; No ligand,LEARNED_DECISIVE_CORE_GROUP,
CMAT1:00176da460bd5ad07842abe49de2f0016f1690ecb25a4331a2756ab2a5607d25,CCOREPOC1:854aa80fe5e32e44f3dd4e4ea93e63c7f5f04c96b61a3b1353cfd408057acb32,CGPOC2:c1db1e203bf8037ca589a6bdec91fb0ca6a9276ab201f63a44c909fbeed382ab,0.999891,0.050785,supported,2,2,K3PO4 [base]; XantPhos Pd(allyl)Cl [catalyst]; XantPhos [ligand],tpgs-750m + water,,,K3PO4 [base]; XantPhos Pd(allyl)Cl [catalyst]; XantPhos [ligand]; TPGS-750M [solvent]; water [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:001c2022eaf948402406af7b0304de0368571694539fcf89a934a8bf9f7c7936,CCOREPOC1:c750c890e0f3079d5f625e32023abc69b9ebbd66ea2a5f2b614f18b81b5401e3,CGPOC2:7a10336da65efe5cb21b801f643e14b74677c33004e2a6e2d7f1cdc339f7ce64,0.992846,0.049293,provisional,1,1,KOtBu [base]; Pd-PEPPSI-IPent Cl o-picoline [catalyst]; IPENT Cl [ligand],methf,,,KOtBu [base]; Pd-PEPPSI-IPent Cl o-picoline [catalyst]; IPENT Cl [ligand]; MeTHF [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:001d4d63f844c07b5a55187a35e970fc96a9320648c537c5d2fc752760730f3a,CCOREPOC1:0326373d61093dc0d26ad9aaa9f66596f0902309298666b281161c33784e5147,CGPOC2:01a978c7c8402206f4565696009755629848a565b858d739dab7884923386beb,0.990916,0.026384,provisional,2,2,K2CO3 [base]; Piperidinyl-amino-pincer PdCl [catalyst]; Piperidinyl-amino-pincer [ligand],tamoh,,,K2CO3 [base]; Piperidinyl-amino-pincer PdCl [catalyst]; Piperidinyl-amino-pincer [ligand]; tAmOH [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:00238aa0322eddbe6fcf8604b5bce9e418b2c049d3456a64fb039b14c89e059a,CCOREPOC1:8c19cd1e526ac1de64db816d599fe488ca970234c2f41f8dd9ebb16e41028e5d,CGPOC2:bf914a5022d53b58905323554be7b21238b0a442b46fb70a1be41887d75d92e9,0.996348,0.105434,supported,2,2,(Ru(p-cymene)Cl2)2 [catalyst]; No ligand,tamoh,acoh,,AcOH [additive]; (Ru(p-cymene)Cl2)2 [catalyst]; tAmOH [solvent]; No ligand,LEARNED_DECISIVE_CORE_GROUP,
CMAT1:00262bc35e28bd9a9dd1a5a7473c7c92bde6c3b38eb283f3799ac09c768ea6f1,CCOREPOC1:462b50a00d5bcf281859261f6cac669d14202bd7cf18a161e9ee7036564c2239,CGPOC2:bbcd238e4b3f8f052f840f4ec8c9ed3223385695dadbe2343f0ec960d788d082,0.997988,0.078122,supported,1,1,Cs2CO3 [base]; GPhos Pd G6 Br [catalyst]; GPhos [ligand],phme,,,Cs2CO3 [base]; GPhos Pd G6 Br [catalyst]; GPhos [ligand]; PhMe [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:0026c5c76a5ffeeb7ea4209f29ae4cc52021456daf1cd2114b88d2db29bc68a5,CCOREPOC1:88e2dde25f8594cd37c5933ad921d7b053454a59e48b8104b1e22e407f26bece,CGPOC2:dbfc4bceb55f64e56485f8dff2d1fae2f330d7e592e1f90afef7ef3edfb4dc78,0.990956,0.124247,supported,2,2,K3PO4 [base]; RockPhos Pd G6 Br [catalyst]; RockPhos [ligand],dmso,,,K3PO4 [base]; RockPhos Pd G6 Br [catalyst]; RockPhos [ligand]; DMSO [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:0026dee1bf19cd3db18fe1234c461e8c9dd08de4c2ee7e64a535f4d494cb64f4,CCOREPOC1:f7d657bde7d0ae2615bc1385f2c598e51cf37a3bfcfd6a4df7f68fb6a2c2e2d7,CGPOC2:f635431829dc4e78e98f6e38819be685db8e122946602936cbfb40e991bf4c2d,0.997086,0.007405,review,2,2,DMAP [base]; BOP-Cl [coupling_reagent],dmi,,,DMAP [base]; BOP-Cl [coupling_reagent]; DMI [solvent]; No ligand,LEARNED_DECISIVE_CORE_GROUP,
CMAT1:0027fb844fd8b92c9fa17f541b2b2cb220b51eb3674877c83e14ab0d94735a90,CCOREPOC1:d5529586114155589dcefde1b38a3085b1c3fdd2284f56585dcf4a8974836b72,CGPOC2:3158fad106b1225cd58b40eb0474bc377cab713702d30071dc6b4c585186df16,1.0,0.062138,supported,33,23,Cs2CO3 [base]; tBuBrettPhos Pd(allyl)OTf [catalyst]; tBuBrettPhos [ligand],dioxane,,,Cs2CO3 [base]; tBuBrettPhos Pd(allyl)OTf [catalyst]; tBuBrettPhos [ligand]; Dioxane [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:00295e48adc4046de90d073501d5f7ba88374d4441e1e9b24e44a79db70b052e,CCOREPOC1:ca8495ca527713ceae2b84be5de4304c03f8d76c99ffbc3bda5e17ca0f95819d,CGPOC2:368523d119aab242363944fc0b687f1ff26df73a9978675397eb2910ed2bd406,0.997064,0.014264,review,1,1,TMEDA [base]; AmPhos2PdCl2 [catalyst]; AmPhos [ligand],methf + tpgs-750m,octanoic acid,,Octanoic acid [additive]; TMEDA [base]; AmPhos2PdCl2 [catalyst]; AmPhos [ligand]; MeTHF [solvent]; TPGS-750M [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:00298baac3d1d90593c11917dc4503ae0f10e05e1c88f79f2b0db289373797a5,CCOREPOC1:153f9b1ec37f9e60a389a887e1d70d351a53dd7806d36eeb3a34466c8ef823a7,CGPOC2:abf9ce37ca97b0bfab358f03b2ac18d9ddb755772d3cb8a083b7605293cac5ee,0.988831,0.073967,supported,1,1,LiOTMS [base]; RockPhos Pd G6 Br [catalyst]; RockPhos [ligand],tamoh,,,LiOTMS [base]; RockPhos Pd G6 Br [catalyst]; RockPhos [ligand]; tAmOH [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:002d1749ad7a23d5b9c99c3166b37c953b1c450b682967e98246238a1cd4f29f,CCOREPOC1:221fd4f3908f1a262b4b0099be6035b459b0dc787485d0e68963eab4acec772c,CGPOC2:b4ff2d96f4332486a154de597b674425692a05e435554fa62d16c53f8b7a8ff8,0.988892,0.015571,review,1,1,K3PO4 [base]; Pd(Cinnamyl)Cl)2 [catalyst]; Missing [ligand],nmp + phme,,,K3PO4 [base]; Pd(Cinnamyl)Cl)2 [catalyst]; Missing [ligand]; NMP [solvent]; PhMe [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:002e33c8ce91a835349e25d9e225ff4bc85db0978f3bc3b98acd47d4bbda63b5,CCOREPOC1:37f165127bf6a12bf3c2f29798dcf03ff0e6fb268dea0baf424e09dee4341d60,CGPOC2:55bfb2bb902b7e7c798bb436b04dcaa90bac0e4478389ecd82ea2dd821f3af14,0.99991,0.058962,supported,4,3,K3PO4 [base]; dtbpfPdCl2 [catalyst]; dtbpf [ligand],tamoh + water,tbac,,TBAC [additive]; K3PO4 [base]; dtbpfPdCl2 [catalyst]; dtbpf [ligand]; tAmOH [solvent]; water [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:0030cc54e72a21e53eb0f753ba7600c5def72bbc5968018516bffa1b5968d920,CCOREPOC1:a1ac3ded08570eccee79badb37881199fecf0db62e8b0f409b20562f24569f44,CGPOC2:db0df8b0dc51263490da0636222878b43cab4ddd379fc1809de6fbe70104cc12,0.999119,0.13633,supported,1,1,AmPhos2PdCl2 [catalyst]; AmPhos [ligand],thf,"brij 30, sodium octanoate",,"Brij 30, Sodium octanoate [additive]; AmPhos2PdCl2 [catalyst]; AmPhos [ligand]; THF [solvent]",LEARNED_DECISIVE_CORE_GROUP,
CMAT1:0030f5222dd70f1640f59669a00891f951fdcc1957ef3b90896308f0e9909273,CCOREPOC1:27152465587aad1bc5123ab24abd67eac872dce007ce6a45ea43dea57042a606,CGPOC2:59db6aca6069e081e8c2bbecbdce92de3162d4e2f9a9319f8fc79b7de5b4a9a8,0.989118,0.077739,supported,3,2,CataCXiumA Pd(allyl)Cl [catalyst]; CataCXiumA [ligand],nmi,,,CataCXiumA Pd(allyl)Cl [catalyst]; CataCXiumA [ligand]; NMI [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:0034ffa764e41123baecab45f109cc099e42792602bcc1934af19536e6ebc5f3,CCOREPOC1:88e612447b65f994731d7474d396391c372f678dd9eb7afe9f14d67d0b896cf7,CGPOC2:bf363f08d15bc93285438b9017604905a208d9be95a31517d541cbf58276743c,0.925383,0.084438,supported,1,1,DIPEA [base]; AlphosPd)2cod [catalyst]; AlPhos [ligand],propionitrile,,,DIPEA [base]; AlphosPd)2cod [catalyst]; AlPhos [ligand]; Propionitrile [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:0036746db1050c7240242bfa21946e5ea5d1b0215626578632fd73bf15f27f60,CCOREPOC1:dc149e0f9ae6bc6664f2b101000afd8e9c65283927c1d4811af874eb96c068c2,CGPOC2:6255f5970a346990a3cbe0ff71ded6a1389b24c13ec7843b38ce8cef791341eb,0.997733,0.169447,supported,8,8,DBU [base]; PyClOP [coupling_reagent],mecn,,,DBU [base]; PyClOP [coupling_reagent]; MeCN [solvent]; No ligand,LEARNED_DECISIVE_CORE_GROUP,
CMAT1:0037fbaa47ec7cb8edd4468e6cbb10d2efc524e6a61742ec71bc9a0a7c2bec1f,CCOREPOC1:699e6ab93704367eb38efc8cd946b76b1e5d87e7dd0cc1ca88a0a0dae54043f8,CGPOC2:f635431829dc4e78e98f6e38819be685db8e122946602936cbfb40e991bf4c2d,0.998083,0.012036,review,2,2,NMI [base]; CDI [coupling_reagent],dmi,,,NMI [base]; CDI [coupling_reagent]; DMI [solvent]; No ligand,LEARNED_DECISIVE_CORE_GROUP,
CMAT1:003d861dc86980e7dafb6e01941fea73ed942a886aa7db372a6cc93dad8c5f93,CCOREPOC1:a5fe68323ba8d2695c81f0ac73ab416a383162697f103ddd19c43b438606fd85,CGPOC2:b4ff2d96f4332486a154de597b674425692a05e435554fa62d16c53f8b7a8ff8,0.9872,0.012661,review,1,1,K3PO4 [base]; [Pd(allyl)(Ph-DavePhos)]OTf [catalyst]; Ph-DavePhos [ligand],dmi,,,K3PO4 [base]; [Pd(allyl)(Ph-DavePhos)]OTf [catalyst]; Ph-DavePhos [ligand]; DMI [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:003e18565d85bb1f7db6f9b0c990c979a7df652ff34589550cfbf5cbe69d6357,CCOREPOC1:3f0ac30b53d304b464fbbc1695bd3e38efa5b19a19105227f7e16fbcc8eabad6,CGPOC2:04c858ed0e12dafc25ce9f74b60c8afc9124ed2ef16c812ee09ed28a29adaa2d,0.953982,0.070638,supported,1,1,K2CO3 [base]; JosiphosSL-J009-1 Pd G3 [catalyst]; JosiphosSL-J009-1 [ligand],mecn,water,,water [additive]; K2CO3 [base]; JosiphosSL-J009-1 Pd G3 [catalyst]; JosiphosSL-J009-1 [ligand]; MeCN [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:0045025345b5fb982f9c3fda17c747c64458c4b0ca73eefd952f650d5bf41c7d,CCOREPOC1:5fe2ade6658e468e9c626c30c7beee2084fdd9cf097e57e75abe1e9fad55408c,CGPOC2:896899974226b9d60c74658f7766721fe56cfc056c552459715f1e26dd8c4e2b,0.985,0.053407,supported,2,2,TMSOK [base]; BippyPhos Pd(allyl)OTf [catalyst]; BippyPhos [ligand],dmi,,,TMSOK [base]; BippyPhos Pd(allyl)OTf [catalyst]; BippyPhos [ligand]; DMI [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:0046aabc057e91a390f27edd618429fae0787fe0d89d858de2993bfaca518c96,CCOREPOC1:b6d6d2c3f6162f46e5a7f881ab9535ea2c5b7e43d5f107728e9eb8f26377f054,CGPOC2:a2bd81d36b7becd7009dfb46eb484f6b132f98309b223fee54cc16eb8bae6036,0.949285,0.037636,provisional,1,1,Cs2CO3 [base]; AmPhos Pd(crotyl)Cl [catalyst]; AmPhos [ligand],buoh + water,tbab,,TBAB [additive]; Cs2CO3 [base]; AmPhos Pd(crotyl)Cl [catalyst]; AmPhos [ligand]; BuOH [solvent]; water [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:004779759c76926a3b3839b3a9547c2074b2d9e147fa2f2f2961704280b6dd95,CCOREPOC1:afc7968e25803a4a5d21fada6ded9003b4f9e744a73872ea407e9bb089708486,CGPOC2:558a3288cd6a1a4d855647238ed801e8f966ccb98b412effd2e32e070dc57981,0.948465,0.065952,supported,1,1,DBU [base]; cBridP Pd(allyl)Cl [catalyst]; cBridP [ligand],phme,,,DBU [base]; cBridP Pd(allyl)Cl [catalyst]; cBridP [ligand]; PhMe [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:00482135f1cc147a8cb19e508fa90dea5a0829d0c77022aa803e4c0445554930,CCOREPOC1:a65ee54566402cb61c1e12b20e3651a8795e94185d1d5f1cff5a233b659f718a,CGPOC2:04c858ed0e12dafc25ce9f74b60c8afc9124ed2ef16c812ee09ed28a29adaa2d,0.929536,0.059066,supported,1,1,JosiphosSL-J009-1 Pd G3 [catalyst]; JosiphosSL-J009-1 [ligand],dmi,licl,,LiCl [additive]; JosiphosSL-J009-1 Pd G3 [catalyst]; JosiphosSL-J009-1 [ligand]; DMI [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:00499c12125e381d9cd189a4fac37978dba6fb3ba9d227deba63e454b6a0121e,CCOREPOC1:ab079618bcf9eb7bfe3c98a404b0e7db3389d2422854aa82fe2c87a8f8e03521,CGPOC2:b9664e056fbe059ba4ecdfe30ffb39271517fcc330474aee0b40df03d34ebaa2,1.0,0.204289,supported,1,1,NEt3 [base],dmi + nproac,,,NEt3 [base]; DMI [solvent]; nPrOAc [solvent]; No ligand,LEARNED_DECISIVE_CORE_GROUP,
CMAT1:004c2f0f31c37ce3a1073446bc4872066c2e53b7dcf766a0762c68eff3737e28,CCOREPOC1:34d9979d6bbec54100cb44777242821ef1d098bf8ed05ff8a0c7a88ac8497ece,CGPOC2:01a978c7c8402206f4565696009755629848a565b858d739dab7884923386beb,0.941892,0.042998,provisional,1,1,K2CO3 [base]; Jackie CPhos Pd G4 [catalyst]; Jackie CPhos [ligand],mecn,water,,water [additive]; K2CO3 [base]; Jackie CPhos Pd G4 [catalyst]; Jackie CPhos [ligand]; MeCN [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:0052208627fd7d5dc9d1a4f527ccfd6cbb6544b6fb37b3183a72176ad44e4873,CCOREPOC1:205a12048e541cdcd52dfac252d6eec120dc7215b9ae04dcb23ff4cfc56f7729,CGPOC2:05ab93755391964e155e1e507172ce0686f7ea2a44aa8ecc206302fb6c001d41,1.0,0.137818,supported,1,1,K3PO4 [base],nmp,nai,,NaI [additive]; K3PO4 [base]; NMP [solvent]; No ligand,LEARNED_DECISIVE_CORE_GROUP,
CMAT1:00564f345661a6a0643917bfb190370c8ff26714948e3995f2360b7d2e5af275,CCOREPOC1:a0bb796eab788d57bd3ad141f794adf4de067cbf95d474677bd7d7e601b29608,CGPOC2:cdbba2bcb322e0c7adcfd9b8e01558a73ab68638ba60005b28a718769aeb6ef1,0.994442,0.093277,supported,1,1,KOH [base]; bridged tBuPhosphinito PdCl2 [catalyst]; bridged tBuPhosphinito [ligand],cpme + water,,,KOH [base]; bridged tBuPhosphinito PdCl2 [catalyst]; bridged tBuPhosphinito [ligand]; CPME [solvent]; water [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:005744ac7732289af864cbead3f330d08134fd1ba27c1b234b3bee1e35cbdd2e,CCOREPOC1:a06a599d70c1d7a9eadd30ead08620ae33dc8e4fb09c5ddbbd741fa9b9febc4f,CGPOC2:8682b65a16a336de17ba2ff6197780fc842d8942a64153c108ebf25b145be843,0.985268,0.629731,supported,1,1,TMSOK [base]; tBuXPhos Pd G3 [catalyst]; tBuXPhos [ligand],methf,,,TMSOK [base]; tBuXPhos Pd G3 [catalyst]; tBuXPhos [ligand]; MeTHF [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:005916399a5103a22cf0324253ffd2873faa9d84d41343d7fa1b901318e9ec71,CCOREPOC1:c09c558743eca8135a9640ae1fc2192348f9c47fd3dcbdac0ae45001685da37c,CGPOC2:a055495df2bc6449ab288cfd1597e765727922724ff49dad604d1dbfa3da6dc2,0.999516,0.202905,supported,2,2,Cs2CO3 [base]; CuI [catalyst]; BTMPO [ligand],dmso,,,Cs2CO3 [base]; CuI [catalyst]; BTMPO [ligand]; DMSO [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:005f5b46c70a9e46e813f796e76c80651c297497e7820e91ff166602e60f2bf4,CCOREPOC1:ab04c018a706271f4d2d6a9707e309d5142b740f894eaf7c06d9a290b0c336aa,CGPOC2:5fbefc4d963ef31244f6f5b6be5eb02da76bf027bf908b0fa4743e2fa12b37d5,0.992681,0.094259,supported,2,2,P(tBu)3 Pd(crotyl)Cl [catalyst]; P(tBu)3 [ligand],thf,acoh + water,,AcOH [additive]; water [additive]; P(tBu)3 Pd(crotyl)Cl [catalyst]; P(tBu)3 [ligand]; THF [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:006097d3afdf34cfdd85d7d424f2e6873bc94b553e67ffca5c316f470f95888a,CCOREPOC1:69550448d0247600b3600c3dc690f15df305b65657fc48fdf58f3af037d00a31,CGPOC2:46da7957c67de8958a6e51e310e5b61016945d9aa41d29edf52f74889bfbd3ab,0.944257,0.047828,provisional,1,1,Cs2CO3 [base]; meCgPPh Pd G3 [catalyst]; meCgPPh [ligand],brij 35 + water,,,Cs2CO3 [base]; meCgPPh Pd G3 [catalyst]; meCgPPh [ligand]; Brij 35 [solvent]; water [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:006607cbedee6870ab07dfe856cb83dc03e7b0c2f263b4c84ce7c76e63644a5d,CCOREPOC1:2ed25f2665c4f5433816a091b8cfe6174ae1c90599b93116226057c32a52bcc2,CGPOC2:ce467fcd32aeef0c28fc89ecf7a6ca369c1501ca5ac21a64c6bed96eb59dc312,0.846777,0.113229,provisional,3,1,LiHMDS [base],cyclohexane,,,LiHMDS [base]; cyclohexane [solvent]; No ligand,LEARNED_DECISIVE_CORE_GROUP,
CMAT1:006776a08905fc535859952c149e4e1c3d6504968be8a4bfd41db501b629e2c5,CCOREPOC1:be0eee4ed451b516c39d969ce85f7b2f588d81ffb6424905f5a55bf5a29bee71,CGPOC2:9ac270e8b19a62111f6136b4b2ca912120044f1036a0485d2c709433ebcc3fcd,0.990099,0.180475,supported,1,1,"NEt3 [base]; Copper(I) thiophene-2-carboxylate, PPh3)2PdCl2 [catalyst]; PPh3 [ligand]",phme,tbac,,"TBAC [additive]; NEt3 [base]; Copper(I) thiophene-2-carboxylate, PPh3)2PdCl2 [catalyst]; PPh3 [ligand]; PhMe [solvent]",LEARNED_DECISIVE_CORE_GROUP,
CMAT1:006934b5e0c94349eccce35ea386fdb6039814a9ff0da2ea3c20c0ef728ad0f2,CCOREPOC1:fbc7a5645780f65a68808d5e92092e49f1ce9a7ca9451df8ff6a50a3f252a30e,CGPOC2:3f996eb3ec118e4386e3167208dca4c5983221a7d4ffd18339607d592ea7cdb0,0.984059,0.085293,supported,1,1,NaHCO3 [base]; cataCXiumA Pd G6 Br)2 [catalyst]; CataCXiumA [ligand],phme + water,meoh,,MeOH [additive]; NaHCO3 [base]; cataCXiumA Pd G6 Br)2 [catalyst]; CataCXiumA [ligand]; PhMe [solvent]; water [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:0069a8c158d816ac11ec0d60006ba54b9d941e583c23c243e63f66071ecb6e2c,CCOREPOC1:9bf00d971b3de1177b56d3cf6e3f6240d893069eee9ee76561547db5ac1755e2,CGPOC2:ce467fcd32aeef0c28fc89ecf7a6ca369c1501ca5ac21a64c6bed96eb59dc312,0.838884,0.131711,provisional,4,3,NaOtBu [base],dmso,,,NaOtBu [base]; DMSO [solvent]; No ligand,LEARNED_DECISIVE_CORE_GROUP,
CMAT1:006a17d66e78edf2513c78ee7491205f04f3d2bbb13a95e0e6638fb0a120b315,CCOREPOC1:3f7599c418f4717f3816a0f11075887fa3bdc5e8de31e9add8543eb5d308795f,CGPOC2:453ed8394a86f21ef59ecd576761b19ad0f0347f0086d013942c99d7b212c731,0.983786,0.192522,supported,2,1,VPhos Pd G4 [catalyst]; VPhos [ligand],ethylene glycol,tmeda,,TMEDA [additive]; VPhos Pd G4 [catalyst]; VPhos [ligand]; ethylene glycol [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:006a525e1d9d05c770056f7d1b30899cef27aca76a27fe395aae26ec5d1e56a5,CCOREPOC1:0aa366fc24655fd5705d838fb69dad7999d90aaf1688327fd5c4ff7192aecd34,CGPOC2:0b4a710a1865865329625a2372028bb0c848b9b0eb9a5ac10565239307ddde40,0.988708,0.177261,supported,1,1,NaOtBu [base]; PyBrOP [coupling_reagent],dmi,,,NaOtBu [base]; PyBrOP [coupling_reagent]; DMI [solvent]; No ligand,LEARNED_DECISIVE_CORE_GROUP,
CMAT1:006bc18949f4c6f4e0742a4db42b932cf423c642e05d18a03077df34eea65b81,CCOREPOC1:206ceea2721ea36def526cd20e5deb479ca2ece8fac4c7e19e3d13937f000a6b,CGPOC2:0b858294378c98269db8b8ea0f1d00614f187f741e2b3de2b75a7b431ae21719,0.859841,0.020875,provisional,3,3,NEt3 [base]; P(tBu)3 Pd G6 [catalyst]; P(tBu)3 [ligand],dmso,,,NEt3 [base]; P(tBu)3 Pd G6 [catalyst]; P(tBu)3 [ligand]; DMSO [solvent],LEARNED_DECISIVE_CORE_GROUP,
