reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-006-CAS-12491324,Amide_formation,9,,0.05,C[C@@H](OC(C)(C)C)[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.CC(C)[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.O=C(O)CNC(=O)OCC1c2ccccc2-c2ccccc21.O=C(N[C@@H](Cc1cnc[nH]1)C(=O)O)OCC1c2ccccc2-c2ccccc21.C[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.O=C(O)[C@@H]1CCCN1C(=O)OCC1c2ccccc2-c2ccccc21.O=C(N[C@@H](CO)C(=O)O)OCC1c2ccccc2-c2ccccc21.N=C(N)NCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.CC(=O)N[C@H]1[C@@H](O[C@H](C)[C@H](NC(=O)OCC2c3ccccc3-c3ccccc32)C(=O)O)O[C@H](COC(C)=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O.O=C(O)C[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.O=C(O)COCCOCCNC(=O)OCC1c2ccccc2-c2ccccc21.CC(=O)CCCC(=O)O>>CC(=O)CCCC(=O)NCCOCCOCC(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(N)=O)[C@@H](C)O)C(C)C)[C@@H](C)O)[C@@H](C)O[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1NC(C)=O)[C@@H](C)O)C(C)C,"Chemistry - A European Journal (2014), 20(48), 15891-15902","71989-35-0, 68858-20-8, 29022-11-5, 116611-64-4, 35661-39-3, 71989-31-6, 120173-57-1, 73724-45-5, 91000-69-0, 119062-05-4, 166108-71-0, 3128-06-1",1639410-31-3,"75-09-2, 90508-21-7, 2592-95-2, 7087-68-5, 94790-37-1, 39968-33-7, 128625-52-5, 694-53-1, 6298-03-9, 108-24-7, 100-68-5, 6485-79-6, 7664-41-7, 1310-73-2, 64-19-7",14221-01-3,"60-29-7, 75-09-2, 68-12-2, 108-95-2, 109-99-9, 7732-18-5, 67-56-1",,,,,,,20,1,9,,,,,,,"microwave irradiation ((stages 3), solid-supported reaction, Tentagel S NH2 resin used, solid phase peptide synthesis method used, Fmoc chemistry used, Fmoc cleaved using piperidine/DMF for 3 minutes under microwave irradiation (stage 1), 4, 5, 6, 7, 8, 9, 10, 13 and 15)"
31-006-CAS-12542885,Amide_formation,89,,,O=C(O)CCc1ncc(-c2ccc(Br)cc2)o1.Nc1ccccc1C1OCCO1>>O=Cc1ccccc1NC(=O)CCc1ncc(-c2ccc(Br)cc2)o1,"Organic Letters (2016), 18(3), 460-463","6314-28-9, 5003-71-4",29174-71-8,"7087-68-5, 39968-33-7, 148893-10-1",104-15-4,"68-12-2, 67-64-1",,,,,,,3,1,89,,,,,,,
31-006-CAS-1307139,Amide_formation,80,,,O=C(O)c1cccc(-c2ccccc2)c1.C[Si](C)(C)OC[C@H]1OC(O[Si](C)(C)C)[C@H](N)[C@@H](O[Si](C)(C)C)[C@@H]1O[Si](C)(C)C>>O=C[C@H](NC(=O)c1cccc(-c2ccccc2)c1)[C@@H](O)[C@H](O)[C@H](O)CO,"ACS Medicinal Chemistry Letters (2016), 7(3), 217-222","10602-00-3, 15028-39-4",265137-21-1,"7087-68-5, 94790-37-1",,75-09-2,,,,,,,1,1,80,,,,,,,alternative reaction conditions shown
31-006-CAS-13754210,Amide_formation,20,,,C=CCOC(=O)CNC(=O)[C@H](Cc1cn(COCc2ccccc2)cn1)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CO[Si](C)(C)C(C)(C)c1ccc(NC(=O)CCC(=O)O)cc1)NC(=O)OCC1c2ccccc2-c2ccccc21.O=C(O)CNC(=O)OCC1c2ccccc2-c2ccccc21.CC(=O)N[C@H]1[C@@H](OC[C@H](NC(=O)OCC2c3ccccc3-c3ccccc32)C(=O)O)O[C@@H]2CO[C@H](c3ccccc3)O[C@@H]2[C@@H]1O[C@@H]1O[C@H](COCc2ccccc2)[C@H](OCc2ccccc2)[C@H](OCc2ccccc2)[C@H]1OCc1ccccc1.CCOC(=O)CCS>>CCOC(=O)CCSC(=O)CNC(=O)[C@H](Cc1cn(COCc2ccccc2)cn1)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](CO[C@H]1O[C@H](CO)[C@H](O)[C@H](O[C@@H]2O[C@H](COCc3ccccc3)[C@H](OCc3ccccc3)[C@H](OCc3ccccc3)[C@H]2OCc2ccccc2)[C@H]1NC(C)=O)NC(=O)OCC1c2ccccc2-c2ccccc21,"Bioscience, Biotechnology, and Biochemistry (2002), 66(2), 225-232","144156-16-1, 71989-35-0, 852575-82-7, 71989-38-3, 71989-31-6, 71989-18-9, 35661-60-0, 115520-21-3, 35661-40-6, 71989-14-5, 119831-72-0, 5466-06-8",512822-55-8,"110-89-4, 538-75-0, 2592-95-2, 7087-68-5, 108-24-7, 100-61-8, 76-05-1",14221-01-3,"872-50-4, 109-99-9, 7732-18-5",,,,,,,8,1,20,,,,,,,
31-006-CAS-15560558,Amide_formation,78,,,COc1ccc(CCC(=O)O)cc1.Nc1ccccc1C1OCCO1>>COc1ccc(CCC(=O)Nc2ccccc2C=O)cc1,"Angewandte Chemie, International Edition (2016), 55(24), 6988-6991","182576-24-5, 1899127-58-2",1899127-63-9,"7719-09-7, 7087-68-5",104-15-4,"75-09-2, 67-64-1",,,,,,,3,1,78,,,,,,,
31-006-CAS-15602700,Amide_formation,74,,,COc1cc(OC)c(CCC(=O)O)c(OC)c1.Nc1ccccc1C1OCCO1>>COc1cc(OC)c(CCC(=O)Nc2ccccc2C=O)c(OC)c1,"Angewandte Chemie, International Edition (2016), 55(24), 6988-6991","931-03-3, 67025-97-2",2773925-31-6,"7087-68-5, 39968-33-7, 148893-10-1",104-15-4,"68-12-2, 67-64-1",,,,,,,3,1,74,,,,,,,
31-006-CAS-15619317,Amide_formation,74,,,COc1ccc(CCC(=O)O)cc1OC.Nc1ccccc1C1OCCO1>>COc1ccc(CCC(=O)Nc2ccccc2C=O)cc1OC,"Angewandte Chemie, International Edition (2016), 55(24), 6988-6991","76497-39-7, 2374793-51-6",2374793-74-3,"7087-68-5, 39968-33-7, 148893-10-1",104-15-4,"68-12-2, 67-64-1",,,,,,,3,1,74,,,,,,,
31-006-CAS-15680008,Amide_formation,77,,,COc1ccc(-c2ccccc2C(=O)O)cc1.Nc1ccccc1C1OCCO1>>COc1ccc(-c2ccccc2C(=O)Nc2ccccc2C=O)cc1,"Angewandte Chemie, International Edition (2016), 55(24), 6988-6991","2758283-88-2, 2450-71-7",2661199-52-4,"79-37-8, 7087-68-5","68-12-2, 104-15-4","68-12-2, 75-09-2, 67-64-1",,,,,,,3,1,77,,,,,,,
31-006-CAS-15683223,Amide_formation,85,,,Cc1cc(C)cc(OCC(=O)O)c1.Nc1ccccc1C1OCCO1>>Cc1cc(C)cc(OCC(=O)Nc2ccccc2C=O)c1,"Angewandte Chemie, International Edition (2016), 55(24), 6988-6991","1929-29-9, 1955523-46-2",2552536-29-3,"79-37-8, 7087-68-5","68-12-2, 104-15-4","68-12-2, 75-09-2, 67-64-1",,,,,,,3,1,85,,,,,,,
31-006-CAS-16267480,Amide_formation,70,,,O=C(O)c1ccccc1P(c1ccccc1)c1ccccc1.Nc1ccccc1C1OCCO1>>O=Cc1ccccc1NC(=O)c1ccccc1P(c1ccccc1)c1ccccc1,"Journal of the American Chemical Society (2016), 138(41), 13517-13520","109-64-8, 26278-79-5, 611-95-0",1673556-22-3,"121-44-8, 2592-95-2, 25952-53-8, 76-05-1, 144-55-8",,"67-66-3, 109-99-9, 7732-18-5",,,,,,,5,1,70,,,,,,,
31-006-CAS-16993700,Amide_formation,25,,,C=CCOC(=O)CC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.O=C(O)[C@@H]1CCCN1C(=O)OCC1c2ccccc2-c2ccccc21.CC(C)[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.O=C(N[C@@H](Cc1ccccc1)C(=O)O)OCC1c2ccccc2-c2ccccc21.O=C(O)CNC(=O)OCC1c2ccccc2-c2ccccc21.C[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.CC(C)C[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.CC(C)(C)SSC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.COC(CN)OC>>CC(C)C[C@H](NC(=O)[C@@H](N)CSSC(C)(C)C)C(=O)NCC(=O)N[C@@H](C)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)NCC=O)C(N)=O)C(C)C,"Journal of the American Chemical Society (2017), 139(14), 5233-5241","133464-46-7, 71989-31-6, 68858-20-8, 35661-40-6, 29022-11-5, 35661-39-3, 35737-15-6, 22483-09-6",2089435-55-0,"7087-68-5, 156311-83-0, 110-89-4, 109-02-4, 128625-52-5, 694-53-1, 76-05-1, 7732-18-5",14221-01-3,"68-12-2, 75-09-2",,,,,,,19,1,25,,,,,,,"solid-supported reaction, attachment to Rink amide resin in stage 1, Fmoc deprotection condition repeated once"
31-006-CAS-16993708,Amide_formation,4,,,C=CCOC(=O)CC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.O=C(O)[C@@H]1CCCN1C(=O)OCC1c2ccccc2-c2ccccc21.CC(C)[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.O=C(N[C@@H](Cc1ccccc1)C(=O)O)OCC1c2ccccc2-c2ccccc21.NCCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.C[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.O=C(O)CNC(=O)OCC1c2ccccc2-c2ccccc21.COC(CN)OC.CC(=O)OC(C)=O>>CC(=O)NCC(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)NCC=O)C(N)=O)C(C)C,"Journal of the American Chemical Society (2017), 139(14), 5233-5241","149-57-5, 1821073-49-7",1821074-39-8,"7087-68-5, 156311-83-0, 110-89-4, 109-02-4, 128625-52-5, 694-53-1, 110-86-1, 76-05-1, 7732-18-5",14221-01-3,"68-12-2, 75-09-2",,,,,,,18,1,4,,,,,,,"solid-supported reaction, attachment to Rink amide resin in stage 1, Fmoc deprotection condition repeated once"
31-006-CAS-16993709,Amide_formation,22,,,C=CCOC(=O)CC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.O=C(O)[C@@H]1CCCN1C(=O)OCC1c2ccccc2-c2ccccc21.CC(C)[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.O=C(N[C@@H](Cc1ccccc1)C(=O)O)OCC1c2ccccc2-c2ccccc21.O=C(O)CNC(=O)OCC1c2ccccc2-c2ccccc21.C[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)OCC1c2ccccc2-c2ccccc21.COC(CN)OC>>CC(C)[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@H](C)NC(=O)[C@@H](N)Cc1c[nH]c2ccccc12)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)NCC=O)C(N)=O,"Journal of the American Chemical Society (2017), 139(14), 5233-5241","133464-46-7, 71989-31-6, 68858-20-8, 35661-40-6, 29022-11-5, 35661-39-3, 22483-09-6",2089435-36-7,"7087-68-5, 156311-83-0, 110-89-4, 109-02-4, 128625-52-5, 694-53-1, 76-05-1, 7732-18-5",14221-01-3,"68-12-2, 75-09-2",,,,,,,17,1,22,,,,,,,"solid-supported reaction, attachment to Rink amide resin in stage 1, Fmoc deprotection condition repeated once"
31-006-CAS-16993711,Amide_formation,28,,,C=CCOC(=O)CC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.O=C(O)[C@@H]1CCCN1C(=O)OCC1c2ccccc2-c2ccccc21.O=C(O)CNC(=O)OCC1c2ccccc2-c2ccccc21.C[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.CC(C)C[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.O=C(N[C@@H](Cc1cnc[nH]1)C(=O)O)OCC1c2ccccc2-c2ccccc21.COC(CN)OC>>CC(C)C[C@H](NC(=O)[C@@H](N)Cc1cnc[nH]1)C(=O)N[C@@H](C)C(=O)NCC(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)NCC=O)C(N)=O,"Journal of the American Chemical Society (2017), 139(14), 5233-5241","133464-46-7, 71989-31-6, 68858-20-8, 35661-40-6, 29022-11-5, 35661-39-3, 35661-60-0, 73724-43-3, 22483-09-6",2089435-41-4,"7087-68-5, 156311-83-0, 110-89-4, 109-02-4, 128625-52-5, 694-53-1, 76-05-1, 7732-18-5",14221-01-3,"68-12-2, 75-09-2",,,,,,,15,1,28,,,,,,,"solid-supported reaction, attachment to Rink amide resin in stage 1, Fmoc deprotection condition repeated once"
31-006-CAS-16993713,Amide_formation,18,,,C=CCOC(=O)CC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.O=C(O)[C@@H]1CCCN1C(=O)OCC1c2ccccc2-c2ccccc21.CC(C)[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.O=C(N[C@@H](Cc1ccccc1)C(=O)O)OCC1c2ccccc2-c2ccccc21.O=C(O)CNC(=O)OCC1c2ccccc2-c2ccccc21.C[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.COC(CN)OC.CC(C)(C)OC(=O)N[C@@H](C[Se][Se]C[C@H](NC(=O)OC(C)(C)C)C(=O)O)C(=O)O>>CC(C)[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@H](C)NC(=O)[C@@H](N)C[Se][Se]C[C@H](N)C(=O)N[C@@H](C)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)NCC=O)C(N)=O)C(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)NCC=O)C(N)=O,"Journal of the American Chemical Society (2017), 139(14), 5233-5241","133464-46-7, 71989-31-6, 68858-20-8, 92954-90-0, 29022-11-5, 35661-39-3, 22483-09-6",2089435-40-3,"7087-68-5, 156311-83-0, 110-89-4, 109-02-4, 128625-52-5, 694-53-1, 693-13-0, 39968-33-7, 76-05-1, 7732-18-5",14221-01-3,"68-12-2, 75-09-2",,,,,,,16,1,18,,,,,,,"solid-supported reaction, attachment to Rink amide resin in stage 1, Fmoc deprotection condition repeated once"
31-006-CAS-18470486,Amide_formation,84,,,CCOC(CCN)OCC.C[C@@H](N[C@H]1CCN(c2ccc(C(=O)O)cc2)C1)c1cccc2ccccc12>>C[C@@H](N[C@H]1CCN(c2ccc(C(=O)NCCC=O)cc2)C1)c1cccc2ccccc12,"Bioorganic & Medicinal Chemistry Letters (2017), 27(20), 4673-4677","98-98-6, 2298-07-9",1638363-84-4,"2592-95-2, 7087-68-5, 25952-53-8, 7647-01-0, 497-19-8",,"68-12-2, 109-99-9, 7732-18-5",,,,,,,3,1,84,,,,,,,
31-006-CAS-18929014,Amide_formation,90,,,NCc1ccc(F)cc1F.COC(=O)c1c(OC)c(=O)c(C(=O)O)cn1CC(OC)OC>>COC(=O)c1c(OC)c(=O)c(C(=O)NCc2ccc(F)cc2F)cn1CC=O,"Angewandte Chemie, International Edition (2018), 57(24), 7181-7185","1335210-23-5, 72235-52-0",1646862-09-0,"530-62-1, 64-18-6",,,,,,,,,2,1,90,,,,,,,
31-006-CAS-20342512,Amide_formation,75,,,Cc1c(C)c(S(=O)(=O)NC(=N)NCCC[C@H](NC(=O)CN2C(=O)[C@H](NC(=O)[C@H](CC(=O)OC(C)(C)C)NC(=O)OCc3ccccc3)[C@@H]2[C@H]2COC(C)(C)O2)C(=O)OC(C)(C)C)c(C)c2c1OC(C)(C)C2.O=C(O)C(F)(F)F>>N=C(N)NCCC[C@H](NC(=O)CN1C(=O)[C@H](OC(=O)[C@@H](N)CC(=O)O)[C@@H]1[C@H](O)CO)C(=O)O.O=C(O)C(F)(F)F,"ChemBioChem (2017), 18(7), 654-665","6165-68-0, 1469881-19-3, 76-05-1",1469881-54-6,"1333-74-0, 617-86-7",7440-05-3,"67-56-1, 7732-18-5",,,,,,,2,1,75,,,,,,,intermediate isolated with >95% yield (stage 1)
31-006-CAS-20342513,Amide_formation,75,,,Cc1c(C)c(S(=O)(=O)NC(=N)NCCC[C@H](NC(=O)CCN2C(=O)[C@H](NC(=O)[C@H](CC(=O)OC(C)(C)C)NC(=O)OCc3ccccc3)[C@@H]2[C@H]2COC(C)(C)O2)C(=O)OC(C)(C)C)c(C)c2c1OC(C)(C)C2.O=C(O)C(F)(F)F>>N=C(N)NCCC[C@H](NC(=O)CCN1C(=O)[C@H](OC(=O)[C@@H](N)CC(=O)O)[C@@H]1[C@H](O)CO)C(=O)O.O=C(O)C(F)(F)F,"ChemBioChem (2017), 18(7), 654-665","1365998-91-9, 76-05-1",1365998-95-3,"1333-74-0, 617-86-7",7440-05-3,"67-56-1, 7732-18-5",,,,,,,2,1,75,,,,,,,intermediate isolated with >95% yield (stage 1)
31-006-CAS-209576,Amide_formation,77,,,C[C@H](N)C(=O)N[C@H](CCC(=O)OCc1ccccc1)C(N)=O.Cc1ccc(S[C@@H]2O[C@@H]3CO[C@@H](c4ccccc4)O[C@H]3[C@H](O[C@H](C)C(=O)O)[C@H]2NC(=O)COCc2ccccc2)cc1>>C[C@H](NC(=O)[C@@H](C)O[C@@H]([C@H](O)[C@H](O)CO)[C@H](C=O)NC(=O)CO)C(=O)N[C@H](CCC(=O)O)C(N)=O,"Chemistry - A European Journal (2015), 21(34), 11984-11988","1410332-56-7, 1627173-43-6",1627171-72-5,"121-44-8, 1892-57-5, 76-05-1, 128-08-5, 1333-74-0",12135-22-7,"68-12-2, 75-09-2, 67-64-1, 7732-18-5, 67-56-1",,,,,,,4,1,77,,,,,,,
31-006-CAS-2144865,Amide_formation,79,,,C=CCOC(=O)[C@@H](NC(=O)[C@H](CCCCNC(=O)OC(C)(C)C)NC(=O)[C@H](CCCCNC(=O)OC(C)(C)C)NC(=O)[C@@H](NC(=O)[C@H](COC(C)(C)C)NC(=O)[C@H](COC(C)(C)C)NC(=O)[C@H](COC(C)(C)C)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](C)NC(=O)OC(C)(C)C)[C@@H](C)O[C@H]1O[C@H](CO[Si](C)(C)C(C)(C)c2ccc(NC(=O)CCC(=O)NCC(=O)O)cc2)[C@@H]2OC(C)(C)O[C@@H]2[C@H]1NC(C)=O)[C@@H](C)OC(C)(C)C)[C@@H](C)O>>CC(=O)N[C@H]1[C@@H](O[C@H](C)[C@H](NC(=O)[C@@H]2CCCN2C(=O)[C@H](C)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(=O)O)[C@@H](C)O)[C@@H](C)O)O[C@H](CO)[C@H](O)[C@@H]1O,"Tetrahedron (2000), 56(34), 6235-6243",1407510-93-3,1407510-80-8,"100-61-8, 76-05-1",14221-01-3,"109-99-9, 75-05-8",,,,,,,2,1,79,,,,,,,
31-006-CAS-21642316,Amide_formation,94,,,O=C(O)c1ccnc(C(F)(F)F)c1.Cc1ccc(N)cc1-c1cc(OCCOC2CCCCO2)nc(N2CCOCC2)c1>>Cc1ccc(NC(=O)c2ccnc(C(F)(F)F)c2)cc1-c1cc(OCCO)nc(N2CCOCC2)c1,"Journal of Medicinal Chemistry (2020), 63(5), 2013-2027","82-07-5, 2289-75-0",560089-05-6,"7087-68-5, 25952-53-8, 39968-33-7, 7647-01-0, 144-55-8",,"68-12-2, 7732-18-5",,,,,,,3,1,94,,,,,,,alternative preparation shownincremental addition (HCl)
31-006-CAS-2879119,Amide_formation,7,,,CNC.Cl.CC1(C)O[C@H]([C@H]2COC(C)(C)O2)[C@@H](c2cn(Cc3ccccc3)c(C(=O)O)n2)O1>>CN(C)C(=O)c1ncc([C@@H](O)[C@H](O)[C@H](O)CO)[nH]1,"Journal of Medicinal Chemistry (2009), 52(13), 3941-3953","696-62-8, 2665704-77-6",2665705-31-5,"121-44-8, 148893-10-1, 1333-74-0, 7647-01-0",12135-22-7,"107-06-2, 64-17-5, 67-64-1, 7732-18-5",,,,,,"N,N-Dimethyl-4-((1R,2S,3R)-1,2,3,4-tetrahydroxybutyl)-1H-imidazole- 2-carboxamide (16). To a solution of acid 15 (500 mg, 1.24 mmol) in DCM (4 mL) was added HATU (520 mg, 1.37 mmol), dimethylamine hydrochloride (202 mg, 2.48 mmol), and triethylamine (517 μL, 3.72 mmol). After 20 h, the reaction was treated with an additional portion of HATU (520 mg, 1.37 mmol) and dimethylamine hydrochloride (202 mg, 2.48 mmol). After another 18 h, the reaction was concentrated and purified by flash chromatography (20-40% EtOAc:hexane eluent) to give a oil, which was dissolved in ethanol (8 mL). The solution was sparged with nitrogen for 10 min before the addition of palladium hydroxide on carbon (10 wt %, 100 mg). The reaction vessel was charged with H2 (65 psi) and stirred vigorously for 20 h. At completion, the reaction was filtered, and the filtrate evaporated to provide an oil, which was dissolved in acetone and cooled to 0 °C in an ice bath. The solution was treated with 2:1 conc HCl:water (6 mL) and the reaction was allowed to warm to room temperature. After 18 h, the reaction was concentrated to provide 16 (23 mg, 7% yield, 2 steps) as a white solid. N,N-Dimethyl-4-((1R,2S,3R)-1,2,3,4-tetrahydroxybutyl)-1H-imidazole- 2-carboxamide (16). , (23 mg, 7% yield). 1H NMR (400 MHz, MeOD) δ ppm 7.54 (s, 1 H), 5.20 (s, 1 H), 3.75-3.86 (m, 2 H), 3.63-3.73 (m, 2 H), 3.16 (s, 6 H). 13C NMR (100 MHz, 1.0 M DCl in D2O) δ ppm 156.09, 136.47, 135.67, 117.52, 72.79, 70.77, 64.59, 62.98, 38.58, 36.09. MS (EI) m/z: 260 [M + H]+. HRMS calcd for C10H17N3O5 [M + H]+ 260.1246, found 260.1231. HPLC (C30 Develosil RP Aqueous 4.6 mm × 50 mm, 5-80% [methanol/water/TFA (95/5/ 0.1)]:water with 0.1% TFA, 4 min gradient) tR = 0.35 min, 100% integrated area.",3,1,7,,,,,,,"solid-supported catalyst (in stage 2), incremental addition of dimethylamine hydrochloride and HATU in stage 1"
31-006-CAS-380649,Amide_formation,81,,,C[C@H](N)C(=O)N[C@H](CCC(=O)OCc1ccccc1)C(N)=O.CO[C@@H]1O[C@@H]2CO[C@@H](c3ccccc3)O[C@H]2[C@H](O[C@H](C)C(=O)O)[C@H]1NC(=O)OC(C)(C)C>>CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](CCC(=O)O)C(N)=O)[C@H]1N,"Chemistry - A European Journal (2015), 21(34), 11984-11988","64-19-7, 1832653-64-1",1832653-73-2,"121-44-8, 1892-57-5, 76-05-1, 1333-74-0",12135-22-7,"68-12-2, 75-09-2, 109-99-9",,,,,,,3,1,81,,,,,,,
31-006-CAS-5529813,Amide_formation,4,,,NCc1cnn(-c2ccc(F)cc2)c1.CC(C)(C)OC(=O)N[C@@H](CCSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H]2OC(C)(C)O[C@@H]21)C(=O)O>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)NCc2cnn(-c3ccc(F)cc3)c2)[C@@H](O)[C@H]1O,"Bioorganic & Medicinal Chemistry Letters (2015), 25(7), 1532-1537","133464-46-7, 71989-31-6, 68858-20-8, 35661-40-6, 105047-45-8, 35661-39-3, 29022-11-5, 22483-09-6, 108-24-7",2089435-51-6,"7087-68-5, 148893-10-1, 76-05-1",,"68-12-2, 7732-18-5",,,,,,,2,1,4,,,,,,,
