reaction_id,yield,z_score,reactant_1,reactant_2,reactant_3,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,Is_Intramolecular,reaction_smiles,spectator_groups,reference
C-O Coupling,82,0.0,Ar-OH,Ar-R,,CuCl,"2,2,6,6-Tetramethyl-3,5-heptanedione",Cs2CO3,HCl,,,,,,NMP/H2O,False,Oc1cccc(C2OCCO2)c1.Brc1cccc(C2OCCO2)c1>>O=Cc1cccc(Oc2cccc(C=O)c2)c1,,"Chemistry - A European Journal (2017), 23(69), 17576-17583"
C-O Coupling,82,0.0,RCH2-OH,Ar-R,,CuI,,,HCl,,,KI,,Sodium,n-BuOH/H2O,False,CCCCO.Brc1csc(C2OCCO2)c1>>CCCCOc1csc(C=O)c1,OR / Thiophene,"Angewandte Chemie, International Edition (2020), 59(19), 7528-7535"
C-O Coupling,74,0.71,Ar-Br,RCH2-OR,,CuO,,K2CO3/Pyridine,HCl,,,,,,THF/H2O,False,O=Cc1cccc(Br)c1.COc1cccc(C=Cc2ccc(Oc3cc(C4OCCCO4)ccc3OCc3ccccc3)cc2)c1O>>COc1cccc(C=Cc2ccc(Oc3cc(C=O)ccc3OCc3ccccc3)cc2)c1Oc1cccc(C=O)c1,CHO / OAr / OR / C=C / Dienophile / Any-Dienophile / Motif-C=C,"Natural Product Communications (2011), 6(3), 393-402"
C-O Coupling,73,-0.71,Ar-Br,RCH2-OR,,CuO,,K2CO3/Pyridine,HCl,,,,,,THF/H2O,False,O=Cc1cccc(Br)c1.COc1ccc(C2OCCCO2)cc1Oc1ccc(C=Cc2cccc(OCc3ccccc3)c2O)cc1>>COc1ccc(C=O)cc1Oc1ccc(C=Cc2cccc(OCc3ccccc3)c2Oc2cccc(C=O)c2)cc1,CHO / OAr / OR / C=C / Dienophile / Any-Dienophile / Motif-C=C,"Natural Product Communications (2011), 6(3), 393-402"
C-O Coupling,82,0.0,Ar-OH,,,Silver tetrafluoroborate,,NaH,,,,,,16941-11-0,THF/Me2CO,False,COC(=O)[C@H](NC(=O)OC(C)(C)C)c1cccc(O)c1.CO[C]12->[Mn+]3456([C]#O)([C]#O)([C]#O)<-[CH](=[CH]->31)[CH]->4=[C]->5(Cl)[C]->6=2C.[F-][B+3]([F-])([F-])[F-]>>COC(=O)C(NC(=O)OC(C)(C)C)C1=CC=CC(O[C]23->[Mn+]4567([C]#O)([C]#O)([C]#O)<-[CH](=[CH]->42)[CH]->5=[C]->6(OC)[C]->7=3C)=C1.[F-][P+5]([F-])([F-])([F-])([F-])[F-],,"Journal of the Chemical Society, Perkin Transactions 1: Organic and Bio-Organic Chemistry (1972-1999) (1990), (8), 2251-4"
C-O Coupling,83,0.0,Ar-OH,Alkenyl-Br,,Ni(acac)2/CuI,,Cs2CO3,,,,,,,NMP,False,COc1ccc(O)cc1.Br/C=C/c1ccccc1Br>>COc1ccc(O/C=C/c2ccccc2Oc2ccc(OC)cc2)cc1,OR / Dienophile / C=C / Any-Dienophile / Motif-C=C,"Organic Letters (2014), 16(4), 1040-1043"
C-O Coupling,77,0.0,Ar-NH2,Ar-OH,,CuBr-SMe2,,K2CO3/Pyridine,BF3-Et2O,,,amyl nitrite/TFA,,4648-54-8,THF/Et2O/MeCN/DCM,False,Nc1ccccc1Br.COc1ccccc1O>>COc1ccccc1Oc1ccccc1N=[N+]=[N-],OR,"Journal of Combinatorial Chemistry (2004), 6(4), 460-463"
C-O Coupling,95,0.0,Ar-NH2,Ar-OH,,CuBr-SMe2,,K2CO3/Pyridine,BF3-Et2O,,,amyl nitrite/TFA,,4648-54-8,THF/Et2O/MeCN/DCM,False,Nc1c(Br)cccc1Br.C=CCc1ccc(O)c(OC)c1>>C=CCc1ccc(Oc2cccc(Oc3ccc(CC=C)cc3OC)c2N=[N+]=[N-])c(OC)c1,C=CH2 / C=C / Dienophile / OR / Any-Dienophile / Motif-C=C,"Journal of Combinatorial Chemistry (2004), 6(4), 460-463"
C-O Coupling,83,1.0,Ar-NH2,Ar-OH,,CuBr-SMe2,,K2CO3/Pyridine,BF3-Et2O,,,amyl nitrite/TFA,,4648-54-8,THF/Et2O/MeCN/DCM,False,Nc1c(Br)cccc1Br.COc1cccc(O)c1>>COc1cccc(Oc2cccc(Oc3cccc(OC)c3)c2N=[N+]=[N-])c1,OR,"Journal of Combinatorial Chemistry (2004), 6(4), 460-463"
C-O Coupling,71,-1.0,Ar-NH2,Ar-OH,,CuBr-SMe2,,K2CO3/Pyridine,BF3-Et2O,,,amyl nitrite/TFA,,4648-54-8,THF/Et2O/MeCN/DCM,False,Nc1c(Br)cccc1Br.COc1ccc(O)cc1>>COc1ccc(Oc2cccc(Oc3ccc(OC)cc3)c2N=[N+]=[N-])cc1,OR,"Journal of Combinatorial Chemistry (2004), 6(4), 460-463"
C-O Coupling,75,-1.3,Ar-Cl,Ar-OH,,CuSO4,,K2CO3,,,,,,,DMF,False,O=C(O)c1cccc(Cl)c1Cl.Oc1ccc(Cl)cc1Cl>>O=C(O)c1ccc(Cl)cc1Oc1ccc(Cl)cc1Cl,CO2H / Cl / X,"Journal of Chemical Research (2006), (8), 527-529"
C-O Coupling,78,-0.27,Ar-Cl,Ar-OH,,CuSO4,,K2CO3,,,,,,,DMF,False,O=C(O)c1cccc(Cl)c1Cl.Oc1ccccc1Cl>>O=C(O)c1ccc(Cl)cc1Oc1ccccc1Cl,CO2H / Cl / X,"Journal of Chemical Research (2006), (8), 527-529"
C-O Coupling,3,0.0,CH3-OH,,Ar-Br,CuBr,"2,2,6,6-Tetramethyl-3,5-heptanedione",NaOMe,HCl,,,,,107-31-3,MeOH/H2O,False,CO.[Na].CC(C)c1cc(Br)ccc1O>>CC(C)c1ccccc1O.COc1ccc(O)c(C(C)C)c1.COc1cc(-c2cc(OC)cc(C(C)C)c2O)c(O)c(C(C)C)c1.COc1ccc(Oc2ccc(O)c(C(C)C)c2)c(C(C)C)c1,OH,"Organic Process Research & Development (2020), 24(11), 2453-2461"
