reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,Reaction_Events,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Transfer_hydrogenation,Reduction_carbonyl_to_alcohol,CC(=O)c1ccc(Br)cc1>>CC(O)c1ccccc1,|Ar-Br|Ar-COR -> R2CH-OH,break:Br-C(ar) | redox:net_reduction | redox_conf:0.55 | q:high(1.00) | kinds:leaving_group_displacement,Ar-Br|Ar-COR|R_acidic-H,,,Ar-Alkyl|R2CH-OH,,,NaOH,,,,iPrOH,,2400891-28-1,,,"Organometallics (2020), 39(1), 123-131",100,0.0
Transfer_hydrogenation,Reduction_carbonyl_to_alcohol,CC(=O)c1ccc(Cl)cc1>>CC(O)c1ccccc1,|Ar-COR|Ar-Cl -> R2CH-OH,break:C(ar)-Cl | redox:net_reduction | redox_conf:0.55 | q:high(1.00) | kinds:leaving_group_displacement,Ar-Cl|Ar-COR|R_acidic-H,,,Ar-Alkyl|R2CH-OH,,,Cs2CO3,,,,,,2503155-91-5,EtOH,,"Organometallics (2020), 39(21), 3879-3891",90,0.0
Transfer_hydrogenation,Alkene_Hydrogenation,O=C(/C=C/c1ccccc1)c1ccccc1>>[2H]OC([2H])(c1ccccc1)C([2H])C([2H])c1ccccc1,|Alkenyl-COR|Ar-Alkenyl -> Ar-Alkyl,redox:net_reduction | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:intramolecular_likely,Alkenyl-COR|Ar-Alkenyl,,,Ar-Alkyl|R2CH-OH,,,,,,,,,22739-76-0/2413435-62-6,,,"Inorganica Chimica Acta (2020), 507119551",99,1.4
Transfer_hydrogenation,Suzuki_miyaura,CC(=O)c1ccc(Br)cc1.COc1ccc(B(O)O)cc1>>COc1ccc(-c2ccc(C(C)O)cc2)cc1,|Ar-B(OH)2|Ar-Br|Ar-COR -> Ar-Alkyl|Ar-Ar | spectators: Ar-OR,sig:LGDisp+C-C | form:C(ar)-C(ar) | form_labeled:C(ar)-C(ar)[Ar-Alkyl] | break:B-C(ar);Br-C(ar) | redox:net_reduction | redox_conf:0.55 | q:high(1.00) | kinds:c_c_bond_formation+intermolecular_or_multi_component+leaving_group_displacement,Ar-Br|Ar-COR|R_acidic-H,Ar-B(OH)2,,Ar-Alkyl|Ar-Ar|R2CH-OH,,,NaOH,,,,iPrOH,,2400891-28-1,,OR,"Organometallics (2020), 39(1), 123-131",83,0.0
Transfer_hydrogenation,Suzuki_miyaura,CC(=O)c1ccc(F)cc1.OB(O)c1ccc(C(F)(F)F)cc1>>CC(O)c1ccc(-c2ccc(C(F)(F)F)cc2)cc1,|Ar-B(OH)2|Ar-COR|Ar-F|R_acidic-H -> Ar-Alkyl|Ar-Ar | spectators: Ar-CF3,sig:LGDisp+C-C | redox:net_reduction | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_c_bond_formation+intermolecular_or_multi_component+leaving_group_displacement,Ar-F|Ar-COR|R_acidic-H,Ar-B(OH)2,,Ar-Alkyl|Ar-Ar|R2CH-OH,,,NaOtBu,,,,,,2503155-91-5,EtOH,CF3,"Organometallics (2020), 39(21), 3879-3891",83,0.0
Transfer_hydrogenation,Alkene_Hydrogenation,O=C(/C=C/c1ccccc1)c1ccccc1>>OC(CCc1ccccc1)c1ccccc1,|Alkenyl-COR|Ar-Alkenyl -> Ar-Alkyl,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,Alkenyl-COR|Ar-Alkenyl,,,Ar-Alkyl|R2CH-OH,,,,,,,,,1452381-85-9,MeOH,,"Journal of Organic Chemistry (2020), 85(4), 2242-2249",83,-0.9
Transfer_hydrogenation,Alkene_Hydrogenation,CC(=O)/C=C/c1ccccc1>>CC(O)CCc1ccccc1,|Alkenyl-COR|Ar-Alkenyl|R_acidic-H -> Ar-Alkyl,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,Alkenyl-COR|Ar-Alkenyl|R_acidic-H,,,Ar-Alkyl|R2CH-OH,,,,,,,,,1452381-85-9,MeOH,,"Journal of Organic Chemistry (2020), 85(4), 2242-2249",80,0.0
Transfer_hydrogenation,Alkene_Hydrogenation,O=C(C=Cc1ccccc1)c1ccccc1>>OC(CCc1ccccc1)c1ccccc1,|Alkenyl-COR|Ar-Alkenyl -> Ar-Alkyl,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,Alkenyl-COR|Ar-Alkenyl,,,Ar-Alkyl|R2CH-OH,[RhCl(cod)]2,,Et3N,,,,,,13675-18-8,H2O/THF,,"European Journal of Organic Chemistry (2020), 2020(8), 1046-1049",86,-0.47
Transfer_hydrogenation,Alkene_Hydrogenation,COc1ccc(C=CC=O)cc1>>COc1ccc(CCCO)cc1,|Alkenyl-CHO|Ar-Alkenyl -> Ar-Alkyl | spectators: Ar-OR,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,Alkenyl-CHO|Ar-Alkenyl,,,Ar-Alkyl|RCH2-OH,,,K2CO3,,,,,,2247527-35-9,MeOH,OR,"Asian Journal of Organic Chemistry (2020), 9(8), 1174-1178",99,0.0
Transfer_hydrogenation,Reduction_carbonyl_to_alcohol,CC(C)=CCCC(C)=CC=O>>CC(C)=CCCC(C)CCO,|Alkenyl-CHO|RCH2-Alkenyl -> RCH2-OH | spectators: Alkyl-Alkenyl,"redox:uncertain | redox_conf:0.20 | q:medium(0.60) | q_reason:mapping_unreliable_fallback_used,missing_bond_key",RCH2-Alkenyl|Alkenyl-CHO,,,RCH2-OH,,,K2CO3,,,,,,2247527-35-9,MeOH,,"Asian Journal of Organic Chemistry (2020), 9(8), 1174-1178",93,0.0
Transfer_hydrogenation,Reduction_carbonyl_to_alcohol,C=C(C)C1CC=C(C=O)CC1>>C=C(C)C1CCC(CO)CC1,|Alkenyl-CHO|RCH2-Alkenyl -> RCH2-OH | spectators: R2CH-Alkenyl,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,RCH2-Alkenyl|Alkenyl-CHO,,,RCH2-OH,,,K2CO3,,,,,,2247527-35-9,MeOH,,"Asian Journal of Organic Chemistry (2020), 9(8), 1174-1178",88,0.0
Transfer_hydrogenation,Oxidation_primary_alcohol_to_aldehyde,OCc1ccccc1.O=CC=Cc1ccc(Cl)cc1>>O=Cc1ccccc1.OCCCc1ccc(Cl)cc1,|Alkenyl-CHO|Ar-Alkenyl|Bn-OH -> Ar-CHO | spectators: Ar-Cl,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,Bn-OH,Alkenyl-CHO|Ar-Alkenyl,,Ar-Alkyl|Ar-CHO|RCH2-OH,,,KOH,,,,,,2101508-07-8,H2O,Cl,"ACS Omega (2020), 5(42), 27723-27732",95,0.0
Transfer_hydrogenation,Reduction_carbonyl_to_alcohol,O=C1C=CCCC1>>OC1CCCCC1,|Alkenyl-COR|RCH2-Alkenyl|R_acidic-H -> R2CH-OH,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,Alkenyl-COR|RCH2-Alkenyl|R_acidic-H,,,R2CH-OH,,,Et3N,,,,,,2618480-04-7/113383-24-7,CPME,,"Tetrahedron (2021), 83131997",98,0.0
Transfer_hydrogenation,Alkene_Hydrogenation,COc1ccc(/C=C/C(=O)c2ccccc2O)cc1>>COc1ccc(CCC(O)c2ccccc2O)cc1,|Alkenyl-COR|Ar-Alkenyl -> Ar-Alkyl | spectators: Ar-OH|Ar-OR,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,Alkenyl-COR|Ar-Alkenyl,,,Ar-Alkyl|R2CH-OH,,,,HCl,,,iPrOH,,683-60-3/1848968-80-8,H2O,OH / OR,"ChemCatChem (2021), 13(9), 2152-2157",84,0.0
Transfer_hydrogenation,Alkene_Hydrogenation,O=C(/C=C/c1ccccc1)c1ccccc1O>>Oc1ccccc1C(O)CCc1ccccc1,|Alkenyl-COR|Ar-Alkenyl -> Ar-Alkyl | spectators: Ar-OH,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,Alkenyl-COR|Ar-Alkenyl,,,Ar-Alkyl|R2CH-OH,,,,HCl,,,iPrOH,,683-60-3/1848968-80-8,H2O,OH,"ChemCatChem (2021), 13(9), 2152-2157",85,0.0
Transfer_hydrogenation,Reduction_carbonyl_to_alcohol,CC(=O)C(=O)O.[Na]>>CC(O)C(=O)O.[Na].C[C@H](N)C(=O)O.[Na],|Acyl-CO2H|Alkyl-COR|R_acidic-H -> R2CH-OH | spectators: Inorganic,"sig:Amid+C-N+C-C | redox:net_oxidation | redox_conf:0.55 | q:medium(0.55) | q_reason:amidation_without_explicit_activation_marker,mapping_unreliable_fallback_used,multi_transform_record_possible | kinds:amidation_like+c_c_bond_formation+c_n_bond_formation+intermolecular_or_multi_component",Acyl-CO2H|Alkyl-COR|R_acidic-H,Inorganic,,Inorganic|R2CH-CO2H|R2CH-NH2|R2CH-OH,,,,,,,,,540-69-2/2456475-30-0,MeOH/H2O,Inorganic,"Tetrahedron Letters (2020), 61(32), 152196",1,0.0
Transfer_hydrogenation,Unknown,CC(C)O.CC(=O)c1ccccc1Cl>>CC(C)=O.CC(O)c1ccccc1Cl,|Ar-COR -> Alkyl-COR|Ar-Alkyl|R_acidic-H | spectators: Ar-Cl|R2CH-OH|R_acidic-H,"redox:uncertain | redox_conf:0.20 | q:medium(0.60) | q_reason:mapping_unreliable_fallback_used,missing_bond_key",R2CH-OH,Ar-COR,,Alkyl-COR|Ar-Alkyl|R_acidic-H,,,,,,,iPrOH,,2397653-16-4/6831-82-9,,OH / Cl,"Organometallics (2020), 39(1), 93-104",99,0.0
Transfer_hydrogenation,Unknown,CC(C)O.CCC(=O)c1ccccc1>>CC(C)=O.CCC(O)c1ccccc1,|Ar-COR -> Alkyl-COR|Ar-Alkyl|R_acidic-H | spectators: R2CH-OH|R_acidic-H,"redox:uncertain | redox_conf:0.20 | q:medium(0.60) | q_reason:mapping_unreliable_fallback_used,missing_bond_key",R2CH-OH,Ar-COR,,Alkyl-COR|Ar-Alkyl|R_acidic-H,,,,,,,iPrOH,,2397653-15-3/6831-82-9,,OH,"Organometallics (2020), 39(1), 93-104",99,0.0
Transfer_hydrogenation,Unknown,CC(C)O.CC(=O)c1cccc(C)c1>>CC(C)=O.Cc1cccc(C(C)O)c1,|Ar-COR -> Alkyl-COR|R_acidic-H | spectators: Ar-Alkyl|R2CH-OH|R_acidic-H,"redox:uncertain | redox_conf:0.20 | q:medium(0.60) | q_reason:mapping_unreliable_fallback_used,missing_bond_key",R2CH-OH,Ar-COR,,Alkyl-COR|R_acidic-H,,,,,,,iPrOH,,2230298-83-4/6831-82-9,,OH,"Organometallics (2020), 39(1), 93-104",98,0.0
Transfer_hydrogenation,Unknown,CC(C)O.CC(=O)c1cccc(Br)c1>>CC(C)=O.CC(O)c1cccc(Br)c1,|Ar-COR -> Alkyl-COR|Ar-Alkyl|R_acidic-H | spectators: Ar-Br|R2CH-OH|R_acidic-H,"redox:uncertain | redox_conf:0.20 | q:medium(0.60) | q_reason:mapping_unreliable_fallback_used,missing_bond_key",R2CH-OH,Ar-COR,,Alkyl-COR|Ar-Alkyl|R_acidic-H,,,,,,,iPrOH,,2230298-83-4/6831-82-9,,OH / Br,"Organometallics (2020), 39(1), 93-104",99,0.71
Transfer_hydrogenation,Unknown,CC(C)O.CC(=O)c1ccccc1F>>CC(C)=O.CC(O)c1ccccc1F,|Ar-COR -> Alkyl-COR|Ar-Alkyl|R_acidic-H | spectators: Ar-F|R2CH-OH|R_acidic-H,"redox:uncertain | redox_conf:0.20 | q:medium(0.60) | q_reason:mapping_unreliable_fallback_used,missing_bond_key",R2CH-OH,Ar-COR,,Alkyl-COR|Ar-Alkyl|R_acidic-H,,,,,,,iPrOH,,2099011-58-0/6831-82-9,,OH / F,"Organometallics (2020), 39(1), 93-104",99,0.0
Transfer_hydrogenation,Unknown,CC(C)O.O=C1CCCC1>>CC(C)=O.OC1CCCC1,|RCH2-COR -> Alkyl-COR|R_acidic-H | spectators: R2CH-OH|R_acidic-H,"redox:uncertain | redox_conf:0.20 | q:medium(0.60) | q_reason:mapping_unreliable_fallback_used,missing_bond_key",R2CH-OH,RCH2-COR,,Alkyl-COR|R_acidic-H,,,,,,,iPrOH,,2230298-83-4/6831-82-9,,OH,"Organometallics (2020), 39(1), 93-104",99,0.0
Transfer_hydrogenation,Unknown,CC(C)O.CC(=O)c1ccc(Br)cc1>>CC(C)=O.CC(O)c1ccc(Br)cc1,|Ar-COR -> Alkyl-COR|Ar-Alkyl|R_acidic-H | spectators: Ar-Br|R2CH-OH|R_acidic-H,"redox:uncertain | redox_conf:0.20 | q:medium(0.60) | q_reason:mapping_unreliable_fallback_used,missing_bond_key",R2CH-OH,Ar-COR,,Alkyl-COR|Ar-Alkyl|R_acidic-H,,,KOH,,,,iPrOH,,2414613-58-2,,OH / Br,"Applied Organometallic Chemistry (2020), 34(7), e5615",98,-0.71
Transfer_hydrogenation,Oxidation_primary_alcohol_to_aldehyde,CCO.CC(=O)c1ccc(C(F)(F)F)cc1>>CC=O.CC(O)c1ccc(C(F)(F)F)cc1,|Ar-COR|RCH2-OH -> Alkyl-CHO | spectators: Ar-CF3|R_acidic-H,"redox:uncertain | redox_conf:0.20 | q:medium(0.60) | q_reason:mapping_unreliable_fallback_used,missing_bond_key",RCH2-OH,Ar-COR,,Alkyl-CHO|Ar-Alkyl|R2CH-OH,,,K2CO3,,,,,,2637466-92-1,EtOH,CF3,"ACS Sustainable Chemistry & Engineering (2021), 9(13), 4903-4914",99,0.0
Transfer_hydrogenation,Oxidation_primary_alcohol_to_aldehyde,CCO.O=Cc1ccc(C(F)(F)F)cc1>>CC=O.OCc1ccc(C(F)(F)F)cc1,|Ar-CHO|RCH2-OH -> Alkyl-CHO | spectators: Ar-CF3,"redox:uncertain | redox_conf:0.20 | q:medium(0.60) | q_reason:mapping_unreliable_fallback_used,missing_bond_key",RCH2-OH,Ar-CHO,,Alkyl-CHO|Bn-OH|R_acidic-H,,,K2CO3,,,,,,2637466-92-1,EtOH,CF3,"ACS Sustainable Chemistry & Engineering (2021), 9(13), 4903-4914",100,0.71
Transfer_hydrogenation,Oxidation_primary_alcohol_to_aldehyde,CCO.CC(=O)c1ccccc1C(F)(F)F>>CC=O.CC(O)c1ccccc1C(F)(F)F,|Ar-COR|RCH2-OH -> Alkyl-CHO | spectators: Ar-CF3|R_acidic-H,"redox:uncertain | redox_conf:0.20 | q:medium(0.60) | q_reason:mapping_unreliable_fallback_used,missing_bond_key",RCH2-OH,Ar-COR,,Alkyl-CHO|Ar-Alkyl|R2CH-OH,,,K2CO3,,,,,,2637466-92-1,EtOH,CF3,"ACS Sustainable Chemistry & Engineering (2021), 9(13), 4903-4914",99,0.0
Transfer_hydrogenation,Oxidation_primary_alcohol_to_aldehyde,CCO.Cc1ccccc1C=O>>CC=O.Cc1ccccc1CO,|Ar-CHO|RCH2-OH -> Alkyl-CHO | spectators: Ar-Alkyl,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,RCH2-OH,Ar-CHO,,Alkyl-CHO|Bn-OH|R_acidic-H,,,K2CO3,,,,,,2637466-92-1,EtOH,,"ACS Sustainable Chemistry & Engineering (2021), 9(13), 4903-4914",99,0.0
Transfer_hydrogenation,Oxidation_primary_alcohol_to_aldehyde,CCO.O=Cc1ccccc1C(F)(F)F>>CC=O.OCc1ccccc1C(F)(F)F,|Ar-CHO|RCH2-OH -> Alkyl-CHO | spectators: Ar-CF3,"redox:uncertain | redox_conf:0.20 | q:medium(0.60) | q_reason:mapping_unreliable_fallback_used,missing_bond_key",RCH2-OH,Ar-CHO,,Alkyl-CHO|Bn-OH|R_acidic-H,,,K2CO3,,,,,,2637466-92-1,EtOH,CF3,"ACS Sustainable Chemistry & Engineering (2021), 9(13), 4903-4914",99,-0.71
Transfer_hydrogenation,Oxidation_primary_alcohol_to_aldehyde,CCO.Cc1ccc(C=O)cc1>>CC=O.Cc1ccc(CO)cc1,|Ar-CHO|RCH2-OH -> Alkyl-CHO | spectators: Ar-Alkyl,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,RCH2-OH,Ar-CHO,,Alkyl-CHO|Bn-OH|R_acidic-H,,,K2CO3,,,,,,2637466-92-1,EtOH,,"ACS Sustainable Chemistry & Engineering (2021), 9(13), 4903-4914",99,0.0
Transfer_hydrogenation,Oxidation_primary_alcohol_to_aldehyde,CCO.COc1ccc(C(C)=O)cc1>>CC=O.COc1ccc(C(C)O)cc1,|Ar-COR|RCH2-OH -> Alkyl-CHO | spectators: Ar-OR|R_acidic-H,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,RCH2-OH,Ar-COR,,Alkyl-CHO|Ar-Alkyl|R2CH-OH,,,K2CO3,,,,,,2637466-92-1,EtOH,OR,"ACS Sustainable Chemistry & Engineering (2021), 9(13), 4903-4914",95,0.0
Transfer_hydrogenation,Reduction_carbonyl_to_alcohol,CC(=O)c1ccccc1>>CC(O)c1ccccc1,|Ar-COR|R_acidic-H -> R2CH-OH,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,Ar-COR|R_acidic-H,,,Ar-Alkyl|R2CH-OH,(3-Phenyl-1H-inden-1-ylidene)bis(tricyclohexylphosphine)ruthenium(IV) dichloride tetrahydrofuran adduct,,,,,,HCOONa,,112-00-5/9005-64-5/98-86-2,H2O,,"Molecular Catalysis (2020), 480110640pp.",100,1.42
Transfer_hydrogenation,Reduction_carbonyl_to_alcohol,COc1ccc(C(C)=O)cc1>>COc1ccc(C(C)O)cc1,|Ar-COR|R_acidic-H -> R2CH-OH | spectators: Ar-OR,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,Ar-COR|R_acidic-H,,,Ar-Alkyl|R2CH-OH,,,KOH,,,,iPrOH,,2387645-47-6,,OR,"Journal of Molecular Structure (2020), 1202127266",88,-0.26
Transfer_hydrogenation,Reduction_carbonyl_to_alcohol,CC(=O)c1ccc(N)cc1>>CC(O)c1ccc(N)cc1,|Ar-COR|R_acidic-H -> R2CH-OH | spectators: Ar-NH2,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,Ar-COR|R_acidic-H,,,Ar-Alkyl|R2CH-OH,,,KOtBu,,,,iPrOH,,2409182-34-7,H2O,NH2,"Catalysts (2020), 10(1), 17pp.",100,0.0
Transfer_hydrogenation,Reduction_carbonyl_to_alcohol,O=C1CCCCC1>>OC1CCCCC1,|RCH2-COR|R_acidic-H -> R2CH-OH,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,RCH2-COR|R_acidic-H,,,R2CH-OH,,,KOtBu,,,,iPrOH,,2409182-34-7,H2O,,"Catalysts (2020), 10(1), 17pp.",100,1.15
Transfer_hydrogenation,Reduction_carbonyl_to_alcohol,O=Cc1ccco1>>OCc1ccco1,|Ar-CHO -> Bn-OH | spectators: Furan|HeteroAr-H,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,Ar-CHO,,,Bn-OH,,,,,,,iPrOH,,683-60-3/2402734-61-4,Et2O,Furan / HeteroAr,"Dalton Transactions (2020), 49(2), 453-465",94,0.0
Transfer_hydrogenation,Reduction_carbonyl_to_alcohol,O=Cc1ccc(CO)o1>>OCc1ccc(CO)o1,|Ar-CHO -> Bn-OH | spectators: Bn-OH|Furan|HeteroAr-H,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,Ar-CHO,,,Bn-OH,,,,,,,iPrOH,,683-60-3/2402734-61-4,Et2O,Furan / OH / HeteroAr,"Dalton Transactions (2020), 49(2), 453-465",99,0.0
Transfer_hydrogenation,Reduction_carbonyl_to_alcohol,COc1ccc(C=O)cc1OC>>COc1ccc(CO)cc1OC,|Ar-CHO -> Bn-OH | spectators: Ar-OR,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,Ar-CHO,,,Bn-OH,,,K2CO3,,,,iPrOH,,2402734-65-8,,OR,"Dalton Transactions (2020), 49(2), 453-465",99,0.86
Transfer_hydrogenation,Reduction_carbonyl_to_alcohol,CC(=O)c1cccc(F)c1>>CC(O)c1cccc(F)c1,|Ar-COR|R_acidic-H -> R2CH-OH | spectators: Ar-F,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,Ar-COR|R_acidic-H,,,Ar-Alkyl|R2CH-OH,,,,,,,,,1452381-85-9,MeOH,F,"Journal of Organic Chemistry (2020), 85(4), 2242-2249",94,0.29
Transfer_hydrogenation,Reduction_carbonyl_to_alcohol,CC(=O)c1cccc(Br)c1>>CC(O)c1cccc(Br)c1,|Ar-COR|R_acidic-H -> R2CH-OH | spectators: Ar-Br,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,Ar-COR|R_acidic-H,,,Ar-Alkyl|R2CH-OH,,,,,,,,,1452381-85-9,MeOH,Br,"Journal of Organic Chemistry (2020), 85(4), 2242-2249",88,-0.71
Transfer_hydrogenation,Reduction_carbonyl_to_alcohol,CC(=O)c1cccc(I)c1>>CC(O)c1cccc(I)c1,|Ar-COR|R_acidic-H -> R2CH-OH | spectators: Ar-I,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,Ar-COR|R_acidic-H,,,Ar-Alkyl|R2CH-OH,,,,,,,,,1452381-85-9,MeOH,I,"Journal of Organic Chemistry (2020), 85(4), 2242-2249",85,-0.71
Transfer_hydrogenation,Reduction_carbonyl_to_alcohol,CC(=O)c1ccc(I)cc1>>CC(O)c1ccc(I)cc1,|Ar-COR|R_acidic-H -> R2CH-OH | spectators: Ar-I,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,Ar-COR|R_acidic-H,,,Ar-Alkyl|R2CH-OH,,,,,,,,,1452381-85-9,MeOH,I,"Journal of Organic Chemistry (2020), 85(4), 2242-2249",87,0.71
Transfer_hydrogenation,Reduction_carbonyl_to_alcohol,CC(=O)c1ccc(C(F)(F)F)cc1>>CC(O)c1ccc(C(F)(F)F)cc1,|Ar-COR|R_acidic-H -> R2CH-OH | spectators: Ar-CF3,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,Ar-COR|R_acidic-H,,,Ar-Alkyl|R2CH-OH,,,,,,,,,1452381-85-9,MeOH,CF3,"Journal of Organic Chemistry (2020), 85(4), 2242-2249",90,-0.71
Transfer_hydrogenation,Reduction_carbonyl_to_alcohol,CC(=O)c1ccc(C#N)cc1>>CC(O)c1ccc(C#N)cc1,|Ar-COR|R_acidic-H -> R2CH-OH | spectators: Ar-CN,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,Ar-COR|R_acidic-H,,,Ar-Alkyl|R2CH-OH,,,,,,,,,1452381-85-9,MeOH,CN,"Journal of Organic Chemistry (2020), 85(4), 2242-2249",93,0.0
Transfer_hydrogenation,Reduction_carbonyl_to_alcohol,CC(=O)c1ccccn1>>CC(O)c1ccccn1,|Ar-COR|R_acidic-H -> R2CH-OH | spectators: HeteroAr-H|Pyridine,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,Ar-COR|R_acidic-H,,,Ar-Alkyl|R2CH-OH,,,,,,,,,1452381-85-9,MeOH,Pyridine / HeteroAr,"Journal of Organic Chemistry (2020), 85(4), 2242-2249",96,1.42
Transfer_hydrogenation,Reduction_carbonyl_to_alcohol,CC(=O)c1ccc2ccccc2c1>>CC(O)c1ccc2ccccc2c1,|Ar-COR|R_acidic-H -> R2CH-OH,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,Ar-COR|R_acidic-H,,,Ar-Alkyl|R2CH-OH,,,,,,,,,1452381-85-9,MeOH,,"Journal of Organic Chemistry (2020), 85(4), 2242-2249",90,-0.31
Transfer_hydrogenation,Reduction_carbonyl_to_alcohol,CC(=O)c1ccccc1>>[2H]OC([2H])(C)c1ccccc1,|Ar-COR|R_acidic-H -> R2CH-OH,form:C-H;H-O | form_labeled:C-H;H-O | redox:net_reduction | redox_conf:0.55 | q:high(1.00) | kinds:intramolecular_likely,Ar-COR|R_acidic-H,,,Ar-Alkyl|R2CH-OH,,,,,,,,,22739-76-0/2413435-62-6,,,"Inorganica Chimica Acta (2020), 507119551",93,0.21
Transfer_hydrogenation,Reduction_carbonyl_to_alcohol,O=C1CCc2ccccc2C1>>[2H]OC1([2H])CCc2ccccc2C1,|Bn-COR|R_acidic-H -> R2CH-OH | spectators: Ar-Alkyl,form:C-H;H-O | form_labeled:C-H;H-O | redox:net_reduction | redox_conf:0.55 | q:high(1.00) | kinds:intramolecular_likely,Bn-COR|R_acidic-H,,,Ar-Alkyl|R2CH-OH,,,KOH,,,,,,22739-76-0/2413435-62-6,,,"Inorganica Chimica Acta (2020), 507119551",99,0.0
Transfer_hydrogenation,Reduction_carbonyl_to_alcohol,CC(=O)c1cccc(Cl)c1>>CC(O)c1cccc(Cl)c1,|Ar-COR|R_acidic-H -> R2CH-OH | spectators: Ar-Cl,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,Ar-COR|R_acidic-H,,,Ar-Alkyl|R2CH-OH,(Pentamethylcyclopentadienyl)iridium(III) chloride dimer,,KOH,,,,,,741273-67-6,MeOH,Cl,"ChemCatChem (2020), 12(13), 3472-3476",88,-0.39
Transfer_hydrogenation,Reduction_carbonyl_to_alcohol,CCC(=O)c1ccc(F)cc1>>CCC(O)c1ccc(F)cc1,|Ar-COR|R_acidic-H -> R2CH-OH | spectators: Ar-F,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,Ar-COR|R_acidic-H,,,Ar-Alkyl|R2CH-OH,(Pentamethylcyclopentadienyl)iridium(III) chloride dimer,,KOH,,,,,,741273-67-6,MeOH,F,"ChemCatChem (2020), 12(13), 3472-3476",81,-1.11
Transfer_hydrogenation,Reduction_carbonyl_to_alcohol,CCCCC(=O)c1ccccc1>>CCCCC(O)c1ccccc1,|Ar-COR|R_acidic-H -> R2CH-OH,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,Ar-COR|R_acidic-H,,,Ar-Alkyl|R2CH-OH,(Pentamethylcyclopentadienyl)iridium(III) chloride dimer,,KOH,,,,,,741273-67-6,MeOH,,"ChemCatChem (2020), 12(13), 3472-3476",83,-1.53
Transfer_hydrogenation,Reduction_carbonyl_to_alcohol,Cc1ccc(NC(=O)C(=O)c2ccccc2F)cc1>>Cc1ccc(NC(=O)C(O)c2ccccc2F)cc1,|Ar-COR -> R2CH-OH | spectators: Ar-Alkyl|Ar-F|Ar-NHCOR,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,Ar-COR,,,R2CH-OH|R_acidic-H,"Ruthenium/[(S,S)-Teth-MsDPEN-RuCl]",,,,,,iPrOH,,,,F / NHCOR,"New Journal of Chemistry (2020), 44(25), 10578-10585",98,0.0
