reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,Reaction_Events,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Thiolene_and_thiolyne,Event:C-S,NCCS.C=CCOCC(COCC=C)(COCC=C)COC(=O)CCCCCCC/C=C\CCCCCCCC>>CCCCCCCC/C=C\CCCCCCCC(=O)OCC(COCCCSCCN)(COCCCSCCN)COCCCSCCN,|Allyl-OR|RCH2-Alkenyl|RCH2-SH -> RCH2-NH2|RCH2-OR|RCH2-SR | spectators: RCH2-COOR|RCH2-NH2|R_acidic-H,redox:net_oxidation | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_s_bond_formation+intermolecular_or_multi_component | fam:bond_formation | mol:intermolecular_or_multi_component | form_cls:C-S | ringd:0 | anom:mapping_unreliable_fallback_used | risk:overreaction_or_chemoselectivity | ehyb:sp3 | eenv:allylic | nclass:alcohol_or_phenol+thiol_or_thioether | amb:0,RCH2-SH,RCH2-Alkenyl|Allyl-OR,,RCH2-NH2|RCH2-OR|RCH2-SR,,,K2CO3,,,,,,,EtOH/H2O,NH2 / COOR,"Polymer (2014), 55(22), 5561-5570",76,0.71
Thiolene_and_thiolyne,Event:C-S,C=CCCCCCCCCCC.Cn1cc[n+](CCCCCS)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F>>CCCCCCCCCCCCSCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,|RCH2-Alkenyl|RCH2-SH -> RCH2-SR | spectators: Alkyl-AromN|Alkyl-F|HeteroAr-H,redox:net_oxidation | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_s_bond_formation+intermolecular_or_multi_component | fam:bond_formation | mol:intermolecular_or_multi_component | form_cls:C-S | ringd:0 | anom:mapping_unreliable_fallback_used | ehyb:sp3 | nclass:thiol_or_thioether | amb:0,RCH2-Alkenyl,RCH2-SH,Alkyl-F,RCH2-SR,,,,,,,,,24650-42-8,MeOH/DCM,AromN / F / HeteroAr,"Chemistry - A European Journal (2014), 20(25), 7576-7580",94,0.39
Thiolene_and_thiolyne,Event:C-S,CCCCCCCCCCS.C=CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F>>CCCCCCCCCCSCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,|RCH2-Alkenyl|RCH2-SH -> RCH2-SR | spectators: Alkyl-AromN|Alkyl-F|HeteroAr-H,redox:net_oxidation | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_s_bond_formation+intermolecular_or_multi_component | fam:bond_formation | mol:intermolecular_or_multi_component | form_cls:C-S | ringd:0 | anom:mapping_unreliable_fallback_used | ehyb:sp3 | nclass:thiol_or_thioether | amb:0,RCH2-SH,RCH2-Alkenyl,Alkyl-F,RCH2-SR,,,,,,,,,24650-42-8,MeOH/DCM,AromN / F / HeteroAr,"Chemistry - A European Journal (2014), 20(25), 7576-7580",91,-0.4
Thiolene_and_thiolyne,Event:C-S,CCCCCCCCCCCCS.C=CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F>>CCCCCCCCCCCCSC(C)CCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,|RCH2-Alkenyl|RCH2-SH -> RCH2-SR | spectators: Alkyl-AromN|Alkyl-F|HeteroAr-H,redox:net_oxidation | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_s_bond_formation+intermolecular_or_multi_component | fam:bond_formation | mol:intermolecular_or_multi_component | form_cls:C-S | ringd:0 | anom:mapping_unreliable_fallback_used | ehyb:sp3 | nclass:thiol_or_thioether | amb:0,RCH2-SH,RCH2-Alkenyl,Alkyl-F,RCH2-SR,,,,,,,,,24650-42-8,MeOH,AromN / F / HeteroAr,"Chemistry - A European Journal (2014), 20(25), 7576-7580",100,1.97
Thiolene_and_thiolyne,Event:C-S,CC(=O)S.C=CCOC[C@H](NC(=O)OC(C)(C)C)C(=O)OC>>COC(=O)[C@H](COCCCSC(C)=O)NC(=O)OC(C)(C)C,|Allyl-OR|RCH2-Alkenyl|Thiocarbonyl-SH -> RCH2-OR | spectators: R2CH-COOR|R_acidic-H,redox:net_oxidation | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_s_bond_formation+intermolecular_or_multi_component | fam:bond_formation | mol:intermolecular_or_multi_component | form_cls:C-S | ringd:0 | anom:mapping_unreliable_fallback_used | risk:overreaction_or_chemoselectivity | ehyb:sp3 | eenv:allylic | nclass:alcohol_or_phenol+thiol_or_thioether | amb:0,Thiocarbonyl-SH,RCH2-Alkenyl|Allyl-OR,,RCH2-OR,,,,,,,,,97-94-9,THF/n-Hexane,COOR,"European Journal of Organic Chemistry (2015), 2015(36), 8011-8017",85,0.0
Thiolene_and_thiolyne,Event:C-S,C=C[Si](Cl)(Cl)Cl.Sc1ccccc1>>Cl[Si](Cl)(Cl)CCSc1ccccc1,|Alkenyl-Si*|Ar-SH -> Ar-SR,redox:net_oxidation | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_s_bond_formation+intermolecular_or_multi_component | fam:bond_formation | mol:intermolecular_or_multi_component | form_cls:C-S | ringd:0 | anom:mapping_unreliable_fallback_used | risk:overreaction_or_chemoselectivity | ehyb:sp2 | eenv:aromatic_sp2 | nclass:carbon_nucleophile_like+thiol_or_thioether | amb:0,Alkenyl-Si*,Ar-SH,,Alkyl-Si*|Ar-SR,,,,,,,,,119-61-9,,,"Tetrahedron Letters (2014), 55(50), 6773-6775",97,-0.87
Thiolene_and_thiolyne,Event:C-S,CCCCCCCCCCCCS.C=CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F>>CCCCCCCCCCCCSCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,|RCH2-Alkenyl|RCH2-SH -> RCH2-SR | spectators: Alkyl-AromN|Alkyl-F|HeteroAr-H,redox:net_oxidation | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_s_bond_formation+intermolecular_or_multi_component | fam:bond_formation | mol:intermolecular_or_multi_component | form_cls:C-S | ringd:0 | anom:mapping_unreliable_fallback_used | ehyb:sp3 | nclass:thiol_or_thioether | amb:0,RCH2-SH,RCH2-Alkenyl,Alkyl-F,RCH2-SR,,,,,,,,,24650-42-8,MeOH/DCM,AromN / F / HeteroAr,"Chemistry - A European Journal (2014), 20(25), 7576-7580",92,-0.14
Thiolene_and_thiolyne,Event:C-S,C=CCCCCCCCC.Cn1cc[n+](CCCCCCCS)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F>>CCCCCCCCCCSCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,|RCH2-Alkenyl|RCH2-SH -> RCH2-SR | spectators: Alkyl-AromN|Alkyl-F|HeteroAr-H,redox:net_oxidation | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_s_bond_formation+intermolecular_or_multi_component | fam:bond_formation | mol:intermolecular_or_multi_component | form_cls:C-S | ringd:0 | anom:mapping_unreliable_fallback_used | ehyb:sp3 | nclass:thiol_or_thioether | amb:0,RCH2-Alkenyl,RCH2-SH,Alkyl-F,RCH2-SR,,,,,,,,,24650-42-8,MeOH/DCM,AromN / F / HeteroAr,"Chemistry - A European Journal (2014), 20(25), 7576-7580",91,-0.4
Thiolene_and_thiolyne,Event:C-S,C=CCCCCCCCCCC.Cn1cc[n+](CCCCCS)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F>>CCCCCCCCCCC(C)SCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,|RCH2-Alkenyl|RCH2-SH -> RCH2-SR | spectators: Alkyl-AromN|Alkyl-F|HeteroAr-H,redox:net_oxidation | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_s_bond_formation+intermolecular_or_multi_component | fam:bond_formation | mol:intermolecular_or_multi_component | form_cls:C-S | ringd:0 | anom:mapping_unreliable_fallback_used | ehyb:sp3 | nclass:thiol_or_thioether | amb:0,RCH2-Alkenyl,RCH2-SH,Alkyl-F,RCH2-SR,,,,,,,,,24650-42-8,MeOH,AromN / F / HeteroAr,"Chemistry - A European Journal (2014), 20(25), 7576-7580",98,1.44
Thiolene_and_thiolyne,Event:C-S,CCCCCCCCCCS.C=CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F>>CCCCCCCCCCSC(C)CCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,|RCH2-Alkenyl|RCH2-SH -> RCH2-SR | spectators: Alkyl-AromN|Alkyl-F|HeteroAr-H,redox:net_oxidation | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_s_bond_formation+intermolecular_or_multi_component | fam:bond_formation | mol:intermolecular_or_multi_component | form_cls:C-S | ringd:0 | anom:mapping_unreliable_fallback_used | ehyb:sp3 | nclass:thiol_or_thioether | amb:0,RCH2-SH,RCH2-Alkenyl,Alkyl-F,RCH2-SR,,,,,,,,,24650-42-8,MeOH,AromN / F / HeteroAr,"Chemistry - A European Journal (2014), 20(25), 7576-7580",91,-0.4
Thiolene_and_thiolyne,Event:C-S,CCS.C=C[Si](C)(C)Cl>>CCSCC[Si](C)(C)Cl,|Alkenyl-Si*|RCH2-SH -> Alkyl-Si*|RCH2-SR,redox:net_oxidation | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_s_bond_formation+intermolecular_or_multi_component | fam:bond_formation | mol:intermolecular_or_multi_component | form_cls:C-S | ringd:0 | anom:mapping_unreliable_fallback_used | risk:overreaction_or_chemoselectivity | ehyb:sp2 | nclass:carbon_nucleophile_like+thiol_or_thioether | amb:0,RCH2-SH,Alkenyl-Si*,,Alkyl-Si*|RCH2-SR,,,,,,,,,119-61-9,Et2O,,"Tetrahedron Letters (2014), 55(50), 6773-6775",99,0.31
Thiolene_and_thiolyne,Event:C-S,CCCCCCCCCS.C=CCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F>>CCCCCCCCCSC(C)CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,|RCH2-Alkenyl|RCH2-SH -> RCH2-SR | spectators: Alkyl-AromN|Alkyl-F|HeteroAr-H,redox:net_oxidation | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_s_bond_formation+intermolecular_or_multi_component | fam:bond_formation | mol:intermolecular_or_multi_component | form_cls:C-S | ringd:0 | anom:mapping_unreliable_fallback_used | ehyb:sp3 | nclass:thiol_or_thioether | amb:0,RCH2-SH,RCH2-Alkenyl,Alkyl-F,RCH2-SR,,,,,,,,,24650-42-8,MeOH,AromN / F / HeteroAr,"Chemistry - A European Journal (2014), 20(25), 7576-7580",89,-0.93
Thiolene_and_thiolyne,Event:C-S,CCCCCCS.C=CCOC[C@H](NC(=O)OC(C)(C)C)C(=O)OC>>CCCCCCSCCCOC[C@H](NC(=O)OC(C)(C)C)C(=O)OC,|Allyl-OR|RCH2-Alkenyl|RCH2-SH -> RCH2-OR|RCH2-SR | spectators: R2CH-COOR|R_acidic-H,redox:net_oxidation | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_s_bond_formation+intermolecular_or_multi_component | fam:bond_formation | mol:intermolecular_or_multi_component | form_cls:C-S | ringd:0 | anom:mapping_unreliable_fallback_used | risk:overreaction_or_chemoselectivity | ehyb:sp3 | eenv:allylic | nclass:alcohol_or_phenol+thiol_or_thioether | amb:0,RCH2-SH,RCH2-Alkenyl|Allyl-OR,,RCH2-OR|RCH2-SR,,,,,,,,,97-94-9,THF/n-Hexane,COOR,"European Journal of Organic Chemistry (2015), 2015(36), 8011-8017",79,0.0
Thiolene_and_thiolyne,Multi-Event:C-S+C-C,C=C[Si](C)(C)Cl.SCCO[Si](OCCS)(OCCS)OCCS>>C[Si](C)(Cl)CCSCCO[Si](OCCSCC[Si](C)(C)Cl)(OCCSCC[Si](C)(C)Cl)OCCSCC[Si](C)(C)Cl,|Alkenyl-Si*|RCH2-SH -> Alkyl-Si*|RCH2-SR,sig:C-S+C-C | redox:net_oxidation | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_c_bond_formation+c_s_bond_formation+intermolecular_or_multi_component | fam:bond_formation | mol:intermolecular_or_multi_component | form_cls:C-C;C-S | ringd:0 | anom:mapping_unreliable_fallback_used | risk:overreaction_or_chemoselectivity | ehyb:sp2 | nclass:carbon_nucleophile_like+thiol_or_thioether | amb:0,Alkenyl-Si*,RCH2-SH,,Alkyl-Si*|RCH2-SR,,,,,,,,,119-61-9,Et2O,,"Tetrahedron Letters (2014), 55(50), 6773-6775",100,0.93
Thiolene_and_thiolyne,Multi-Event:C-S+C-C,C=C[Si](Cl)(Cl)Cl.SCCO[Si](OCCS)(OCCS)OCCS>>Cl[Si](Cl)(Cl)CCSCCO[Si](OCCSCC[Si](Cl)(Cl)Cl)(OCCSCC[Si](Cl)(Cl)Cl)OCCSCC[Si](Cl)(Cl)Cl,|Alkenyl-Si*|RCH2-SH -> Alkyl-Si*|RCH2-SR,sig:C-S+C-C | redox:net_oxidation | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_c_bond_formation+c_s_bond_formation+intermolecular_or_multi_component | fam:bond_formation | mol:intermolecular_or_multi_component | form_cls:C-C;C-S;C-Si;Cl-Si | ringd:0 | anom:mapping_unreliable_fallback_used | risk:overreaction_or_chemoselectivity | ehyb:sp2 | nclass:carbon_nucleophile_like+thiol_or_thioether | amb:0,Alkenyl-Si*,RCH2-SH,,Alkyl-Si*|RCH2-SR,,,,,,,,,119-61-9,Et2O,,"Tetrahedron Letters (2014), 55(50), 6773-6775",100,0.93
Thiolene_and_thiolyne,Multi-Event:C-N+C-O+C-S,C=CCCCCC=C.COC(=O)[C@H](CS)NC(C)=O>>COC(=O)[C@H](CSCCCCCCCCSC[C@H](NC(C)=O)C(=O)OC)NC(C)=O,|RCH2-Alkenyl|RCH2-SH -> Alkyl-NHCOR | spectators: Alkyl-NHCOR|R2CH-COOR|R_acidic-H,sig:C-N+C-O+C-S | redox:net_oxidation | redox_conf:0.75 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_n_bond_formation+c_o_bond_formation+c_s_bond_formation+intermolecular_or_multi_component | fam:bond_formation | mol:intermolecular_or_multi_component | form_cls:C-N;C-O;C-S | break_cls:C-C | ringd:0 | anom:mapping_unreliable_fallback_used | risk:overreaction_or_chemoselectivity | ehyb:sp3 | nclass:alcohol_or_phenol+amine+thiol_or_thioether | amb:0,RCH2-Alkenyl,RCH2-SH,,Alkyl-NHCOR|R2CH-COOR|RCH2-SR|R_acidic-H,,,,,,,,,24650-42-8,DMF,COOR / NHCOR,"Angewandte Chemie, International Edition (2015), 54(37), 10931-10934",85,0.0
Thiolene_and_thiolyne,Event:C-S,C=CCCCCCCC.Cn1cc[n+](CCCCCCCCS)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F>>CCCCCCCC(C)SCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,|RCH2-Alkenyl|RCH2-SH -> RCH2-SR | spectators: Alkyl-AromN|Alkyl-F|HeteroAr-H,redox:net_oxidation | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_s_bond_formation+intermolecular_or_multi_component | fam:bond_formation | mol:intermolecular_or_multi_component | form_cls:C-S | ringd:0 | anom:mapping_unreliable_fallback_used | ehyb:sp3 | nclass:thiol_or_thioether | amb:0,RCH2-Alkenyl,RCH2-SH,Alkyl-F,RCH2-SR,,,,,,,,,24650-42-8,MeOH,AromN / F / HeteroAr,"Chemistry - A European Journal (2014), 20(25), 7576-7580",90,-0.67
Thiolene_and_thiolyne,Event:C-S,OCCS.C=CCOC(=O)[C@H](CO)NC(=O)OC(C)(C)C>>CC(C)(C)OC(=O)N[C@@H](CO)C(=O)OCCCSCCO,|RCH2-Alkenyl|RCH2-SH -> RCH2-SR | spectators: R2CH-COOR|RCH2-OH|R_acidic-H,redox:net_oxidation | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_s_bond_formation+intermolecular_or_multi_component | fam:bond_formation | mol:intermolecular_or_multi_component | form_cls:C-S | ringd:0 | anom:mapping_unreliable_fallback_used | ehyb:sp3 | nclass:thiol_or_thioether | amb:0,RCH2-SH,RCH2-Alkenyl,,RCH2-SR,,,,,,,,,97-94-9,THF/n-Hexane,OH / COOR,"European Journal of Organic Chemistry (2015), 2015(36), 8011-8017",88,0.32
Thiolene_and_thiolyne,Event:C-S,C=COC(=O)CCCCCCCCCCCCCCC.O=C(N[C@@H](CS)C(=O)O)OCC1c2ccccc2-c2ccccc21>>CCCCCCCCCCCCCCCC(=O)OCCSC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,|RCH2-SH -> RCH2-SR | spectators: Ar-Alkyl|Ar-Ar|R2CH-COOH|RCH2-COOR|R_acidic-H,redox:net_oxidation | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_s_bond_formation+intermolecular_or_multi_component | fam:bond_formation | mol:intermolecular_or_multi_component | form_cls:C-S | ringd:0 | anom:mapping_unreliable_fallback_used | ehyb:sp3 | nclass:thiol_or_thioether | amb:0,RCH2-COOR,RCH2-SH,,RCH2-SR,,,,,,,,,24650-42-8,DCM,COOH / COOR,"European Journal of Organic Chemistry (2016), 2016(15), 2608-2616",82,0.0
Thiolene_and_thiolyne,Event:C-S,CC(=O)N[C@@H](CS)C(=O)O.C=COC(=O)CCCCCCCCCCCCCCC>>CCCCCCCCCCCCCCCC(=O)OCCSC[C@H](NC(C)=O)C(=O)O,|RCH2-SH -> RCH2-SR | spectators: Alkyl-NHCOR|R2CH-COOH|RCH2-COOR|R_acidic-H,redox:net_oxidation | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_s_bond_formation+intermolecular_or_multi_component | fam:bond_formation | mol:intermolecular_or_multi_component | form_cls:C-S | ringd:0 | anom:mapping_unreliable_fallback_used | ehyb:sp3 | nclass:thiol_or_thioether | amb:0,RCH2-SH,RCH2-COOR,,RCH2-SR,,,,,,,,,24650-42-8,DCM,COOH / COOR / NHCOR,"European Journal of Organic Chemistry (2016), 2016(15), 2608-2616",88,0.0
Thiolene_and_thiolyne,Event:C-S,C=COC(=O)CCCCCCCCCCCCCCC.CC(C)(C)OC(=O)N[C@@H](CS)C(=O)O>>CCCCCCCCCCCCCCCC(=O)OCCSC[C@H](NC(=O)OC(C)(C)C)C(=O)O,|RCH2-SH -> RCH2-SR | spectators: R2CH-COOH|RCH2-COOR|R_acidic-H,redox:net_oxidation | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_s_bond_formation+intermolecular_or_multi_component | fam:bond_formation | mol:intermolecular_or_multi_component | form_cls:C-S | ringd:0 | anom:mapping_unreliable_fallback_used | ehyb:sp3 | nclass:thiol_or_thioether | amb:0,RCH2-COOR,RCH2-SH,,RCH2-SR,,,,,,,,,24650-42-8,DCM,COOH / COOR,"European Journal of Organic Chemistry (2016), 2016(15), 2608-2616",82,0.0
Thiolene_and_thiolyne,Event:C-S,O=S(=O)(O)CCS.[Na].C=C1[C@H]2OC(C)(C)O[C@H]2O[C@@H]1[C@H]1COC(C)(C)O1>>CC1(C)O[C@H]2O[C@H]([C@H]3COC(C)(C)O3)[C@@H](CSCCS(=O)(=O)O)[C@H]2O1.[Na],|R2CH-Alkenyl|RCH2-SH -> RCH2-SR | spectators: Inorganic|R2CH-OR|R3C-OR|RCH2-OR|R_acidic-H,redox:net_oxidation | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_s_bond_formation+intermolecular_or_multi_component | fam:bond_formation | mol:intermolecular_or_multi_component | form_cls:C-S | ringd:0 | anom:mapping_unreliable_fallback_used | ehyb:sp3 | nclass:thiol_or_thioether | amb:0,RCH2-SH,Inorganic,R2CH-Alkenyl,RCH2-SR,,,,,,,,,24650-42-8,MeOH,Inorganic / OR,"Chemical Papers (2015), 69(6), 889-895",92,0.0
Thiolene_and_thiolyne,Event:C-S,C=CCc1ccccc1.CC(=O)N[C@@H](CS)C(=O)O>>CC(=O)N[C@@H](CSCCCc1ccccc1)C(=O)O,|RCH2-Alkenyl|RCH2-SH -> RCH2-SR | spectators: Alkyl-NHCOR|Ar-Alkyl|R2CH-COOH|R_acidic-H,form:C-S | form_labeled:C-S | redox:net_oxidation | redox_conf:0.55 | q:high(1.00) | kinds:c_s_bond_formation+intermolecular_or_multi_component | fam:bond_formation | mol:intermolecular_or_multi_component | form_cls:C-S | ringd:0 | ehyb:sp3 | nclass:thiol_or_thioether | amb:0,RCH2-Alkenyl,RCH2-SH,,RCH2-SR,,,,,,,,,4767-03-7,MeOH,COOH / NHCOR,"Chemical Communications (Cambridge, United Kingdom) (2016), 52(68), 10389-10391",81,0.0
Thiolene_and_thiolyne,Alkene_Hydrogenation,Sc1ccccc1.C=Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c2ncnc(N)c12>>Nc1ncnc2c1c(CCSc1ccccc1)cn2[C@H]1C[C@H](O)[C@@H](CO)O1,|Ar-Alkenyl_terminal|Ar-SH -> Ar-Alkyl | spectators: Alkyl-AromN|HeteroAr-H|HeteroAr-NH2|Pyrimidine|R2CH-OH|R2CH-OR|RCH2-OH,form:C-S | form_labeled:C-S | redox:net_oxidation | redox_conf:0.55 | q:high(1.00) | kinds:c_s_bond_formation+intermolecular_or_multi_component | fam:bond_formation | mol:intermolecular_or_multi_component | form_cls:C-S | ringd:0 | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:thiol_or_thioether | amb:0,Ar-SH,Ar-Alkenyl_terminal,,Ar-Alkyl|Ar-SR,,,,,,,,,,MeOH/DCM,Pyrimidine / AromN / NH2 / OH / HeteroAr / OR,"Journal of Organic Chemistry (2016), 81(22), 11115-11125",85,0.0
Thiolene_and_thiolyne,Alkene_Hydrogenation,CC(C)(C)c1ccc(S)cc1.C=Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c2ncnc(N)c12>>CC(C)(C)c1ccc(SCCc2cn([C@H]3C[C@H](O)[C@@H](CO)O3)c3ncnc(N)c23)cc1,|Ar-Alkenyl_terminal|Ar-SH -> Ar-Alkyl | spectators: Alkyl-AromN|Ar-Alkyl|HeteroAr-H|HeteroAr-NH2|Pyrimidine|R2CH-OH|R2CH-OR|RCH2-OH,redox:net_oxidation | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_s_bond_formation+intermolecular_or_multi_component | fam:bond_formation | mol:intermolecular_or_multi_component | form_cls:C-S | ringd:0 | anom:mapping_unreliable_fallback_used | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:thiol_or_thioether | amb:0,Ar-SH,Ar-Alkenyl_terminal,,Ar-Alkyl|Ar-SR,,,,,,,,,,MeOH/DCM,Pyrimidine / AromN / NH2 / OH / HeteroAr / OR,"Journal of Organic Chemistry (2016), 81(22), 11115-11125",82,0.0
Thiolene_and_thiolyne,Event:C-S,SCCS.C=CCc1ccc(O[Si](CC)(CC)CC)c(O[Si](CC)(CC)CC)c1>>CC[Si](CC)(CC)Oc1ccc(CCCSCCS)cc1O[Si](CC)(CC)CC,|RCH2-Alkenyl|RCH2-SH -> RCH2-SR | spectators: Alkyl-Si*|Ar-Alkyl,redox:net_oxidation | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_s_bond_formation+intermolecular_or_multi_component | fam:bond_formation | mol:intermolecular_or_multi_component | form_cls:C-S | ringd:0 | anom:mapping_unreliable_fallback_used | ehyb:sp3 | nclass:thiol_or_thioether | amb:0,RCH2-SH,RCH2-Alkenyl,,RCH2-SR,,,,,,,,,98-86-2,,SH / Si*,"Russian Chemical Bulletin (2016), 65(4), 1061-1066",99,0.71
Thiolene_and_thiolyne,Event:C-S,SCc1ccccc1.C1=CCCCC1>>c1ccc(CSC2CCCCC2)cc1,|Bn-SH|RCH2-Alkenyl -> Bn-SR,redox:net_oxidation | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_s_bond_formation+intermolecular_or_multi_component | fam:bond_formation | mol:intermolecular_or_multi_component | form_cls:C-S | ringd:0 | anom:mapping_unreliable_fallback_used | ehyb:sp3 | eenv:benzylic | nclass:thiol_or_thioether | amb:0,Bn-SH,RCH2-Alkenyl,,Bn-SR,,,,,,,,,611-73-4,THF,,"Advanced Synthesis & Catalysis (2017), 359(2), 323-328",94,1.03
Thiolene_and_thiolyne,Alkene_Hydrogenation,C=Cc1ccccc1.SCc1ccccc1>>c1ccc(CCSCc2ccccc2)cc1,|Ar-Alkenyl_terminal|Bn-SH -> Ar-Alkyl,redox:net_oxidation | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_s_bond_formation+intermolecular_or_multi_component | fam:bond_formation | mol:intermolecular_or_multi_component | form_cls:C-S | ringd:0 | anom:mapping_unreliable_fallback_used | ehyb:sp2_aromatic | eenv:aromatic_sp2+benzylic | nclass:thiol_or_thioether | amb:0,Ar-Alkenyl_terminal,Bn-SH,,Ar-Alkyl|Bn-SR,,,,,,,,,611-73-4,THF,,"Advanced Synthesis & Catalysis (2017), 359(2), 323-328",98,1.1
Thiolene_and_thiolyne,Event:C-S,SCc1ccccc1.C=CCO>>OCCCSCc1ccccc1,|Bn-SH|RCH2-Alkenyl -> Bn-SR|RCH2-OH,form:C-S | form_labeled:C-S | redox:net_oxidation | redox_conf:0.55 | q:high(1.00) | kinds:c_s_bond_formation+intermolecular_or_multi_component | fam:bond_formation | mol:intermolecular_or_multi_component | form_cls:C-S | ringd:0 | risk:overreaction_or_chemoselectivity | ehyb:sp3 | eenv:allylic+benzylic | nclass:alcohol_or_phenol+thiol_or_thioether | amb:0,Bn-SH,RCH2-Alkenyl|Allyl-OH,,Bn-SR|RCH2-OH,,,,,,,,,611-73-4,THF,,"Advanced Synthesis & Catalysis (2017), 359(2), 323-328",95,1.15
