schema_version,observation_id,reaction_id,canonical_reaction_id,source_dataset,source_row_number,source_declared_family,reference_id,reference_resolution_status,admission_tier,admission_reasons,chemistry_status,condition_status,outcome_status,index_eligibility,reaction_smiles,canonical_reaction_smiles,evidence_quality,transformation_class,transformation_confidence,named_family,family_confidence,reaction_label,reaction_label_status,reaction_display_label_status,reaction_display_label_detailed,reaction_display_label_json,yield_pct,temperature_c,time_h,condition_recipe_id,condition_recipe_core_id,reference_condition_series_id,legacy_condition_recipe_id,raw_recipe_id,catalyst_cas,reagent_cas,solvent_cas,condition_resolved_count,condition_unresolved_count,condition_invalid_count,condition_identity_uncertainty,reaction_scope,formed_ring_sizes,ring_count_delta,reaction_event_count,reaction_event_scope,reaction_signature_id,signature_l0_exact,signature_l1_handle,signature_l2_transformation,signature_l3_bond_edit,signature_l4_environment,reaction_signature_json,reference
1.9,OBS1:1c556e5026f79373c8ae5bc3f3ac50a34edca03717228bd1fc45c26a5ba10dd3,31-026-CAS-23040224,CRX1:0c1d16c20d149d80907578ec88b4e3898efba7d20b4ad3cc7050ee73dd43badf,suzuki_miyaura,93,Suzuki_Miyaura,REF1:01d397a709597a28fad7fa230d9661cacdf3f20d250efb207d6f67813988e804,bibliographic_text,rejected,multistage_conditions_not_structured|no_usable_transformation_evidence,rejected,multistage_ambiguous,usable,ineligible,BrC1(Br)CC1(Br)CCc1ccccc1.CC1(C)OB(c2ccccc2)OC1(C)C.Cl[Se]c1ccccc1>>CC1(C)OB([C@@]2(c3ccccc3)C[C@@]2(CCc2ccccc2)[Se]c2ccccc2)OC1(C)C,BrC1(Br)CC1(Br)CCc1ccccc1.CC1(C)OB(c2ccccc2)OC1(C)C.Cl[Se]c1ccccc1>>CC1(C)OB([C@@]2(c3ccccc3)C[C@@]2(CCc2ccccc2)[Se]c2ccccc2)OC1(C)C,unresolved,,0.0,,0.0,,unavailable,,,,84.0,,,RCR1:cdcc299b34966f93a093dcd4fa6cc3fe310348ff1ed248e074c8d14a42732ecc,RCORE1:43a39995958c86ff68e75f9d97a6d16234c74128ae48efcee39d88783e1631c2,,COND1:catalyst=unknown|reagent=109-72-8+144-55-8|solvent=110-54-3+60-29-7+7732-18-5,RAWCOND1:823480d20f1fe95411917d930026a2b3d0c13da9f4085f7cf0345a299cbd0577,,109-72-8|144-55-8,110-54-3|60-29-7|7732-18-5,5,0,0,False,,,,,,,,,,,,,"Chemical Communications (Cambridge, United Kingdom) (2020), 56(99), 15545-15548"
1.9,OBS1:18239579e3f2634d955e61d59c48395031d74e8ec268cc2c737f819cf6699aa3,31-026-CAS-23043682,CRX1:b855d0431c9f6964c58108e4e1ea8c853f3d519e4ff0bdf845c2873d077d8b62,suzuki_miyaura,94,Suzuki_Miyaura,REF1:01d397a709597a28fad7fa230d9661cacdf3f20d250efb207d6f67813988e804,bibliographic_text,rejected,multistage_conditions_not_structured|no_usable_transformation_evidence,rejected,multistage_ambiguous,usable,ineligible,BrC1(Br)CC1(Br)CCc1ccccc1.CC1(C)OB(c2ccc(C(F)(F)F)cc2)OC1(C)C.Cl[Se]c1ccccc1>>CC1(C)OB([C@@]2(c3ccc(C(F)(F)F)cc3)C[C@@]2(CCc2ccccc2)[Se]c2ccccc2)OC1(C)C,BrC1(Br)CC1(Br)CCc1ccccc1.CC1(C)OB(c2ccc(C(F)(F)F)cc2)OC1(C)C.Cl[Se]c1ccccc1>>CC1(C)OB([C@@]2(c3ccc(C(F)(F)F)cc3)C[C@@]2(CCc2ccccc2)[Se]c2ccccc2)OC1(C)C,unresolved,,0.0,,0.0,,unavailable,,,,71.0,,,RCR1:cdcc299b34966f93a093dcd4fa6cc3fe310348ff1ed248e074c8d14a42732ecc,RCORE1:43a39995958c86ff68e75f9d97a6d16234c74128ae48efcee39d88783e1631c2,,COND1:catalyst=unknown|reagent=109-72-8+144-55-8|solvent=110-54-3+60-29-7+7732-18-5,RAWCOND1:823480d20f1fe95411917d930026a2b3d0c13da9f4085f7cf0345a299cbd0577,,109-72-8|144-55-8,110-54-3|60-29-7|7732-18-5,5,0,0,False,,,,,,,,,,,,,"Chemical Communications (Cambridge, United Kingdom) (2020), 56(99), 15545-15548"
1.9,OBS1:9f3e2ef08228bf3ed53cc8c582491dc3cf2ad50cea06ba892a95476d62061ac4,31-026-CAS-23044163,CRX1:29e60eef65d7135df7d2a3f8ea60fd89369584991c6ca0224ea7d2dd4c8c37c2,suzuki_miyaura,95,Suzuki_Miyaura,REF1:01d397a709597a28fad7fa230d9661cacdf3f20d250efb207d6f67813988e804,bibliographic_text,rejected,multistage_conditions_not_structured|no_usable_transformation_evidence,rejected,multistage_ambiguous,usable,ineligible,BrC1(Br)CC1(Br)CCc1ccccc1.COc1ccc(B2OC(C)(C)C(C)(C)O2)cc1.Cl[Se]c1ccccc1>>COc1ccc([C@]2(B3OC(C)(C)C(C)(C)O3)C[C@@]2(CCc2ccccc2)[Se]c2ccccc2)cc1,BrC1(Br)CC1(Br)CCc1ccccc1.COc1ccc(B2OC(C)(C)C(C)(C)O2)cc1.Cl[Se]c1ccccc1>>COc1ccc([C@]2(B3OC(C)(C)C(C)(C)O3)C[C@@]2(CCc2ccccc2)[Se]c2ccccc2)cc1,unresolved,,0.0,,0.0,,unavailable,,,,79.0,,,RCR1:cdcc299b34966f93a093dcd4fa6cc3fe310348ff1ed248e074c8d14a42732ecc,RCORE1:43a39995958c86ff68e75f9d97a6d16234c74128ae48efcee39d88783e1631c2,,COND1:catalyst=unknown|reagent=109-72-8+144-55-8|solvent=110-54-3+60-29-7+7732-18-5,RAWCOND1:823480d20f1fe95411917d930026a2b3d0c13da9f4085f7cf0345a299cbd0577,,109-72-8|144-55-8,110-54-3|60-29-7|7732-18-5,5,0,0,False,,,,,,,,,,,,,"Chemical Communications (Cambridge, United Kingdom) (2020), 56(99), 15545-15548"
1.9,OBS1:80d2effa2d545d1b5ee6cd755a40a5bc821116df45c58003862ab870315e0080,31-026-CAS-23045226,CRX1:5a6109273349b05c312e711d47cf2540c33b733357ae61d0d472b159099dfb42,suzuki_miyaura,96,Suzuki_Miyaura,REF1:01d397a709597a28fad7fa230d9661cacdf3f20d250efb207d6f67813988e804,bibliographic_text,rejected,multistage_conditions_not_structured|no_usable_transformation_evidence,rejected,multistage_ambiguous,usable,ineligible,BrC1(Br)CC1(Br)CCc1ccccc1.COc1ccccc1B1OC(C)(C)C(C)(C)O1.Cl[Se]c1ccccc1>>COc1ccccc1[C@]1(B2OC(C)(C)C(C)(C)O2)C[C@@]1(CCc1ccccc1)[Se]c1ccccc1,BrC1(Br)CC1(Br)CCc1ccccc1.COc1ccccc1B1OC(C)(C)C(C)(C)O1.Cl[Se]c1ccccc1>>COc1ccccc1[C@]1(B2OC(C)(C)C(C)(C)O2)C[C@@]1(CCc1ccccc1)[Se]c1ccccc1,unresolved,,0.0,,0.0,,unavailable,,,,73.0,,,RCR1:cdcc299b34966f93a093dcd4fa6cc3fe310348ff1ed248e074c8d14a42732ecc,RCORE1:43a39995958c86ff68e75f9d97a6d16234c74128ae48efcee39d88783e1631c2,,COND1:catalyst=unknown|reagent=109-72-8+144-55-8|solvent=110-54-3+60-29-7+7732-18-5,RAWCOND1:823480d20f1fe95411917d930026a2b3d0c13da9f4085f7cf0345a299cbd0577,,109-72-8|144-55-8,110-54-3|60-29-7|7732-18-5,5,0,0,False,,,,,,,,,,,,,"Chemical Communications (Cambridge, United Kingdom) (2020), 56(99), 15545-15548"
1.9,OBS1:d00718ef9dd7ce0f09f78378f4408f7a8e95e7ebe3d35addf78d1f3a9f956955,31-026-CAS-23046220,CRX1:655718688e1287cd5ed99e0dc76f252833c1433a09fd05d88267445f42153a32,suzuki_miyaura,97,Suzuki_Miyaura,REF1:01d397a709597a28fad7fa230d9661cacdf3f20d250efb207d6f67813988e804,bibliographic_text,rejected,multistage_conditions_not_structured|no_usable_transformation_evidence,rejected,multistage_ambiguous,usable,ineligible,BrC1(Br)CC1(Br)CCc1ccccc1.CC1(C)OB(c2ccc3ccccc3c2)OC1(C)C.Cl[Se]c1ccccc1>>CC1(C)OB([C@@]2(c3ccc4ccccc4c3)C[C@@]2(CCc2ccccc2)[Se]c2ccccc2)OC1(C)C,BrC1(Br)CC1(Br)CCc1ccccc1.CC1(C)OB(c2ccc3ccccc3c2)OC1(C)C.Cl[Se]c1ccccc1>>CC1(C)OB([C@@]2(c3ccc4ccccc4c3)C[C@@]2(CCc2ccccc2)[Se]c2ccccc2)OC1(C)C,unresolved,,0.0,,0.0,,unavailable,,,,81.0,,,RCR1:cdcc299b34966f93a093dcd4fa6cc3fe310348ff1ed248e074c8d14a42732ecc,RCORE1:43a39995958c86ff68e75f9d97a6d16234c74128ae48efcee39d88783e1631c2,,COND1:catalyst=unknown|reagent=109-72-8+144-55-8|solvent=110-54-3+60-29-7+7732-18-5,RAWCOND1:823480d20f1fe95411917d930026a2b3d0c13da9f4085f7cf0345a299cbd0577,,109-72-8|144-55-8,110-54-3|60-29-7|7732-18-5,5,0,0,False,,,,,,,,,,,,,"Chemical Communications (Cambridge, United Kingdom) (2020), 56(99), 15545-15548"
1.9,OBS1:546a37df12343734a6708c54429efd6c855947a850054d35ef6ce0f7fb711eb6,31-049-CAS-18765287,CRX1:b7dd5fe42605737bb8b6682cbf549bc3355552f14c6c9c29bbd0f8200fbc2c9b,suzuki_miyaura,199,Suzuki_Miyaura,REF1:e304c57b766bf5eed0222792dbe66dd9ce5c27db38709fdbd867abd092e4713f,bibliographic_text,rejected,multistage_conditions_not_structured|no_usable_transformation_evidence,rejected,multistage_ambiguous,usable,ineligible,Cn1nc(-c2ccccc2)cc1CBr.COc1cncc(B2OC(C)(C)C(C)(C)O2)c1>>Cn1nc(-c2ccccc2)cc1Cc1cncc(O)c1,COc1cncc(B2OC(C)(C)C(C)(C)O2)c1.Cn1nc(-c2ccccc2)cc1CBr>>Cn1nc(-c2ccccc2)cc1Cc1cncc(O)c1,unresolved,,0.0,,0.0,,unavailable,,,,7.0,,,RCR1:1d06d9e7ed71f34764f6e7b8aad7e445baaa17433ce2b72ee1f76fafd9056235,RCORE1:c69696e1a354ab0dfe1f8856a0cda7e7a5673b08015a4f9ec14dc7465ccefd05,,COND1:catalyst=72287-26-4|reagent=10035-10-6+534-17-8|solvent=110-71-4+64-17-5+7732-18-5,RAWCOND1:fc3713c0488ea732618fc07b7d6180db2c86bd09346e850df2c4358e95e4b566,72287-26-4,10035-10-6|534-17-8,110-71-4|64-17-5|7732-18-5,6,0,0,True,,,,,,,,,,,,,"European Journal of Medicinal Chemistry (2018), 143591-597"
1.9,OBS1:7328ef401acb5999e5a32a272a312ff63618405f137f71e1e973dda6d9826c25,31-049-CAS-18765288,CRX1:4f88ab5eba59b2ed131dd0392523592c31fb514c1ce3c3250d194915b4fc98fb,suzuki_miyaura,200,Suzuki_Miyaura,REF1:e304c57b766bf5eed0222792dbe66dd9ce5c27db38709fdbd867abd092e4713f,bibliographic_text,rejected,multistage_conditions_not_structured|no_usable_transformation_evidence,rejected,multistage_ambiguous,usable,ineligible,COc1cncc(B2OC(C)(C)C(C)(C)O2)c1.BrCc1cnc(-c2ccccc2)s1>>Oc1cncc(Cc2cnc(-c3ccccc3)s2)c1,BrCc1cnc(-c2ccccc2)s1.COc1cncc(B2OC(C)(C)C(C)(C)O2)c1>>Oc1cncc(Cc2cnc(-c3ccccc3)s2)c1,unresolved,,0.0,,0.0,,unavailable,,,,7.0,,,RCR1:1d06d9e7ed71f34764f6e7b8aad7e445baaa17433ce2b72ee1f76fafd9056235,RCORE1:c69696e1a354ab0dfe1f8856a0cda7e7a5673b08015a4f9ec14dc7465ccefd05,,COND1:catalyst=72287-26-4|reagent=10035-10-6+534-17-8|solvent=110-71-4+64-17-5+7732-18-5,RAWCOND1:fc3713c0488ea732618fc07b7d6180db2c86bd09346e850df2c4358e95e4b566,72287-26-4,10035-10-6|534-17-8,110-71-4|64-17-5|7732-18-5,6,0,0,True,,,,,,,,,,,,,"European Journal of Medicinal Chemistry (2018), 143591-597"
1.9,OBS1:7df6e88f0c22d0959eccb34ce46743f83392434b80a7cf96d108e70ebd9ef558,31-056-CAS-20961456,CRX1:b1b148ff5a787e09944d23c74e3cdedf28dbae95b2791fff9c5d7b3bc4d07f13,suzuki_miyaura,321,Suzuki_Miyaura,REF1:b0af76fb0a29fd0959aa8fa36b29cf2c6ec8b9087566a6a93d55cece921bc4f7,bibliographic_text,rejected,no_usable_transformation_evidence,rejected,resolved_complete,usable,ineligible,CCOP(=O)(OCC)C(F)(F)Br.CC(C)(C)c1ccc(B(O)O)cc1>>CC(C)(C)c1ccc(C(F)(F)C(F)F)cc1,CC(C)(C)c1ccc(B(O)O)cc1.CCOP(=O)(OCC)C(F)(F)Br>>CC(C)(C)c1ccc(C(F)(F)C(F)F)cc1,unresolved,,0.0,,0.0,,unavailable,,,,74.0,,,RCR1:9599d86ebb4e657da0d9664f3b4f88a7b763765109e492c3323f08dfcae43cd9,RCORE1:330a74141e34a4a7b7b0f2861154b0fd0fb6b8ae3792aa6ef3a4ccd8dd77c696,,COND1:catalyst=13965-03-2+161265-03-8|reagent=123-31-9+584-08-7|solvent=123-91-1,RAWCOND1:e72fe5b299b6005b6e705d47e2f88108182708b1bfc8009b50d75645613f28ae,13965-03-2|161265-03-8,123-31-9|584-08-7,123-91-1,5,0,0,True,,,,,,,,,,,,,"Nature Chemistry (2019), 11(10), 948-956"
1.9,OBS1:b923bb32918162ae3ce4bcc15fa56a27c68c60ef6066ce8320cf8d527d924246,31-056-CAS-20961462,CRX1:b52922d410232e654db72068c308f6f3e1e8860f021c78dddf488a664dd92425,suzuki_miyaura,322,Suzuki_Miyaura,REF1:b0af76fb0a29fd0959aa8fa36b29cf2c6ec8b9087566a6a93d55cece921bc4f7,bibliographic_text,rejected,no_usable_transformation_evidence,rejected,resolved_complete,usable,ineligible,CCOP(=O)(OCC)C(F)(F)Br.CCOC(=O)C(C)(C)Oc1ccc(B(O)O)cc1>>CCOC(=O)C(C)(C)Oc1ccc(C(F)(F)C(F)F)cc1,CCOC(=O)C(C)(C)Oc1ccc(B(O)O)cc1.CCOP(=O)(OCC)C(F)(F)Br>>CCOC(=O)C(C)(C)Oc1ccc(C(F)(F)C(F)F)cc1,unresolved,,0.0,,0.0,,unavailable,,,,70.0,,,RCR1:9599d86ebb4e657da0d9664f3b4f88a7b763765109e492c3323f08dfcae43cd9,RCORE1:330a74141e34a4a7b7b0f2861154b0fd0fb6b8ae3792aa6ef3a4ccd8dd77c696,,COND1:catalyst=13965-03-2+161265-03-8|reagent=123-31-9+584-08-7|solvent=123-91-1,RAWCOND1:e72fe5b299b6005b6e705d47e2f88108182708b1bfc8009b50d75645613f28ae,13965-03-2|161265-03-8,123-31-9|584-08-7,123-91-1,5,0,0,True,,,,,,,,,,,,,"Nature Chemistry (2019), 11(10), 948-956"
1.9,OBS1:f9bef8bee457f68497a76011aa1bd606a83182290e5663e6c70a7f43208cf171,31-056-CAS-23016305,CRX1:c663b9ddfcfe565abe7848237af41a0e94b9530f2a093d991b95f32e370982a8,suzuki_miyaura,327,Suzuki_Miyaura,REF1:9baa2f9b905e1d82edf919754b8602135cb2d3aedd01b07249ce7af6b07f7403,bibliographic_text,rejected,multistage_conditions_not_structured|no_usable_transformation_evidence,rejected,multistage_ambiguous,usable,ineligible,CC(Cl)c1ccccc1.CC1(C)OB(c2ccc3ccccc3c2)OC1(C)C>>CC(c1ccccc1)C(C)c1ccccc1.C[C@@H](c1ccccc1)c1ccc2ccccc2c1,CC(Cl)c1ccccc1.CC1(C)OB(c2ccc3ccccc3c2)OC1(C)C>>CC(c1ccccc1)C(C)c1ccccc1.C[C@@H](c1ccccc1)c1ccc2ccccc2c1,unresolved,,0.0,,0.0,,unavailable,,,,5.0,,,RCR1:20e5927786def2af70a2b0f239eb60eea88983efc74d1282db48fe4d3f0da86e,RCORE1:8a2b8e9c757ad9703c21833b19dd2591ce4b2e1c63c53a5044a9b80e5a69d2ed,,COND1:catalyst=1222193-12-5+2448464-33-1|reagent=12125-02-9+57018-31-2+621-23-8|solvent=367-11-3+7732-18-5,RAWCOND1:f8271c2f640fe1e2cbc4af01c0314e688de49c1ab047e5a98b4b23542f0ce7a4,1222193-12-5|2448464-33-1,12125-02-9|57018-31-2|621-23-8,367-11-3|7732-18-5,4,3,0,True,,,,,,,,,,,,,"Chemical Communications (Cambridge, United Kingdom) (2020), 56(93), 14661-14664"
1.9,OBS1:2babd998dd6bdcb7c6ae8ffa76fc766475b774ea3761449b97c330e6732856a7,31-056-CAS-23016908,CRX1:c663b9ddfcfe565abe7848237af41a0e94b9530f2a093d991b95f32e370982a8,suzuki_miyaura,328,Suzuki_Miyaura,REF1:9baa2f9b905e1d82edf919754b8602135cb2d3aedd01b07249ce7af6b07f7403,bibliographic_text,rejected,multistage_conditions_not_structured|no_usable_transformation_evidence,rejected,multistage_ambiguous,usable,ineligible,CC(Cl)c1ccccc1.CC1(C)OB(c2ccc3ccccc3c2)OC1(C)C>>CC(c1ccccc1)C(C)c1ccccc1.C[C@@H](c1ccccc1)c1ccc2ccccc2c1,CC(Cl)c1ccccc1.CC1(C)OB(c2ccc3ccccc3c2)OC1(C)C>>CC(c1ccccc1)C(C)c1ccccc1.C[C@@H](c1ccccc1)c1ccc2ccccc2c1,unresolved,,0.0,,0.0,,unavailable,,,,10.0,,,RCR1:42f2f271bb9f8d5b4a0460cf09db33b4569a134b9873c8f7c225c8e5a9042f57,RCORE1:d525a5573dfd919891e8cc6890b48e1f24ad0a8c441e9f0863d280679a40a26c,,COND1:catalyst=2243052-93-7|reagent=12125-02-9+57018-31-2+621-23-8|solvent=367-11-3+7732-18-5,RAWCOND1:523c110bf82c5535359d90b4aa20b4431924325184e1b9174f80abff648aa4f3,2243052-93-7,12125-02-9|57018-31-2|621-23-8,367-11-3|7732-18-5,4,2,0,True,,,,,,,,,,,,,"Chemical Communications (Cambridge, United Kingdom) (2020), 56(93), 14661-14664"
1.9,OBS1:3af5ac414f206468839e1d4f0ede39879150c450df79d9eeb74c01f965aa10d3,31-057-CAS-16619097,,suzuki_miyaura,334,Suzuki_Miyaura,REF1:a2127b246853234cef21b7170f7b820b771faae8610d1e94e3dd05e11b194e2a,bibliographic_text,rejected,invalid_reaction_or_product|multistage_conditions_not_structured,rejected,multistage_ambiguous,usable,ineligible,ClCCl.CC1(C)OB(c2ccccc2)OC1(C)C.C[CH-](C)->[Mg+2]([Cl-])[Cl-].[Li+]>>CC(C)C(B1OC(C)(C)C(C)(C)O1)c1ccccc1,,unresolved,,0.0,,0.0,,unavailable,,,,74.0,,,RCR1:5e7bb3747196660053686301505f1de64bc524031389c14ce66af32438fe6217,RCORE1:de8c95fd9aef258f9b00aafff8a2b40fefe3d65934ce1eb18baf6f26375ddea6,,COND1:catalyst=unknown|reagent=109-72-8|solvent=109-99-9+110-54-3,RAWCOND1:12fd9b0e7d8ad289c658e01d265dd3bd3101aca16dc94bf63827699bd10f0fa6,,109-72-8,109-99-9|110-54-3,3,0,0,False,,,,,,,,,,,,,"Organic Letters (2017), 19(4), 786-789"
1.9,OBS1:d67699793af7da624168b0be6f93e39f002032abc7680d28d85c9bf3869d809b,31-057-CAS-16619098,,suzuki_miyaura,335,Suzuki_Miyaura,REF1:a2127b246853234cef21b7170f7b820b771faae8610d1e94e3dd05e11b194e2a,bibliographic_text,rejected,invalid_reaction_or_product|multistage_conditions_not_structured,rejected,multistage_ambiguous,usable,ineligible,ClCCl.CC1(C)OB(c2cccc(CCl)c2)OC1(C)C.C[CH-](C)->[Mg+2]([Cl-])[Cl-].[Li+]>>CC(C)C(B1OC(C)(C)C(C)(C)O1)c1cccc(CCl)c1,,unresolved,,0.0,,0.0,,unavailable,,,,89.0,,,RCR1:5e7bb3747196660053686301505f1de64bc524031389c14ce66af32438fe6217,RCORE1:de8c95fd9aef258f9b00aafff8a2b40fefe3d65934ce1eb18baf6f26375ddea6,,COND1:catalyst=unknown|reagent=109-72-8|solvent=109-99-9+110-54-3,RAWCOND1:12fd9b0e7d8ad289c658e01d265dd3bd3101aca16dc94bf63827699bd10f0fa6,,109-72-8,109-99-9|110-54-3,3,0,0,False,,,,,,,,,,,,,"Organic Letters (2017), 19(4), 786-789"
