reaction_id,duplicate_reaction_ids,source_files,reaction_type,yield_pct,temperature_c,time_h,reactant_smiles,product_smiles,reaction_smiles,title,authors,citation,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,product_yields_json,reactants_json,products_json,reagents_json,catalysts_json,solvents_json,notes,structure_warnings
31-022-CAS-20526061,31-022-CAS-20526061,Reaction_20251106_1126.rdf,Beckmann rearrangement,94,,,CC(=NO)c1ccc(O)cc1,CC(=O)Nc1ccc(OS(=O)(=O)F)cc1,CC(=NO)c1ccc(O)cc1>>CC(=O)Nc1ccc(OS(=O)(=O)F)cc1,SO2F2-Activated Efficient Beckmann Rearrangement of Ketoximes for Accessing Amides and Lactams,"Zhang, Guofu; Zhao, Yiyong; Xuan, Lidi; Ding, Chengrong","European Journal of Organic Chemistry (2019), 2019(30), 4911-4915","SO2F2-Activated Efficient Beckmann Rearrangement of Ketoximes for Accessing Amides and Lactams | Zhang, Guofu; Zhao, Yiyong; Xuan, Lidi; Ding, Chengrong | European Journal of Organic Chemistry (2019), 2019(30), 4911-4915",34523-34-7,16704-37-3,"121-44-8, 2699-79-8, 7647-01-0",,"75-05-8, 7732-18-5",,,,,,,2,1,94,,,,,,,"{""1"": 94}","[{""index"": 1, ""cas_rn"": ""34523-34-7"", ""smiles"": ""CC(=NO)c1ccc(O)cc1""}]","[{""index"": 1, ""cas_rn"": ""16704-37-3"", ""yield_pct"": ""94"", ""smiles"": ""CC(=O)Nc1ccc(OS(=O)(=O)F)cc1""}]","[{""index"": 1, ""cas_rn"": ""121-44-8""}, {""index"": 2, ""cas_rn"": ""2699-79-8""}, {""index"": 3, ""cas_rn"": ""7647-01-0""}]",[],"[{""index"": 1, ""cas_rn"": ""75-05-8""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]","balloon pressure (stage 1), Beckmann rearrangement",
31-022-CAS-7335624,31-022-CAS-7335624,Reaction_20251106_1126.rdf,Beckmann rearrangement,97,,,CS(=O)(=O)Cl.C[C@@H](OC(=O)c1ccccc1)[C@H]1CC[C@H]2[C@@H]3/C(=N\O)[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,C[C@@H](OC(=O)c1ccccc1)[C@H]1CC[C@H]2[C@@H]3C(=O)N[C@H]4C[C@@H](OS(C)(=O)=O)CC[C@]4(C)[C@H]3CC[C@]12C,CS(=O)(=O)Cl.C[C@@H](OC(=O)c1ccccc1)[C@H]1CC[C@H]2[C@@H]3/C(=N\O)[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C>>C[C@@H](OC(=O)c1ccccc1)[C@H]1CC[C@H]2[C@@H]3C(=O)N[C@H]4C[C@@H](OS(C)(=O)=O)CC[C@]4(C)[C@H]3CC[C@]12C,Neurosteroid analogues: synthesis of 6-aza-allopregnanolone,"Kasal, Alexander; Matyas, Libor; Budesinsky, Milos","Tetrahedron (2005), 61(9), 2269-2278","Neurosteroid analogues: synthesis of 6-aza-allopregnanolone | Kasal, Alexander; Matyas, Libor; Budesinsky, Milos | Tetrahedron (2005), 61(9), 2269-2278","124-63-0, 849791-79-3",849791-80-6,7732-18-5,,110-86-1,,,,,,,2,1,97,,,,,,,"{""1"": 97}","[{""index"": 1, ""cas_rn"": ""124-63-0"", ""smiles"": ""CS(=O)(=O)Cl""}, {""index"": 2, ""cas_rn"": ""849791-79-3"", ""smiles"": ""C[C@@H](OC(=O)c1ccccc1)[C@H]1CC[C@H]2[C@@H]3/C(=N\\O)[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C""}]","[{""index"": 1, ""cas_rn"": ""849791-80-6"", ""yield_pct"": ""97"", ""smiles"": ""C[C@@H](OC(=O)c1ccccc1)[C@H]1CC[C@H]2[C@@H]3C(=O)N[C@H]4C[C@@H](OS(C)(=O)=O)CC[C@]4(C)[C@H]3CC[C@]12C""}]","[{""index"": 1, ""cas_rn"": ""7732-18-5""}]",[],"[{""index"": 1, ""cas_rn"": ""110-86-1""}]",Beckmann rearrangement,
31-031-CAS-3785954,31-031-CAS-3785954,Reaction_20251106_1126 (2).rdf,Beckmann rearrangement,81,,1.0,CI.CN(C)CC/C(=N\O)c1ccccc1,C[N+](C)(C)CCC(=O)Nc1ccccc1,CI.CN(C)CC/C(=N\O)c1ccccc1>>C[N+](C)(C)CCC(=O)Nc1ccccc1,Beckmann rearrangements of Mannich base and related oximes,"Scott, Francis Leslie; MacConaill, R. J.; Riordan, J. C.","Journal of the Chemical Society [Section] C: Organic (1967), (1), 44-7","Beckmann rearrangements of Mannich base and related oximes | Scott, Francis Leslie; MacConaill, R. J.; Riordan, J. C. | Journal of the Chemical Society [Section] C: Organic (1967), (1), 44-7","74-88-4, 46313-77-3",35509-00-3,,,"60-29-7, 71-43-2",,,,,,,1,1,81,,,,,,,"{""1"": 81}","[{""index"": 1, ""cas_rn"": ""74-88-4"", ""smiles"": ""CI""}, {""index"": 2, ""cas_rn"": ""46313-77-3"", ""smiles"": ""CN(C)CC/C(=N\\O)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""35509-00-3"", ""yield_pct"": ""81"", ""smiles"": ""C[N+](C)(C)CCC(=O)Nc1ccccc1""}]",[],[],"[{""index"": 1, ""cas_rn"": ""60-29-7""}, {""index"": 2, ""cas_rn"": ""71-43-2""}]",Classification: Rearrangement; N-Methylation; # Conditions: PCl5; Et2O benzene 1h; Rf 30mn; # Comments: Beckmann rearrangement; Product as an iodide salt,
31-076-CAS-14685148,31-076-CAS-14685148,Reaction_20251106_1126 (1).rdf,Beckmann rearrangement,92,,,ON=C(c1ccccc1)c1ccccc1,O=C(Nc1ccc([N+](=O)[O-])cc1)c1ccccc1,ON=C(c1ccccc1)c1ccccc1>>O=C(Nc1ccc([N+](=O)[O-])cc1)c1ccccc1,Microwave-assisted Beckmann rearrangement of aryl ketoximes catalyzed by In(OTf)3 in ionic liquid,"Sugamoto, Kazuhiro; Matsushita, Yoh-ichi; Matsui, Takanao","Synthetic Communications (2011), 41(6), 879-884","Microwave-assisted Beckmann rearrangement of aryl ketoximes catalyzed by In(OTf)3 in ionic liquid | Sugamoto, Kazuhiro; Matsushita, Yoh-ichi; Matsui, Takanao | Synthetic Communications (2011), 41(6), 879-884",574-66-3,3393-96-2,,128008-30-0,227617-70-1,,,,,,"General/Typical Procedure: Typical Procedure: A mixture of acetophenone oxime 1 (135 mg, 1.0 mmol), In(OTf)3 (56 mg, 0.1 mmol), and [Bdmim][PF6] (300 mg) in a glass tube was irradiated in a domestic microwave oven (Elabitax Eor-17, Yoshii Electric Co., Ltd., Japan, 2450MHz, 350 W) for 10 s. After 5mL of diisopropyl ether were added to reaction mixture, the resulting biphasic solution was treated with ultrasonic cleaner bath (200 W) for 1 min. The upper diisopropyl ether containing the expected products was separated by decantation. This extraction process was repeated three times. The diisopropyl ether was evaporated under reduced pressure to afford the crude product. The product was purified by flash-column chromatography on silica gel to give acetanilide 2. Yield 92%.",1,1,92,,,,,,,"{""1"": 92}","[{""index"": 1, ""cas_rn"": ""574-66-3"", ""smiles"": ""ON=C(c1ccccc1)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""3393-96-2"", ""yield_pct"": ""92"", ""smiles"": ""O=C(Nc1ccc([N+](=O)[O-])cc1)c1ccccc1""}]",[],"[{""index"": 1, ""cas_rn"": ""128008-30-0""}]","[{""index"": 1, ""cas_rn"": ""227617-70-1""}]","green chemistry-solvent, microwave irradiation, Beckmann rearrangement, ionic liquid used",
31-091-CAS-17927037,31-091-CAS-17927037,Reaction_20251106_1126 (2).rdf,Beckmann rearrangement,74,,,CC(=NO)c1cc(-c2ccc(F)cc2)cc2cc(-c3ccc(F)cc3)[nH]c12.O=C(OC(=O)C(F)(F)F)C(F)(F)F,CC(=O)Nc1cc(-c2ccc(F)cc2)cc2c(C(=O)C(F)(F)F)c(-c3ccc(F)cc3)[nH]c12,CC(=NO)c1cc(-c2ccc(F)cc2)cc2cc(-c3ccc(F)cc3)[nH]c12.O=C(OC(=O)C(F)(F)F)C(F)(F)F>>CC(=O)Nc1cc(-c2ccc(F)cc2)cc2c(C(=O)C(F)(F)F)c(-c3ccc(F)cc3)[nH]c12,Synthesis and evaluation of N-(3-trifluoroacetylindol-7-yl) acetamides for potential in vitro antiplasmodial properties,"Mphahlele, Malose J.; Mmonwa, Mmakwena M.; Choong, Yee Siew","Molecules (2017), 22(7), 1099/1-1099/18","Synthesis and evaluation of N-(3-trifluoroacetylindol-7-yl) acetamides for potential in vitro antiplasmodial properties | Mphahlele, Malose J.; Mmonwa, Mmakwena M.; Choong, Yee Siew | Molecules (2017), 22(7), 1099/1-1099/18","2156662-03-0, 407-25-0",2156662-17-6,7732-18-5,76-05-1,75-05-8,,,,,,,3,1,74,,,,,,,"{""1"": 74}","[{""index"": 1, ""cas_rn"": ""2156662-03-0"", ""smiles"": ""CC(=NO)c1cc(-c2ccc(F)cc2)cc2cc(-c3ccc(F)cc3)[nH]c12""}, {""index"": 2, ""cas_rn"": ""407-25-0"", ""smiles"": ""O=C(OC(=O)C(F)(F)F)C(F)(F)F""}]","[{""index"": 1, ""cas_rn"": ""2156662-17-6"", ""yield_pct"": ""74"", ""smiles"": ""CC(=O)Nc1cc(-c2ccc(F)cc2)cc2c(C(=O)C(F)(F)F)c(-c3ccc(F)cc3)[nH]c12""}]","[{""index"": 1, ""cas_rn"": ""7732-18-5""}]","[{""index"": 1, ""cas_rn"": ""76-05-1""}]","[{""index"": 1, ""cas_rn"": ""75-05-8""}]","Beckmann rearrangement/trifluoroacetylation, alternative preparation shown",
31-091-CAS-17927038,31-091-CAS-17927038,Reaction_20251106_1126 (2).rdf,Beckmann rearrangement,80,,,COc1ccc(-c2cc3cc(-c4ccc(F)cc4)cc(C(C)=NO)c3[nH]2)cc1.O=C(OC(=O)C(F)(F)F)C(F)(F)F,COc1ccc(-c2[nH]c3c(NC(C)=O)cc(-c4ccc(F)cc4)cc3c2C(=O)C(F)(F)F)cc1,COc1ccc(-c2cc3cc(-c4ccc(F)cc4)cc(C(C)=NO)c3[nH]2)cc1.O=C(OC(=O)C(F)(F)F)C(F)(F)F>>COc1ccc(-c2[nH]c3c(NC(C)=O)cc(-c4ccc(F)cc4)cc3c2C(=O)C(F)(F)F)cc1,Synthesis and evaluation of N-(3-trifluoroacetylindol-7-yl) acetamides for potential in vitro antiplasmodial properties,"Mphahlele, Malose J.; Mmonwa, Mmakwena M.; Choong, Yee Siew","Molecules (2017), 22(7), 1099/1-1099/18","Synthesis and evaluation of N-(3-trifluoroacetylindol-7-yl) acetamides for potential in vitro antiplasmodial properties | Mphahlele, Malose J.; Mmonwa, Mmakwena M.; Choong, Yee Siew | Molecules (2017), 22(7), 1099/1-1099/18","2156662-04-1, 407-25-0",2156662-18-7,7732-18-5,76-05-1,75-05-8,,,,,,,3,1,80,,,,,,,"{""1"": 80}","[{""index"": 1, ""cas_rn"": ""2156662-04-1"", ""smiles"": ""COc1ccc(-c2cc3cc(-c4ccc(F)cc4)cc(C(C)=NO)c3[nH]2)cc1""}, {""index"": 2, ""cas_rn"": ""407-25-0"", ""smiles"": ""O=C(OC(=O)C(F)(F)F)C(F)(F)F""}]","[{""index"": 1, ""cas_rn"": ""2156662-18-7"", ""yield_pct"": ""80"", ""smiles"": ""COc1ccc(-c2[nH]c3c(NC(C)=O)cc(-c4ccc(F)cc4)cc3c2C(=O)C(F)(F)F)cc1""}]","[{""index"": 1, ""cas_rn"": ""7732-18-5""}]","[{""index"": 1, ""cas_rn"": ""76-05-1""}]","[{""index"": 1, ""cas_rn"": ""75-05-8""}]","Beckmann rearrangement/trifluoroacetylation, alternative preparation shown",
31-091-CAS-17927039,31-091-CAS-17927039,Reaction_20251106_1126 (2).rdf,Beckmann rearrangement,82,,,COc1ccc(-c2cc(C(C)=NO)c3[nH]c(-c4ccc(F)cc4)cc3c2)cc1.O=C(OC(=O)C(F)(F)F)C(F)(F)F,COc1ccc(-c2cc(NC(C)=O)c3[nH]c(-c4ccc(F)cc4)c(C(=O)C(F)(F)F)c3c2)cc1,COc1ccc(-c2cc(C(C)=NO)c3[nH]c(-c4ccc(F)cc4)cc3c2)cc1.O=C(OC(=O)C(F)(F)F)C(F)(F)F>>COc1ccc(-c2cc(NC(C)=O)c3[nH]c(-c4ccc(F)cc4)c(C(=O)C(F)(F)F)c3c2)cc1,Synthesis and evaluation of N-(3-trifluoroacetylindol-7-yl) acetamides for potential in vitro antiplasmodial properties,"Mphahlele, Malose J.; Mmonwa, Mmakwena M.; Choong, Yee Siew","Molecules (2017), 22(7), 1099/1-1099/18","Synthesis and evaluation of N-(3-trifluoroacetylindol-7-yl) acetamides for potential in vitro antiplasmodial properties | Mphahlele, Malose J.; Mmonwa, Mmakwena M.; Choong, Yee Siew | Molecules (2017), 22(7), 1099/1-1099/18","2156662-05-2, 407-25-0",2156662-19-8,7732-18-5,76-05-1,75-05-8,,,,,,,3,1,82,,,,,,,"{""1"": 82}","[{""index"": 1, ""cas_rn"": ""2156662-05-2"", ""smiles"": ""COc1ccc(-c2cc(C(C)=NO)c3[nH]c(-c4ccc(F)cc4)cc3c2)cc1""}, {""index"": 2, ""cas_rn"": ""407-25-0"", ""smiles"": ""O=C(OC(=O)C(F)(F)F)C(F)(F)F""}]","[{""index"": 1, ""cas_rn"": ""2156662-19-8"", ""yield_pct"": ""82"", ""smiles"": ""COc1ccc(-c2cc(NC(C)=O)c3[nH]c(-c4ccc(F)cc4)c(C(=O)C(F)(F)F)c3c2)cc1""}]","[{""index"": 1, ""cas_rn"": ""7732-18-5""}]","[{""index"": 1, ""cas_rn"": ""76-05-1""}]","[{""index"": 1, ""cas_rn"": ""75-05-8""}]","Beckmann rearrangement/trifluoroacetylation, alternative preparation shown",
31-091-CAS-17927040,31-091-CAS-17927040,Reaction_20251106_1126 (2).rdf,Beckmann rearrangement,84,,,COc1ccc(-c2cc(C(C)=NO)c3[nH]c(-c4ccc(OC)cc4)cc3c2)cc1.O=C(OC(=O)C(F)(F)F)C(F)(F)F,COc1ccc(-c2cc(NC(C)=O)c3[nH]c(-c4ccc(OC)cc4)c(C(=O)C(F)(F)F)c3c2)cc1,COc1ccc(-c2cc(C(C)=NO)c3[nH]c(-c4ccc(OC)cc4)cc3c2)cc1.O=C(OC(=O)C(F)(F)F)C(F)(F)F>>COc1ccc(-c2cc(NC(C)=O)c3[nH]c(-c4ccc(OC)cc4)c(C(=O)C(F)(F)F)c3c2)cc1,Synthesis and evaluation of N-(3-trifluoroacetylindol-7-yl) acetamides for potential in vitro antiplasmodial properties,"Mphahlele, Malose J.; Mmonwa, Mmakwena M.; Choong, Yee Siew","Molecules (2017), 22(7), 1099/1-1099/18","Synthesis and evaluation of N-(3-trifluoroacetylindol-7-yl) acetamides for potential in vitro antiplasmodial properties | Mphahlele, Malose J.; Mmonwa, Mmakwena M.; Choong, Yee Siew | Molecules (2017), 22(7), 1099/1-1099/18","2156662-06-3, 407-25-0",2156662-20-1,7732-18-5,76-05-1,75-05-8,,,,,,,3,1,84,,,,,,,"{""1"": 84}","[{""index"": 1, ""cas_rn"": ""2156662-06-3"", ""smiles"": ""COc1ccc(-c2cc(C(C)=NO)c3[nH]c(-c4ccc(OC)cc4)cc3c2)cc1""}, {""index"": 2, ""cas_rn"": ""407-25-0"", ""smiles"": ""O=C(OC(=O)C(F)(F)F)C(F)(F)F""}]","[{""index"": 1, ""cas_rn"": ""2156662-20-1"", ""yield_pct"": ""84"", ""smiles"": ""COc1ccc(-c2cc(NC(C)=O)c3[nH]c(-c4ccc(OC)cc4)c(C(=O)C(F)(F)F)c3c2)cc1""}]","[{""index"": 1, ""cas_rn"": ""7732-18-5""}]","[{""index"": 1, ""cas_rn"": ""76-05-1""}]","[{""index"": 1, ""cas_rn"": ""75-05-8""}]","Beckmann rearrangement/trifluoroacetylation, alternative preparation shown",
31-218-CAS-872326,31-218-CAS-872326,Reaction_20251106_1126 (1).rdf,Beckmann rearrangement,89,,,Ic1ccccc1.CC(=NO)c1cccc(Br)c1,CC(=O)Nc1cc(Br)ccc1-c1ccccc1,Ic1ccccc1.CC(=NO)c1cccc(Br)c1>>CC(=O)Nc1cc(Br)ccc1-c1ccccc1,One pot synthesis of phenanthridines using a palladium-catalyzed cyclization of aromatic ketoximes with aryl iodides via Beckmann rearrangement,"Raju, Gajula; Guguloth, Vijayacharan; Satyanarayana, Battu","RSC Advances (2016), 6(51), 45036-45040","One pot synthesis of phenanthridines using a palladium-catalyzed cyclization of aromatic ketoximes with aryl iodides via Beckmann rearrangement | Raju, Gajula; Guguloth, Vijayacharan; Satyanarayana, Battu | RSC Advances (2016), 6(51), 45036-45040","591-50-4, 24280-05-5",1206606-81-6,"7699-45-8, 20667-12-3",3375-31-3,76-05-1,,,,,,,1,1,89,,,,,,,"{""1"": 89}","[{""index"": 1, ""cas_rn"": ""591-50-4"", ""smiles"": ""Ic1ccccc1""}, {""index"": 2, ""cas_rn"": ""24280-05-5"", ""smiles"": ""CC(=NO)c1cccc(Br)c1""}]","[{""index"": 1, ""cas_rn"": ""1206606-81-6"", ""yield_pct"": ""89"", ""smiles"": ""CC(=O)Nc1cc(Br)ccc1-c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""7699-45-8""}, {""index"": 2, ""cas_rn"": ""20667-12-3""}]","[{""index"": 1, ""cas_rn"": ""3375-31-3""}]","[{""index"": 1, ""cas_rn"": ""76-05-1""}]","regioselective, thermal, optimized on agents and solvent, optimization study, Beckmann rearrangement/arylation",
31-233-CAS-7886123,31-233-CAS-7886123,Reaction_20251106_1126.rdf,Beckmann rearrangement,100,,,CCC/C(C#Cc1ccccc1)=N/O,CCCNC(=O)/C=C(\Cl)c1ccccc1,CCC/C(C#Cc1ccccc1)=N/O>>CCCNC(=O)/C=C(\Cl)c1ccccc1,"Beckmann rearrangement studies of α,β-acetylenic ketoximes","Hamlet, Z.; Rampersad, M.","Journal of the Chemical Society [Section] D: Chemical Communications (1970), (19), 1230-1","Beckmann rearrangement studies of α,β-acetylenic ketoximes | Hamlet, Z.; Rampersad, M. | Journal of the Chemical Society [Section] D: Chemical Communications (1970), (19), 1230-1",28164-31-0,29841-18-7,,,,,,,,,,1,1,100,,,,,,,"{""1"": 100}","[{""index"": 1, ""cas_rn"": ""28164-31-0"", ""smiles"": ""CCC/C(C#Cc1ccccc1)=N/O""}]","[{""index"": 1, ""cas_rn"": ""29841-18-7"", ""yield_pct"": ""100"", ""smiles"": ""CCCNC(=O)/C=C(\\Cl)c1ccccc1""}]",[],[],[],"Classification: ""1,2-Shift""; Chlorination; Addition; Geoselectiveintermediate; # Conditions: PCl5; # Comments: Beckmann rearrangement; trans product",
31-298-CAS-22367872,31-298-CAS-22367872,Reaction_20251106_1126 (2).rdf,Beckmann rearrangement,75,,,CS(C)=O.CC(=O)O[C@H]1C[C@@]2(C)[C@@H](C/C(=N\O)[C@H]3[C@@]4(C)CC/C(=N/O)[C@@H](C)[C@@H]4CC[C@@]32C)/C1=C(\CCC=C(C)C)C(=O)O,CSCOC(=O)/C(CCC=C(C)C)=C1\[C@@H](OC(C)=O)C[C@@]2(C)[C@H]1CC(=O)[C@H]1[C@@]3(C)CCNC(=O)[C@@H](C)[C@@H]3CC[C@@]12C,CS(C)=O.CC(=O)O[C@H]1C[C@@]2(C)[C@@H](C/C(=N\O)[C@H]3[C@@]4(C)CC/C(=N/O)[C@@H](C)[C@@H]4CC[C@@]32C)/C1=C(\CCC=C(C)C)C(=O)O>>CSCOC(=O)/C(CCC=C(C)C)=C1\[C@@H](OC(C)=O)C[C@@]2(C)[C@H]1CC(=O)[C@H]1[C@@]3(C)CCNC(=O)[C@@H](C)[C@@H]3CC[C@@]12C,Beckmann Rearrangement of Oximes of the Fusidane Series,"Salimova, E. V.; Tretyakova, E. V.; Kukovinets, O. S.; Parfenova, L. V.","Russian Journal of Organic Chemistry (2020), 56(1), 11-19","Beckmann Rearrangement of Oximes of the Fusidane Series | Salimova, E. V.; Tretyakova, E. V.; Kukovinets, O. S.; Parfenova, L. V. | Russian Journal of Organic Chemistry (2020), 56(1), 11-19","67-68-5, 2414114-57-9",2414114-64-8,"375-72-4, 6674-22-2",,67-68-5,,,,,,,1,1,75,,,,,,,"{""1"": 75}","[{""index"": 1, ""cas_rn"": ""67-68-5"", ""smiles"": ""CS(C)=O""}, {""index"": 2, ""cas_rn"": ""2414114-57-9"", ""smiles"": ""CC(=O)O[C@H]1C[C@@]2(C)[C@@H](C/C(=N\\O)[C@H]3[C@@]4(C)CC/C(=N/O)[C@@H](C)[C@@H]4CC[C@@]32C)/C1=C(\\CCC=C(C)C)C(=O)O""}]","[{""index"": 1, ""cas_rn"": ""2414114-64-8"", ""yield_pct"": ""75"", ""smiles"": ""CSCOC(=O)/C(CCC=C(C)C)=C1\\[C@@H](OC(C)=O)C[C@@]2(C)[C@H]1CC(=O)[C@H]1[C@@]3(C)CCNC(=O)[C@@H](C)[C@@H]3CC[C@@]12C""}]","[{""index"": 1, ""cas_rn"": ""375-72-4""}, {""index"": 2, ""cas_rn"": ""6674-22-2""}]",[],"[{""index"": 1, ""cas_rn"": ""67-68-5""}]",Beckmann rearrangement,
31-399-CAS-1613757,31-399-CAS-1613757,Reaction_20251106_1126 (2).rdf,Beckmann rearrangement,75,,,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C/C(=N\O)C4=C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC(=O)NC4=CC=CC[C@]4(C)[C@H]3CC[C@]12C,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C/C(=N\O)C4=C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C>>CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC(=O)NC4=CC=CC[C@]4(C)[C@H]3CC[C@]12C,Beckmann rearrangement of Δ4-6-hydroxyimino steroids,"Anastasia, Mario; Allevi, Pietro; Ciuffreda, Pierangela; Fiecchi, Alberto; Scala, Antonio","Journal of the Chemical Society, Perkin Transactions 1: Organic and Bio-Organic Chemistry (1972-1999) (1986), (12), 2123-6","Beckmann rearrangement of Δ4-6-hydroxyimino steroids | Anastasia, Mario; Allevi, Pietro; Ciuffreda, Pierangela; Fiecchi, Alberto; Scala, Antonio | Journal of the Chemical Society, Perkin Transactions 1: Organic and Bio-Organic Chemistry (1972-1999) (1986), (12), 2123-6",110556-49-5,40228-29-3,"98-59-9, 1310-73-2, 7647-01-0",,"67-66-3, 7732-18-5, 64-19-7",,,,,,,3,1,75,,,,,,,"{""1"": 75}","[{""index"": 1, ""cas_rn"": ""110556-49-5"", ""smiles"": ""CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C/C(=N\\O)C4=C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C""}]","[{""index"": 1, ""cas_rn"": ""40228-29-3"", ""yield_pct"": ""75"", ""smiles"": ""CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC(=O)NC4=CC=CC[C@]4(C)[C@H]3CC[C@]12C""}]","[{""index"": 1, ""cas_rn"": ""98-59-9""}, {""index"": 2, ""cas_rn"": ""1310-73-2""}, {""index"": 3, ""cas_rn"": ""7647-01-0""}]",[],"[{""index"": 1, ""cas_rn"": ""67-66-3""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}, {""index"": 3, ""cas_rn"": ""64-19-7""}]",,
31-399-CAS-6898230,31-399-CAS-6898230,Reaction_20251106_1126 (2).rdf,Beckmann rearrangement,79,,,O/N=C(\CC1(O)C=C(C(F)(F)F)Oc2ccccc21)c1ccccc1,O=C(/C=C1\C=C(C(F)(F)F)Oc2ccccc21)Nc1ccccc1,O/N=C(\CC1(O)C=C(C(F)(F)F)Oc2ccccc21)c1ccccc1>>O=C(/C=C1\C=C(C(F)(F)F)Oc2ccccc21)Nc1ccccc1,"Spiro[4H-chromene-4,5'-isoxazolines] and related compounds: Synthesis and reactivity","Sosnovskikh, V. Ya.; Sizov, A. Yu.; Usachev, B. I.; Kodess, M. I.; Anufriev, V. A.","Russian Chemical Bulletin (2006), 55(3), 535-542","Spiro[4H-chromene-4,5'-isoxazolines] and related compounds: Synthesis and reactivity | Sosnovskikh, V. Ya.; Sizov, A. Yu.; Usachev, B. I.; Kodess, M. I.; Anufriev, V. A. | Russian Chemical Bulletin (2006), 55(3), 535-542",784144-74-7,784144-92-9,10026-13-8,,60-29-7,,,,,,"General/Typical Procedure: N-Phenyl-(2-trifluoromethyl-4H-chromen-4-ylidene)acetamide (4a). Phosphorus pentachloride (330 mg, 1.6 mmol) was added to a solution of oxime 3a (265 mg, 0.8 mmol) in an-hydrous diethyl ether (10 mL). The reaction mixture was stirred at ~20°C for 30 min and poured into water (30 mL). The product was extracted with ether (20 mL). The organic layer was separated and concentrated and the solid residue was recrystallized from toluene. Under analogous conditions, amide 4a was also obtained from oxime 1a and spiroisoxazoline 2a. The yield was 79% (from 1a), light yellow needles. N-Phenyl-(2-trifluoromethyl-4H-chromen-4-ylidene)acetamide (4a). m.p. 191-192°C. Found (%): C, 65.37; H, 3.66; N, 4.11. C18H12F3NO2. Calculated (%): C, 65.26; H, 3.65; N, 4.23. IR (KBr), ν/cm-1: 3420, 3300 (NH), 1670, 1640 (C=O, NH), 1595, 1540, 1530, 1500 (arom.). 1H NMR (CDCl3), δ: 6.14 (s, 1 H, =CH); 7.12 (t, 1 H, H(4´), J = 7.3 Hz); 7.25-7.29 (m, 2 H, H(6), H(8)); 7.32-7.36 (m, 3 H, H(3´), H(5´), NH); 7.48 (ddd, 1 H, H(7), Jo = 8.3 and 7.3 Hz, Jm = 1.0 Hz); 7.54-7.60 (m, 2 H, H(2´), H(6´)); 7.72 (br.d, 1 H, H(5), Jo ≈ 7.0 Hz); 8.49 (s, 1 H, H(3)). 1H NMR (DMSO-d6), δ: 6.63 (s, 1 H, =CH); 7.07 (tt, 1 H, H(4´), Jo = 7.4 Hz, Jm = 1.1 Hz); 7.31-7.36 (m, 2 H, H(3´), H(5´)); 7.42 (dd, 1 H, H(8), Jo = 8.3 Hz, Jm = 1.1 Hz); 7.46 (ddd, 1 H, H(6), Jo = 8.2 and 7.3, Jm = 1.1 Hz); 7.61 (ddd, 1 H, H(7), Jo = 8.5 and 7.3 Hz, Jm = 1.5 Hz); 7.66-7.70 (m, 2 H, H(2´), H(6´)); 7.82 (dd, 1 H, H(5), Jo = 8.2 Hz, Jm = 1.5 Hz); 8.48 (s, 1 H, H(3)); 10.19 (s, 1 H, NH).",1,1,79,,,,,,,"{""1"": 79}","[{""index"": 1, ""cas_rn"": ""784144-74-7"", ""smiles"": ""O/N=C(\\CC1(O)C=C(C(F)(F)F)Oc2ccccc21)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""784144-92-9"", ""yield_pct"": ""79"", ""smiles"": ""O=C(/C=C1\\C=C(C(F)(F)F)Oc2ccccc21)Nc1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""10026-13-8""}]",[],"[{""index"": 1, ""cas_rn"": ""60-29-7""}]","stereoselective, Beckmann rearrangement",
