reaction_id,duplicate_reaction_ids,source_files,reaction_type,yield_pct,temperature_c,time_h,reactant_smiles,product_smiles,reaction_smiles,title,authors,citation,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,product_yields_json,reactants_json,products_json,reagents_json,catalysts_json,solvents_json,notes,structure_warnings
31-310-CAS-11608519,31-310-CAS-11608519,Reaction_20251110_2105.rdf,Addition of Hydrazine Derivatives to Carbonyl Compounds,82,,,CC(=O)C(C)=NO.CC(C)OP(=O)(NN)c1ccccc1,CC(=NO)C(C)=NNP(=O)(OC(C)C)c1ccccc1,CC(=O)C(C)=NO.CC(C)OP(=O)(NN)c1ccccc1>>CC(=NO)C(C)=NNP(=O)(OC(C)C)c1ccccc1,"Novel and efficient synthesis of N,N-dialkylamino- and O-alkylphenyl-2-(1-alkyl/phenyl-2-oxopropylidene)phosphonohydrazido oximes - potential marine fish toxin analogs. Part 2","Kumar, Rajesh; Gupta, Arvind K.; Kaushik, Mahabir P.","Molecules (2007), 12(8), 1632-1640","Novel and efficient synthesis of N,N-dialkylamino- and O-alkylphenyl-2-(1-alkyl/phenyl-2-oxopropylidene)phosphonohydrazido oximes - potential marine fish toxin analogs. Part 2 | Kumar, Rajesh; Gupta, Arvind K.; Kaushik, Mahabir P. | Molecules (2007), 12(8), 1632-1640","57-71-6, 1028100-71-1",1028100-61-9,7631-86-9,,71-43-2,,,,,,,1,1,82,,,,,,,"{""1"": 82}","[{""index"": 1, ""cas_rn"": ""57-71-6"", ""smiles"": ""CC(=O)C(C)=NO""}, {""index"": 2, ""cas_rn"": ""1028100-71-1"", ""smiles"": ""CC(C)OP(=O)(NN)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""1028100-61-9"", ""yield_pct"": ""82"", ""smiles"": ""CC(=NO)C(C)=NNP(=O)(OC(C)C)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""7631-86-9""}]",[],"[{""index"": 1, ""cas_rn"": ""71-43-2""}]",anhydrous activated silica gel used,
31-310-CAS-13739738,31-310-CAS-13739738,Reaction_20251110_2105.rdf,Addition of Hydrazine Derivatives to Carbonyl Compounds,78,,,CC(=NO)C(=O)c1ccccc1.CC(C)OP(=O)(NN)c1ccccc1,CC(=NO)C(=NNP(=O)(OC(C)C)c1ccccc1)c1ccccc1,CC(=NO)C(=O)c1ccccc1.CC(C)OP(=O)(NN)c1ccccc1>>CC(=NO)C(=NNP(=O)(OC(C)C)c1ccccc1)c1ccccc1,"Novel and efficient synthesis of N,N-dialkylamino- and O-alkylphenyl-2-(1-alkyl/phenyl-2-oxopropylidene)phosphonohydrazido oximes - potential marine fish toxin analogs. Part 2","Kumar, Rajesh; Gupta, Arvind K.; Kaushik, Mahabir P.","Molecules (2007), 12(8), 1632-1640","Novel and efficient synthesis of N,N-dialkylamino- and O-alkylphenyl-2-(1-alkyl/phenyl-2-oxopropylidene)phosphonohydrazido oximes - potential marine fish toxin analogs. Part 2 | Kumar, Rajesh; Gupta, Arvind K.; Kaushik, Mahabir P. | Molecules (2007), 12(8), 1632-1640","119-51-7, 1028100-71-1",1028100-62-0,7631-86-9,,71-43-2,,,,,,,1,1,78,,,,,,,"{""1"": 78}","[{""index"": 1, ""cas_rn"": ""119-51-7"", ""smiles"": ""CC(=NO)C(=O)c1ccccc1""}, {""index"": 2, ""cas_rn"": ""1028100-71-1"", ""smiles"": ""CC(C)OP(=O)(NN)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""1028100-62-0"", ""yield_pct"": ""78"", ""smiles"": ""CC(=NO)C(=NNP(=O)(OC(C)C)c1ccccc1)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""7631-86-9""}]",[],"[{""index"": 1, ""cas_rn"": ""71-43-2""}]",anhydrous activated silica gel used,
31-310-CAS-14022464,31-310-CAS-14022464,Reaction_20251110_2105.rdf,Addition of Hydrazine Derivatives to Carbonyl Compounds,94,,,CC(=NO)C(=O)c1ccccc1.CCCCCOP(=O)(NN)c1ccccc1,CCCCCOP(=O)(NN=C(C(C)=NO)c1ccccc1)c1ccccc1,CC(=NO)C(=O)c1ccccc1.CCCCCOP(=O)(NN)c1ccccc1>>CCCCCOP(=O)(NN=C(C(C)=NO)c1ccccc1)c1ccccc1,"Novel and efficient synthesis of N,N-dialkylamino- and O-alkylphenyl-2-(1-alkyl/phenyl-2-oxopropylidene)phosphonohydrazido oximes - potential marine fish toxin analogs. Part 2","Kumar, Rajesh; Gupta, Arvind K.; Kaushik, Mahabir P.","Molecules (2007), 12(8), 1632-1640","Novel and efficient synthesis of N,N-dialkylamino- and O-alkylphenyl-2-(1-alkyl/phenyl-2-oxopropylidene)phosphonohydrazido oximes - potential marine fish toxin analogs. Part 2 | Kumar, Rajesh; Gupta, Arvind K.; Kaushik, Mahabir P. | Molecules (2007), 12(8), 1632-1640","119-51-7, 1028100-73-3",1028100-66-4,7631-86-9,,71-43-2,,,,,,,1,1,94,,,,,,,"{""1"": 94}","[{""index"": 1, ""cas_rn"": ""119-51-7"", ""smiles"": ""CC(=NO)C(=O)c1ccccc1""}, {""index"": 2, ""cas_rn"": ""1028100-73-3"", ""smiles"": ""CCCCCOP(=O)(NN)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""1028100-66-4"", ""yield_pct"": ""94"", ""smiles"": ""CCCCCOP(=O)(NN=C(C(C)=NO)c1ccccc1)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""7631-86-9""}]",[],"[{""index"": 1, ""cas_rn"": ""71-43-2""}]",anhydrous activated silica gel used,
31-310-CAS-17952844,31-310-CAS-17952844,Reaction_20251110_2105.rdf,Addition of Hydrazine Derivatives to Carbonyl Compounds,98,,,CN(C)N.C#CCOCC#CCCCC=O,C#CCOCC#CCCC/C=N/N(C)C,CN(C)N.C#CCOCC#CCCCC=O>>C#CCOCC#CCCC/C=N/N(C)C,"Aza Diels-Alder Reactions of Nitriles, N,N-Dimethylhydrazones and Oximino Ethers. Application in Formal [2+2+2] Cycloadditions for the Synthesis of Pyridines","Hamzik, Philip J.; Goutierre, Anne-Sophie; Sakai, Takeo; Danheiser, Rick L.","Journal of Organic Chemistry (2017), 82(24), 12975-12991","Aza Diels-Alder Reactions of Nitriles, N,N-Dimethylhydrazones and Oximino Ethers. Application in Formal [2+2+2] Cycloadditions for the Synthesis of Pyridines | Hamzik, Philip J.; Goutierre, Anne-Sophie; Sakai, Takeo; Danheiser, Rick L. | Journal of Organic Chemistry (2017), 82(24), 12975-12991","57-14-7, 1140383-99-8",2161350-81-6,,,67-56-1,,,,,,,1,1,98,,,,,,,"{""1"": 98}","[{""index"": 1, ""cas_rn"": ""57-14-7"", ""smiles"": ""CN(C)N""}, {""index"": 2, ""cas_rn"": ""1140383-99-8"", ""smiles"": ""C#CCOCC#CCCCC=O""}]","[{""index"": 1, ""cas_rn"": ""2161350-81-6"", ""yield_pct"": ""98"", ""smiles"": ""C#CCOCC#CCCC/C=N/N(C)C""}]",[],[],"[{""index"": 1, ""cas_rn"": ""67-56-1""}]",stereoselective,
31-310-CAS-17952845,31-310-CAS-17952845,Reaction_20251110_2105.rdf,Addition of Hydrazine Derivatives to Carbonyl Compounds,62,,,CN(C)N.COC(=O)C#CCOCC#CCCCC=O,COC(=O)C#CCOCC#CCCC/C=N/N(C)C,CN(C)N.COC(=O)C#CCOCC#CCCCC=O>>COC(=O)C#CCOCC#CCCC/C=N/N(C)C,"Aza Diels-Alder Reactions of Nitriles, N,N-Dimethylhydrazones and Oximino Ethers. Application in Formal [2+2+2] Cycloadditions for the Synthesis of Pyridines","Hamzik, Philip J.; Goutierre, Anne-Sophie; Sakai, Takeo; Danheiser, Rick L.","Journal of Organic Chemistry (2017), 82(24), 12975-12991","Aza Diels-Alder Reactions of Nitriles, N,N-Dimethylhydrazones and Oximino Ethers. Application in Formal [2+2+2] Cycloadditions for the Synthesis of Pyridines | Hamzik, Philip J.; Goutierre, Anne-Sophie; Sakai, Takeo; Danheiser, Rick L. | Journal of Organic Chemistry (2017), 82(24), 12975-12991","57-14-7, 2161350-88-3",2161350-58-7,,,109-99-9,,,,,,,1,1,62,,,,,,,"{""1"": 62}","[{""index"": 1, ""cas_rn"": ""57-14-7"", ""smiles"": ""CN(C)N""}, {""index"": 2, ""cas_rn"": ""2161350-88-3"", ""smiles"": ""COC(=O)C#CCOCC#CCCCC=O""}]","[{""index"": 1, ""cas_rn"": ""2161350-58-7"", ""yield_pct"": ""62"", ""smiles"": ""COC(=O)C#CCOCC#CCCC/C=N/N(C)C""}]",[],[],"[{""index"": 1, ""cas_rn"": ""109-99-9""}]",stereoselective,
31-310-CAS-17952846,31-310-CAS-17952846,Reaction_20251110_2105.rdf,Addition of Hydrazine Derivatives to Carbonyl Compounds,85,,,CN(C)N.CC(C)[Si](C#CC#CCOCC#CCCCC=O)(C(C)C)C(C)C,CC(C)[Si](C#CC#CCOCC#CCCC/C=N/N(C)C)(C(C)C)C(C)C,CN(C)N.CC(C)[Si](C#CC#CCOCC#CCCCC=O)(C(C)C)C(C)C>>CC(C)[Si](C#CC#CCOCC#CCCC/C=N/N(C)C)(C(C)C)C(C)C,"Aza Diels-Alder Reactions of Nitriles, N,N-Dimethylhydrazones and Oximino Ethers. Application in Formal [2+2+2] Cycloadditions for the Synthesis of Pyridines","Hamzik, Philip J.; Goutierre, Anne-Sophie; Sakai, Takeo; Danheiser, Rick L.","Journal of Organic Chemistry (2017), 82(24), 12975-12991","Aza Diels-Alder Reactions of Nitriles, N,N-Dimethylhydrazones and Oximino Ethers. Application in Formal [2+2+2] Cycloadditions for the Synthesis of Pyridines | Hamzik, Philip J.; Goutierre, Anne-Sophie; Sakai, Takeo; Danheiser, Rick L. | Journal of Organic Chemistry (2017), 82(24), 12975-12991","57-14-7, 2161350-89-4",2161350-61-2,,,67-56-1,,,,,,,1,1,85,,,,,,,"{""1"": 85}","[{""index"": 1, ""cas_rn"": ""57-14-7"", ""smiles"": ""CN(C)N""}, {""index"": 2, ""cas_rn"": ""2161350-89-4"", ""smiles"": ""CC(C)[Si](C#CC#CCOCC#CCCCC=O)(C(C)C)C(C)C""}]","[{""index"": 1, ""cas_rn"": ""2161350-61-2"", ""yield_pct"": ""85"", ""smiles"": ""CC(C)[Si](C#CC#CCOCC#CCCC/C=N/N(C)C)(C(C)C)C(C)C""}]",[],[],"[{""index"": 1, ""cas_rn"": ""67-56-1""}]",stereoselective,
31-310-CAS-2495362,31-310-CAS-2495362,Reaction_20251110_2105.rdf,Addition of Hydrazine Derivatives to Carbonyl Compounds,85,,,CC(=NO)C(=O)c1ccccc1.CC(C)COP(=O)(NN)c1ccccc1,CC(=NO)C(=NNP(=O)(OCC(C)C)c1ccccc1)c1ccccc1,CC(=NO)C(=O)c1ccccc1.CC(C)COP(=O)(NN)c1ccccc1>>CC(=NO)C(=NNP(=O)(OCC(C)C)c1ccccc1)c1ccccc1,"Novel and efficient synthesis of N,N-dialkylamino- and O-alkylphenyl-2-(1-alkyl/phenyl-2-oxopropylidene)phosphonohydrazido oximes - potential marine fish toxin analogs. Part 2","Kumar, Rajesh; Gupta, Arvind K.; Kaushik, Mahabir P.","Molecules (2007), 12(8), 1632-1640","Novel and efficient synthesis of N,N-dialkylamino- and O-alkylphenyl-2-(1-alkyl/phenyl-2-oxopropylidene)phosphonohydrazido oximes - potential marine fish toxin analogs. Part 2 | Kumar, Rajesh; Gupta, Arvind K.; Kaushik, Mahabir P. | Molecules (2007), 12(8), 1632-1640","119-51-7, 1028100-74-4",1028100-64-2,7631-86-9,,71-43-2,,,,,,,1,1,85,,,,,,,"{""1"": 85}","[{""index"": 1, ""cas_rn"": ""119-51-7"", ""smiles"": ""CC(=NO)C(=O)c1ccccc1""}, {""index"": 2, ""cas_rn"": ""1028100-74-4"", ""smiles"": ""CC(C)COP(=O)(NN)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""1028100-64-2"", ""yield_pct"": ""85"", ""smiles"": ""CC(=NO)C(=NNP(=O)(OCC(C)C)c1ccccc1)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""7631-86-9""}]",[],"[{""index"": 1, ""cas_rn"": ""71-43-2""}]",anhydrous activated silica gel used,
31-310-CAS-2829820,31-310-CAS-2829820,Reaction_20251110_2105.rdf,Addition of Hydrazine Derivatives to Carbonyl Compounds,85,,,CC(=O)C(C)=NO.CCCN(CCC)P(=O)(NN)c1ccccc1,CCCN(CCC)P(=O)(NN=C(C)C(C)=NO)c1ccccc1,CC(=O)C(C)=NO.CCCN(CCC)P(=O)(NN)c1ccccc1>>CCCN(CCC)P(=O)(NN=C(C)C(C)=NO)c1ccccc1,"Novel and efficient synthesis of N,N-dialkylamino- and O-alkylphenyl-2-(1-alkyl/phenyl-2-oxopropylidene)phosphonohydrazido oximes - potential marine fish toxin analogs. Part 2","Kumar, Rajesh; Gupta, Arvind K.; Kaushik, Mahabir P.","Molecules (2007), 12(8), 1632-1640","Novel and efficient synthesis of N,N-dialkylamino- and O-alkylphenyl-2-(1-alkyl/phenyl-2-oxopropylidene)phosphonohydrazido oximes - potential marine fish toxin analogs. Part 2 | Kumar, Rajesh; Gupta, Arvind K.; Kaushik, Mahabir P. | Molecules (2007), 12(8), 1632-1640","57-71-6, 1028100-67-5",1028100-53-9,7631-86-9,,71-43-2,,,,,,,1,1,85,,,,,,,"{""1"": 85}","[{""index"": 1, ""cas_rn"": ""57-71-6"", ""smiles"": ""CC(=O)C(C)=NO""}, {""index"": 2, ""cas_rn"": ""1028100-67-5"", ""smiles"": ""CCCN(CCC)P(=O)(NN)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""1028100-53-9"", ""yield_pct"": ""85"", ""smiles"": ""CCCN(CCC)P(=O)(NN=C(C)C(C)=NO)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""7631-86-9""}]",[],"[{""index"": 1, ""cas_rn"": ""71-43-2""}]",anhydrous activated silica gel used,
31-310-CAS-3082946,31-310-CAS-3082946,Reaction_20251110_2105.rdf,Addition of Hydrazine Derivatives to Carbonyl Compounds,76,,,CC(=O)C(C)=NO.CC(C)CN(CC(C)C)P(=O)(NN)c1ccccc1,CC(=NO)C(C)=NNP(=O)(c1ccccc1)N(CC(C)C)CC(C)C,CC(=O)C(C)=NO.CC(C)CN(CC(C)C)P(=O)(NN)c1ccccc1>>CC(=NO)C(C)=NNP(=O)(c1ccccc1)N(CC(C)C)CC(C)C,"Novel and efficient synthesis of N,N-dialkylamino- and O-alkylphenyl-2-(1-alkyl/phenyl-2-oxopropylidene)phosphonohydrazido oximes - potential marine fish toxin analogs. Part 2","Kumar, Rajesh; Gupta, Arvind K.; Kaushik, Mahabir P.","Molecules (2007), 12(8), 1632-1640","Novel and efficient synthesis of N,N-dialkylamino- and O-alkylphenyl-2-(1-alkyl/phenyl-2-oxopropylidene)phosphonohydrazido oximes - potential marine fish toxin analogs. Part 2 | Kumar, Rajesh; Gupta, Arvind K.; Kaushik, Mahabir P. | Molecules (2007), 12(8), 1632-1640","57-71-6, 1028100-69-7",1028100-57-3,7631-86-9,,71-43-2,,,,,,,1,1,76,,,,,,,"{""1"": 76}","[{""index"": 1, ""cas_rn"": ""57-71-6"", ""smiles"": ""CC(=O)C(C)=NO""}, {""index"": 2, ""cas_rn"": ""1028100-69-7"", ""smiles"": ""CC(C)CN(CC(C)C)P(=O)(NN)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""1028100-57-3"", ""yield_pct"": ""76"", ""smiles"": ""CC(=NO)C(C)=NNP(=O)(c1ccccc1)N(CC(C)C)CC(C)C""}]","[{""index"": 1, ""cas_rn"": ""7631-86-9""}]",[],"[{""index"": 1, ""cas_rn"": ""71-43-2""}]",anhydrous activated silica gel used,
31-310-CAS-326928,31-310-CAS-326928,Reaction_20251110_2105.rdf,Addition of Hydrazine Derivatives to Carbonyl Compounds,73,,,CC(=O)C(C)=NO.CCCCOP(=O)(NN)c1ccccc1,CCCCOP(=O)(NN=C(C)C(C)=NO)c1ccccc1,CC(=O)C(C)=NO.CCCCOP(=O)(NN)c1ccccc1>>CCCCOP(=O)(NN=C(C)C(C)=NO)c1ccccc1,"Novel and efficient synthesis of N,N-dialkylamino- and O-alkylphenyl-2-(1-alkyl/phenyl-2-oxopropylidene)phosphonohydrazido oximes - potential marine fish toxin analogs. Part 2","Kumar, Rajesh; Gupta, Arvind K.; Kaushik, Mahabir P.","Molecules (2007), 12(8), 1632-1640","Novel and efficient synthesis of N,N-dialkylamino- and O-alkylphenyl-2-(1-alkyl/phenyl-2-oxopropylidene)phosphonohydrazido oximes - potential marine fish toxin analogs. Part 2 | Kumar, Rajesh; Gupta, Arvind K.; Kaushik, Mahabir P. | Molecules (2007), 12(8), 1632-1640","57-71-6, 1028100-72-2",1028100-63-1,7631-86-9,,71-43-2,,,,,,,1,1,73,,,,,,,"{""1"": 73}","[{""index"": 1, ""cas_rn"": ""57-71-6"", ""smiles"": ""CC(=O)C(C)=NO""}, {""index"": 2, ""cas_rn"": ""1028100-72-2"", ""smiles"": ""CCCCOP(=O)(NN)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""1028100-63-1"", ""yield_pct"": ""73"", ""smiles"": ""CCCCOP(=O)(NN=C(C)C(C)=NO)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""7631-86-9""}]",[],"[{""index"": 1, ""cas_rn"": ""71-43-2""}]",anhydrous activated silica gel used,
