reaction_id,duplicate_reaction_ids,source_files,reaction_type,yield_pct,temperature_c,time_h,reactant_smiles,product_smiles,reaction_smiles,title,authors,citation,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,product_yields_json,reactants_json,products_json,reagents_json,catalysts_json,solvents_json,notes,structure_warnings
31-008-CAS-10410117,31-008-CAS-10410117,Reaction_20251110_1620.rdf,Aliphatic Halide Exchange,74,,,CC(C)(C)[Si](C)(C)Cl.COc1ccc(CO[C@@H]2[C@@H](C)[C@H]([C@H](OCc3ccc(OC)cc3)[C@@]3(OC)C[C@H](O[Si](C)(C)C(C)(C)C)[C@@H](C)[C@@H](CCCCCl)O3)O[C@H](CC(=O)C[C@@H](O)/C=C/I)[C@H]2OCc2ccc(OC)cc2)cc1.ICI,C=C(C[C@@H](/C=C/I)O[Si](C)(C)C(C)(C)C)C[C@H]1O[C@@H]([C@H](OCc2ccc(OC)cc2)[C@@]2(OC)C[C@H](O[Si](C)(C)C(C)(C)C)[C@@H](C)[C@@H](CCCCI)O2)[C@H](C)[C@@H](OCc2ccc(OC)cc2)[C@@H]1OCc1ccc(OC)cc1,CC(C)(C)[Si](C)(C)Cl.COc1ccc(CO[C@@H]2[C@@H](C)[C@H]([C@H](OCc3ccc(OC)cc3)[C@@]3(OC)C[C@H](O[Si](C)(C)C(C)(C)C)[C@@H](C)[C@@H](CCCCCl)O3)O[C@H](CC(=O)C[C@@H](O)/C=C/I)[C@H]2OCc2ccc(OC)cc2)cc1.ICI>>C=C(C[C@@H](/C=C/I)O[Si](C)(C)C(C)(C)C)C[C@H]1O[C@@H]([C@H](OCc2ccc(OC)cc2)[C@@]2(OC)C[C@H](O[Si](C)(C)C(C)(C)C)[C@@H](C)[C@@H](CCCCI)O2)[C@H](C)[C@@H](OCc2ccc(OC)cc2)[C@@H]1OCc1ccc(OC)cc1,Synthesis of spongistatin 2 employing a new route to the EF fragment,"Kraus, Helmut; Francais, Antoine; O'Brien, Matthew; Frost, James; Dieguez-Vazquez, Alejandro; Polara, Alessandra; Baricordi, Nikla; Horan, Richard; Hsu, Day-Shin; Tsunoda, Takashi; Ley, Steven V.","Chemical Science (2013), 4(5), 1989-1994","Synthesis of spongistatin 2 employing a new route to the EF fragment | Kraus, Helmut; Francais, Antoine; O'Brien, Matthew; Frost, James; Dieguez-Vazquez, Alejandro; Polara, Alessandra; Baricordi, Nikla; Horan, Richard; Hsu, Day-Shin; Tsunoda, Takashi; Ley, Steven V. | Chemical Science (2013), 4(5), 1989-1994","18162-48-6, 1439787-17-3, 75-11-6",1439789-06-6,"288-32-4, 12125-02-9, 75-77-4, 7440-66-6, 7550-45-0, 304-59-6, 107-08-4, 144-55-8, 7681-82-5, 7757-83-7",10101-63-0,"68-12-2, 67-56-1, 7732-18-5, 109-99-9, 75-09-2, 67-64-1",,,,,,,9,1,74,,,,,,,"{""1"": 74}","[{""index"": 1, ""cas_rn"": ""18162-48-6"", ""smiles"": ""CC(C)(C)[Si](C)(C)Cl""}, {""index"": 2, ""cas_rn"": ""1439787-17-3"", ""smiles"": ""COc1ccc(CO[C@@H]2[C@@H](C)[C@H]([C@H](OCc3ccc(OC)cc3)[C@@]3(OC)C[C@H](O[Si](C)(C)C(C)(C)C)[C@@H](C)[C@@H](CCCCCl)O3)O[C@H](CC(=O)C[C@@H](O)/C=C/I)[C@H]2OCc2ccc(OC)cc2)cc1""}, {""index"": 3, ""cas_rn"": ""75-11-6"", ""smiles"": ""ICI""}]","[{""index"": 1, ""cas_rn"": ""1439789-06-6"", ""yield_pct"": ""74"", ""smiles"": ""C=C(C[C@@H](/C=C/I)O[Si](C)(C)C(C)(C)C)C[C@H]1O[C@@H]([C@H](OCc2ccc(OC)cc2)[C@@]2(OC)C[C@H](O[Si](C)(C)C(C)(C)C)[C@@H](C)[C@@H](CCCCI)O2)[C@H](C)[C@@H](OCc2ccc(OC)cc2)[C@@H]1OCc1ccc(OC)cc1""}]","[{""index"": 1, ""cas_rn"": ""288-32-4""}, {""index"": 2, ""cas_rn"": ""12125-02-9""}, {""index"": 3, ""cas_rn"": ""75-77-4""}, {""index"": 4, ""cas_rn"": ""7440-66-6""}, {""index"": 5, ""cas_rn"": ""7550-45-0""}, {""index"": 6, ""cas_rn"": ""304-59-6""}, {""index"": 7, ""cas_rn"": ""107-08-4""}, {""index"": 8, ""cas_rn"": ""144-55-8""}, {""index"": 9, ""cas_rn"": ""7681-82-5""}, {""index"": 10, ""cas_rn"": ""7757-83-7""}]","[{""index"": 1, ""cas_rn"": ""10101-63-0""}]","[{""index"": 1, ""cas_rn"": ""68-12-2""}, {""index"": 2, ""cas_rn"": ""67-56-1""}, {""index"": 3, ""cas_rn"": ""7732-18-5""}, {""index"": 4, ""cas_rn"": ""109-99-9""}, {""index"": 5, ""cas_rn"": ""75-09-2""}, {""index"": 6, ""cas_rn"": ""67-64-1""}]","sealed microwave vial used (stage 8 and 9), resulting mixture from stage 1 added to stage 6, exothermic (stage 4)",
31-046-CAS-10143687,31-046-CAS-10143687,Reaction_20251110_1620.rdf,Aliphatic Halide Exchange,77,,,CC(C)=C(C)Br,CC(C)=C(C)I,CC(C)=C(C)Br>>CC(C)=C(C)I,Copper-Catalyzed Halogen Exchange in Aryl Halides: An Aromatic Finkelstein Reaction,"Klapars, Artis; Buchwald, Stephen L.","Journal of the American Chemical Society (2002), 124(50), 14844-14845","Copper-Catalyzed Halogen Exchange in Aryl Halides: An Aromatic Finkelstein Reaction | Klapars, Artis; Buchwald, Stephen L. | Journal of the American Chemical Society (2002), 124(50), 14844-14845",3017-70-7,66702-99-6,"7681-82-5, 7664-41-7","110-70-3, 67579-81-1","71-36-3, 109-66-0, 7732-18-5",,,,,,"2-Iodo-3-methyl-2-butene. A 50 mL Schlenk tube was charged with CuI (382 mg, 2.01 mmol, 5.0 mol%), NaI (9.00 g, 60.0 mmol), evacuated and backfilled with argon. N,N'- Dimethylethylenediamine (426 μL, 4.00 mmol, 10 mol%), 2-bromo-3-methyl-2-butene (4.65 mL, 40.1 mmol), and n-butanol (20 mL) were added under argon. The Schlenk tube was sealed with a Teflon valve and the reaction mixture was stirred at 120 °C for 24 h. The resulting tan suspension was allowed to reach room temperature, poured into pentane (200 mL) and washed with a solution of 30% aq ammonia (10 mL) in water (200 mL), followed by water (3×200 mL). The organic phase was dried (MgSO4) and concentrated to ~10 mL volume. The residue was distilled collecting the fraction boiling at 120-140 °C to give 6.08 g (77% yield) of 2-iodo-3-methyl-2-butene as a colorless liquid (>95% pure). The 1H spectrum matched the one reported by Sherrod, et al.19 2-Iodo-3-methyl-2-butene. 6.08 g (77% yield). 13C NMR (100 MHz, CDCl3): δ 135.9, 93.2, 31.4, 30.3, 18.9.",3,1,77,,,,,,,"{""1"": 77}","[{""index"": 1, ""cas_rn"": ""3017-70-7"", ""smiles"": ""CC(C)=C(C)Br""}]","[{""index"": 1, ""cas_rn"": ""66702-99-6"", ""yield_pct"": ""77"", ""smiles"": ""CC(C)=C(C)I""}]","[{""index"": 1, ""cas_rn"": ""7681-82-5""}, {""index"": 2, ""cas_rn"": ""7664-41-7""}]","[{""index"": 1, ""cas_rn"": ""110-70-3""}, {""index"": 2, ""cas_rn"": ""67579-81-1""}]","[{""index"": 1, ""cas_rn"": ""71-36-3""}, {""index"": 2, ""cas_rn"": ""109-66-0""}, {""index"": 3, ""cas_rn"": ""7732-18-5""}]",,
31-046-CAS-10185113,31-046-CAS-10185113,Reaction_20251110_1620.rdf,Aliphatic Halide Exchange,74,,,N#Cc1ccc(C=O)cc1.C[Si](C)(C)C(F)(F)Br,N#Cc1ccc(C(O)C(F)(F)I)cc1,N#Cc1ccc(C=O)cc1.C[Si](C)(C)C(F)(F)Br>>N#Cc1ccc(C(O)C(F)(F)I)cc1,Nucleophilic Iododifluoromethylation of Aldehydes Using Bromine/Iodine Exchange,"Levin, Vitalij V.; Smirnov, Vladimir O.; Struchkova, Marina I.; Dilman, Alexander D.","Journal of Organic Chemistry (2015), 80(18), 9349-9353","Nucleophilic Iododifluoromethylation of Aldehydes Using Bromine/Iodine Exchange | Levin, Vitalij V.; Smirnov, Vladimir O.; Struchkova, Marina I.; Dilman, Alexander D. | Journal of Organic Chemistry (2015), 80(18), 9349-9353","105-07-7, 115262-01-6",1804979-75-6,"7550-35-8, 7681-82-5, 76-05-1",,"110-71-4, 64-17-5",,,,,,,2,1,74,,,,,,,"{""1"": 74}","[{""index"": 1, ""cas_rn"": ""105-07-7"", ""smiles"": ""N#Cc1ccc(C=O)cc1""}, {""index"": 2, ""cas_rn"": ""115262-01-6"", ""smiles"": ""C[Si](C)(C)C(F)(F)Br""}]","[{""index"": 1, ""cas_rn"": ""1804979-75-6"", ""yield_pct"": ""74"", ""smiles"": ""N#Cc1ccc(C(O)C(F)(F)I)cc1""}]","[{""index"": 1, ""cas_rn"": ""7550-35-8""}, {""index"": 2, ""cas_rn"": ""7681-82-5""}, {""index"": 3, ""cas_rn"": ""76-05-1""}]",[],"[{""index"": 1, ""cas_rn"": ""110-71-4""}, {""index"": 2, ""cas_rn"": ""64-17-5""}]",,
31-046-CAS-10283632,31-046-CAS-10283632,Reaction_20251110_1620.rdf,Aliphatic Halide Exchange,100,,,CCCCC(C)I,CCCCC(C)Br,CCCCC(C)I>>CCCCC(C)Br,BiX3 as an efficient and selective reagent for the halogen exchange reaction,"Boyer, Bernard; Keramane, El Mehdi; Arpin, Severine; Montero, Jean-Louis; Roque, Jean-Pierre","Tetrahedron (1999), 55(7), 1971-1976","BiX3 as an efficient and selective reagent for the halogen exchange reaction | Boyer, Bernard; Keramane, El Mehdi; Arpin, Severine; Montero, Jean-Louis; Roque, Jean-Pierre | Tetrahedron (1999), 55(7), 1971-1976",18589-27-0,3377-86-4,7787-58-8,,107-06-2,,,,,,,1,1,100,,,,,,,"{""1"": 100}","[{""index"": 1, ""cas_rn"": ""18589-27-0"", ""smiles"": ""CCCCC(C)I""}]","[{""index"": 1, ""cas_rn"": ""3377-86-4"", ""yield_pct"": ""100"", ""smiles"": ""CCCCC(C)Br""}]","[{""index"": 1, ""cas_rn"": ""7787-58-8""}]",[],"[{""index"": 1, ""cas_rn"": ""107-06-2""}]",,
31-046-CAS-10303448,31-046-CAS-10303448,Reaction_20251110_1620.rdf,Aliphatic Halide Exchange,94,,,FC1CCCCC1,C1=CCCCC1.IC1CCCCC1,FC1CCCCC1>>C1=CCCCC1.IC1CCCCC1,Halogen Exchange Reaction of Aliphatic Fluorine Compounds with Organic Halides as Halogen Source,"Mizukami, Yuki; Song, Zhiyi; Takahashi, Tamotsu","Organic Letters (2015), 17(24), 5942-5945","Halogen Exchange Reaction of Aliphatic Fluorine Compounds with Organic Halides as Halogen Source | Mizukami, Yuki; Song, Zhiyi; Takahashi, Tamotsu | Organic Letters (2015), 17(24), 5942-5945",372-46-3,"110-83-8, 626-62-0","97-93-8, 7647-01-0",,"110-54-3, 7732-18-5",,,,,,"General/Typical Procedure: Typical Procedures for F/I exchange of secondary and tertiary alkyl fluorides. A typical procedure is given for the synthesis of 2d. To a hexane (2.5 mL) were added Et3Al (1.0 M in hexane, 0.5 mL, 0.5 mmol) and CH2I2 (80 μl, 2 mmol), then the reaction mixture was stirred for 90 min. (Active species was generated and 1-iodoethane was formed as byproduct.) After the reaction mixture was cooled to-30 °C, 2-fluorododecane 2a (94 mg, 0.5 mmol) was added and stirred for 30 min at the same temperature. The reaction was quenched with 3 M aqueous HCl solution slowly and extracted with hexane. The organic phase was filtered through a short pad of silica gel. The solvents and volatile compounds were removed under reduced pressure. Iodocyclohexane (3d). The compound 3d was prepared with Et3Al (1.0 M in hexane, 1 mL, 1 mmol), CH2I2 (0.16 mL, 2 mmol) and fluorocyclohexane 3a (0.11 mL, 1 mmol). The reaction gave a mixture of iodocyclohexane 3d and elimination side product (cyclohexene). NMR yield: 94%. CAS Registry Number [626-62-0]. 1H NMR (400 MHz, CDCl3): δ 1.35-1.44 (m, 3H), 1.61-1.70 (m, 3H), 1.91-2.01 (m, 2H), 2.11-2.19 (m, 2H), 4.32-4.39 (m, 1H). 13C{1H} NMR (101 MHz, CDCl3): δ 25.2, 27.3, 32.8, 39.6.",3,1,,94,,,,,,"{""2"": 94}","[{""index"": 1, ""cas_rn"": ""372-46-3"", ""smiles"": ""FC1CCCCC1""}]","[{""index"": 1, ""cas_rn"": ""110-83-8"", ""smiles"": ""C1=CCCCC1""}, {""index"": 2, ""cas_rn"": ""626-62-0"", ""yield_pct"": ""94"", ""smiles"": ""IC1CCCCC1""}]","[{""index"": 1, ""cas_rn"": ""97-93-8""}, {""index"": 2, ""cas_rn"": ""7647-01-0""}]",[],"[{""index"": 1, ""cas_rn"": ""110-54-3""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]",cyclohexene as a minor byproduct,
31-046-CAS-10378693,31-046-CAS-10378693,Reaction_20251110_1620.rdf,Aliphatic Halide Exchange,100,,,C=C(CCl)C[C@@H](CCc1ccccc1)OC(=O)c1ccccc1,C=C(CI)C[C@@H](CCc1ccccc1)OC(=O)c1ccccc1,C=C(CCl)C[C@@H](CCc1ccccc1)OC(=O)c1ccccc1>>C=C(CI)C[C@@H](CCc1ccccc1)OC(=O)c1ccccc1,A New Construction of 2-Alkoxypyrans by an Acylation-Reductive Cyclization Sequence,"Heumann, Lars V.; Keck, Gary E.","Organic Letters (2007), 9(10), 1951-1954","A New Construction of 2-Alkoxypyrans by an Acylation-Reductive Cyclization Sequence | Heumann, Lars V.; Keck, Gary E. | Organic Letters (2007), 9(10), 1951-1954",940877-09-8,940877-10-1,7681-82-5,,67-64-1,,,,,,"General/Typical Procedure: Preparation of propionic acid-(R)-3-iodoethyl-1-phenethylbut-3-enyl ester. To a stirring solution of the ester (116.9 mg, 0.416 mmol, 1.00 eq) and acetone (4.2 mL, 0.10 M) in a 25 mL round-bottom flask at room temperature was added NaI (1.25 g, 8.32 mmol, 20 eq). The mixture was kept at room temperature in the dark for 24 h and then diluted with Et2O (15 mL). The mixture was filtered through a plug of Celite®, the filtrate was diluted with Et2O (50 mL) and filtered through the same plug of Celite®. The filtrate was concentrated under reduced pressure and the residue was purified by flash chromatography on a 1.5 x 18 cm silica gel column eluting with a solvent gradient of 2.5% (100 mL) through 5% EtOAc/hexanes (100 mL). The eluant was collected in 10 mL portions and the product containing fractions (6 to 12) were combined and concentrated. (R)-3-iodomethyl-1-phenethyl-but-3-enyl ester as a clear colorless oil, yield 254 mg, 0.604 mmol, 100%. Rf 0.70 (25% EtOAc/hexanes); [α]20D +10.4 (c = 0.955, CHCl3); 500 MHz 1H NMR (CDCl3) δ 8.07 - 8.04 (m, 2H), 7.61 - 7.57 (m, 1H), 7.49 - 7.46 (m, 2H), 7.32 - 7.28 (m, 2H), 7.22 - 7.19 (m, 3H), 5.38 (dddd, J = 8.4, 8.4, 4.3, 4.3 Hz, 1H), 5.30 (s, 1H), 5.00 (s, 1H), 4.06 (d, J = 9.4 Hz, 1H), 3.97 (d, J = 9.4 Hz, 1H), 2.83 - 2.72 (m, 3H), 2.63 (dd, J = 14.6, 8.6 Hz, 1H), 2.15 - 2.00 (m, 2H); 125 MHz 13C NMR (CDCl3) δ 166.3, 142.7, 141.4, 133.2, 130.5, 129.8 (2), 128.7 (2), 128.6 (2), 128.5 (2), 126.2, 117.2, 72.3, 39.5, 36.2, 23.0, 10.6; 125 MHz DEPT (CDCl3) δ CH2: 117.2, 39.5, 36.2, 32.0, 10.6. CH: 133.2, 129.8 (2), 128.7 (2), 128.6 (2), 128.5 (2), 126.2 72.3. C: 166.3, 142.7, 141.4, 130.5; IR (neat) 3084, 3061, 3026, 2953, 2927, 2860, 1819, 1713, 1634, 1602, 1584, 1494, 1451, 1432, 1399, 1357, 1313, 1272, 1218, 1175, 1157, 1113, 1069, 1025, 991, 910, 851, 752, 711 cm-1; Anal. Calcd for C20H21IO2: C, 57.16; H, 5.04. Found: C, 57.42; H, 4.98.",1,1,100,,,,,,,"{""1"": 100}","[{""index"": 1, ""cas_rn"": ""940877-09-8"", ""smiles"": ""C=C(CCl)C[C@@H](CCc1ccccc1)OC(=O)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""940877-10-1"", ""yield_pct"": ""100"", ""smiles"": ""C=C(CI)C[C@@H](CCc1ccccc1)OC(=O)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""7681-82-5""}]",[],"[{""index"": 1, ""cas_rn"": ""67-64-1""}]",in the dark,
31-046-CAS-10382047,31-046-CAS-10382047,Reaction_20251110_1620.rdf,Aliphatic Halide Exchange,77,,,CO[C@H]1O[C@H](COCCCCCl)[C@H]2O[C@](C)(OC)[C@@](C)(OC)O[C@@H]2[C@H]1OCCCCCl,CO[C@H]1O[C@H](COCCCCI)[C@H]2O[C@](C)(OC)[C@@](C)(OC)O[C@@H]2[C@H]1OCCCCI,CO[C@H]1O[C@H](COCCCCCl)[C@H]2O[C@](C)(OC)[C@@](C)(OC)O[C@@H]2[C@H]1OCCCCCl>>CO[C@H]1O[C@H](COCCCCI)[C@H]2O[C@](C)(OC)[C@@](C)(OC)O[C@@H]2[C@H]1OCCCCI,Synthesis and hydrolysis studies of novel glyco-functionalized platinum complexes,"Moeker, Janina; Thiem, Joachim","Carbohydrate Research (2012), 34814-26","Synthesis and hydrolysis studies of novel glyco-functionalized platinum complexes | Moeker, Janina; Thiem, Joachim | Carbohydrate Research (2012), 34814-26",1357377-08-2,1357377-14-0,7681-82-5,,67-64-1,,,,,,,1,1,77,,,,,,,"{""1"": 77}","[{""index"": 1, ""cas_rn"": ""1357377-08-2"", ""smiles"": ""CO[C@H]1O[C@H](COCCCCCl)[C@H]2O[C@](C)(OC)[C@@](C)(OC)O[C@@H]2[C@H]1OCCCCCl""}]","[{""index"": 1, ""cas_rn"": ""1357377-14-0"", ""yield_pct"": ""77"", ""smiles"": ""CO[C@H]1O[C@H](COCCCCI)[C@H]2O[C@](C)(OC)[C@@](C)(OC)O[C@@H]2[C@H]1OCCCCI""}]","[{""index"": 1, ""cas_rn"": ""7681-82-5""}]",[],"[{""index"": 1, ""cas_rn"": ""67-64-1""}]",Finkelstein reaction,
31-046-CAS-10466398,31-046-CAS-10466398,Reaction_20251110_1620.rdf,Aliphatic Halide Exchange,86,,,O=Cc1ccco1.C[Si](C)(C)C(F)(F)Br,OC(c1ccco1)C(F)(F)I,O=Cc1ccco1.C[Si](C)(C)C(F)(F)Br>>OC(c1ccco1)C(F)(F)I,Nucleophilic Iododifluoromethylation of Aldehydes Using Bromine/Iodine Exchange,"Levin, Vitalij V.; Smirnov, Vladimir O.; Struchkova, Marina I.; Dilman, Alexander D.","Journal of Organic Chemistry (2015), 80(18), 9349-9353","Nucleophilic Iododifluoromethylation of Aldehydes Using Bromine/Iodine Exchange | Levin, Vitalij V.; Smirnov, Vladimir O.; Struchkova, Marina I.; Dilman, Alexander D. | Journal of Organic Chemistry (2015), 80(18), 9349-9353","98-01-1, 115262-01-6",1804979-78-9,"7550-35-8, 7681-82-5, 76-05-1",,"110-71-4, 64-17-5",,,,,,,2,1,86,,,,,,,"{""1"": 86}","[{""index"": 1, ""cas_rn"": ""98-01-1"", ""smiles"": ""O=Cc1ccco1""}, {""index"": 2, ""cas_rn"": ""115262-01-6"", ""smiles"": ""C[Si](C)(C)C(F)(F)Br""}]","[{""index"": 1, ""cas_rn"": ""1804979-78-9"", ""yield_pct"": ""86"", ""smiles"": ""OC(c1ccco1)C(F)(F)I""}]","[{""index"": 1, ""cas_rn"": ""7550-35-8""}, {""index"": 2, ""cas_rn"": ""7681-82-5""}, {""index"": 3, ""cas_rn"": ""76-05-1""}]",[],"[{""index"": 1, ""cas_rn"": ""110-71-4""}, {""index"": 2, ""cas_rn"": ""64-17-5""}]",,
31-046-CAS-1055805,31-046-CAS-1055805,Reaction_20251110_1620.rdf,Aliphatic Halide Exchange,97,,,O=Cc1ccccc1[N+](=O)[O-].C[Si](C)(C)C(F)(F)Br,O=[N+]([O-])c1ccccc1C(O)C(F)(F)I,O=Cc1ccccc1[N+](=O)[O-].C[Si](C)(C)C(F)(F)Br>>O=[N+]([O-])c1ccccc1C(O)C(F)(F)I,Nucleophilic Iododifluoromethylation of Aldehydes Using Bromine/Iodine Exchange,"Levin, Vitalij V.; Smirnov, Vladimir O.; Struchkova, Marina I.; Dilman, Alexander D.","Journal of Organic Chemistry (2015), 80(18), 9349-9353","Nucleophilic Iododifluoromethylation of Aldehydes Using Bromine/Iodine Exchange | Levin, Vitalij V.; Smirnov, Vladimir O.; Struchkova, Marina I.; Dilman, Alexander D. | Journal of Organic Chemistry (2015), 80(18), 9349-9353","552-89-6, 115262-01-6",1804979-77-8,"7550-35-8, 7681-82-5, 76-05-1",,"110-71-4, 64-17-5",,,,,,,2,1,97,,,,,,,"{""1"": 97}","[{""index"": 1, ""cas_rn"": ""552-89-6"", ""smiles"": ""O=Cc1ccccc1[N+](=O)[O-]""}, {""index"": 2, ""cas_rn"": ""115262-01-6"", ""smiles"": ""C[Si](C)(C)C(F)(F)Br""}]","[{""index"": 1, ""cas_rn"": ""1804979-77-8"", ""yield_pct"": ""97"", ""smiles"": ""O=[N+]([O-])c1ccccc1C(O)C(F)(F)I""}]","[{""index"": 1, ""cas_rn"": ""7550-35-8""}, {""index"": 2, ""cas_rn"": ""7681-82-5""}, {""index"": 3, ""cas_rn"": ""76-05-1""}]",[],"[{""index"": 1, ""cas_rn"": ""110-71-4""}, {""index"": 2, ""cas_rn"": ""64-17-5""}]",,
31-046-CAS-10571789,31-046-CAS-10571789,Reaction_20251110_1620.rdf,Aliphatic Halide Exchange,100,,,CCC(C)(C)I,CCC(C)(C)Br,CCC(C)(C)I>>CCC(C)(C)Br,BiX3 as an efficient and selective reagent for the halogen exchange reaction,"Boyer, Bernard; Keramane, El Mehdi; Arpin, Severine; Montero, Jean-Louis; Roque, Jean-Pierre","Tetrahedron (1999), 55(7), 1971-1976","BiX3 as an efficient and selective reagent for the halogen exchange reaction | Boyer, Bernard; Keramane, El Mehdi; Arpin, Severine; Montero, Jean-Louis; Roque, Jean-Pierre | Tetrahedron (1999), 55(7), 1971-1976",594-38-7,507-36-8,7787-58-8,,107-06-2,,,,,,,1,1,100,,,,,,,"{""1"": 100}","[{""index"": 1, ""cas_rn"": ""594-38-7"", ""smiles"": ""CCC(C)(C)I""}]","[{""index"": 1, ""cas_rn"": ""507-36-8"", ""yield_pct"": ""100"", ""smiles"": ""CCC(C)(C)Br""}]","[{""index"": 1, ""cas_rn"": ""7787-58-8""}]",[],"[{""index"": 1, ""cas_rn"": ""107-06-2""}]",,
