reaction_id,duplicate_reaction_ids,source_files,reaction_type,yield_pct,temperature_c,time_h,reactant_smiles,product_smiles,reaction_smiles,title,authors,citation,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,product_yields_json,reactants_json,products_json,reagents_json,catalysts_json,solvents_json,notes,structure_warnings
31-316-CAS-20747982,31-316-CAS-20747982,Reaction_20251105_2048.rdf,Urea and thiourea formation,93,,,N.N#CS.Cn1cc(C(=O)Cl)c(C(F)F)n1.Nc1ccccc1F,Cn1cc(C(=O)NC(=S)Nc2ccccc2F)c(C(F)F)n1,N.N#CS.Cn1cc(C(=O)Cl)c(C(F)F)n1.Nc1ccccc1F>>Cn1cc(C(=O)NC(=S)Nc2ccccc2F)c(C(F)F)n1,Synthesis and biological activity of acyl thiourea containing difluoromethyl pyrazole motif,"Min, Li-Jing; Zhai, Zhi-Wen; Shi, Yan-Xia; Han, Liang; Tan, Cheng-Xia; Weng, Jian-Quan; Li, Bao-Ju; Zhang, Yong-Gang; Liu, Xing-Hai","Phosphorus, Sulfur and Silicon and the Related Elements (2020), 195(1), 22-28","Synthesis and biological activity of acyl thiourea containing difluoromethyl pyrazole motif | Min, Li-Jing; Zhai, Zhi-Wen; Shi, Yan-Xia; Han, Liang; Tan, Cheng-Xia; Weng, Jian-Quan; Li, Bao-Ju; Zhang, Yong-Gang; Liu, Xing-Hai | Phosphorus, Sulfur and Silicon and the Related Elements (2020), 195(1), 22-28","1762-95-4, 141573-96-8, 348-54-9",2132341-48-9,,25322-68-3,"67-64-1, 75-05-8",,,,,,,2,1,93,,,,,,,"{""1"": 93}","[{""index"": 1, ""cas_rn"": ""1762-95-4"", ""smiles"": ""N.N#CS""}, {""index"": 2, ""cas_rn"": ""141573-96-8"", ""smiles"": ""Cn1cc(C(=O)Cl)c(C(F)F)n1""}, {""index"": 3, ""cas_rn"": ""348-54-9"", ""smiles"": ""Nc1ccccc1F""}]","[{""index"": 1, ""cas_rn"": ""2132341-48-9"", ""yield_pct"": ""93"", ""smiles"": ""Cn1cc(C(=O)NC(=S)Nc2ccccc2F)c(C(F)F)n1""}]",[],"[{""index"": 1, ""cas_rn"": ""25322-68-3""}]","[{""index"": 1, ""cas_rn"": ""67-64-1""}, {""index"": 2, ""cas_rn"": ""75-05-8""}]",,
31-316-CAS-20747983,31-316-CAS-20747983,Reaction_20251105_2049 (1).rdf,Urea and thiourea formation,83,,,N.N#CS.Cn1cc(C(=O)Cl)c(C(F)F)n1.Nc1cccc(F)c1,Cn1cc(C(=O)NC(=S)Nc2cccc(F)c2)c(C(F)F)n1,N.N#CS.Cn1cc(C(=O)Cl)c(C(F)F)n1.Nc1cccc(F)c1>>Cn1cc(C(=O)NC(=S)Nc2cccc(F)c2)c(C(F)F)n1,Synthesis and biological activity of acyl thiourea containing difluoromethyl pyrazole motif,"Min, Li-Jing; Zhai, Zhi-Wen; Shi, Yan-Xia; Han, Liang; Tan, Cheng-Xia; Weng, Jian-Quan; Li, Bao-Ju; Zhang, Yong-Gang; Liu, Xing-Hai","Phosphorus, Sulfur and Silicon and the Related Elements (2020), 195(1), 22-28","Synthesis and biological activity of acyl thiourea containing difluoromethyl pyrazole motif | Min, Li-Jing; Zhai, Zhi-Wen; Shi, Yan-Xia; Han, Liang; Tan, Cheng-Xia; Weng, Jian-Quan; Li, Bao-Ju; Zhang, Yong-Gang; Liu, Xing-Hai | Phosphorus, Sulfur and Silicon and the Related Elements (2020), 195(1), 22-28","1762-95-4, 141573-96-8, 372-19-0",2132341-49-0,,25322-68-3,"67-64-1, 75-05-8",,,,,,,2,1,83,,,,,,,"{""1"": 83}","[{""index"": 1, ""cas_rn"": ""1762-95-4"", ""smiles"": ""N.N#CS""}, {""index"": 2, ""cas_rn"": ""141573-96-8"", ""smiles"": ""Cn1cc(C(=O)Cl)c(C(F)F)n1""}, {""index"": 3, ""cas_rn"": ""372-19-0"", ""smiles"": ""Nc1cccc(F)c1""}]","[{""index"": 1, ""cas_rn"": ""2132341-49-0"", ""yield_pct"": ""83"", ""smiles"": ""Cn1cc(C(=O)NC(=S)Nc2cccc(F)c2)c(C(F)F)n1""}]",[],"[{""index"": 1, ""cas_rn"": ""25322-68-3""}]","[{""index"": 1, ""cas_rn"": ""67-64-1""}, {""index"": 2, ""cas_rn"": ""75-05-8""}]",,
31-316-CAS-20747984,31-316-CAS-20747984,Reaction_20251105_2049.rdf,Urea and thiourea formation,85,,,N.N#CS.Cn1cc(C(=O)Cl)c(C(F)F)n1.Nc1ccc(F)c(F)c1,Cn1cc(C(=O)NC(=S)Nc2ccc(F)c(F)c2)c(C(F)F)n1,N.N#CS.Cn1cc(C(=O)Cl)c(C(F)F)n1.Nc1ccc(F)c(F)c1>>Cn1cc(C(=O)NC(=S)Nc2ccc(F)c(F)c2)c(C(F)F)n1,Synthesis and biological activity of acyl thiourea containing difluoromethyl pyrazole motif,"Min, Li-Jing; Zhai, Zhi-Wen; Shi, Yan-Xia; Han, Liang; Tan, Cheng-Xia; Weng, Jian-Quan; Li, Bao-Ju; Zhang, Yong-Gang; Liu, Xing-Hai","Phosphorus, Sulfur and Silicon and the Related Elements (2020), 195(1), 22-28","Synthesis and biological activity of acyl thiourea containing difluoromethyl pyrazole motif | Min, Li-Jing; Zhai, Zhi-Wen; Shi, Yan-Xia; Han, Liang; Tan, Cheng-Xia; Weng, Jian-Quan; Li, Bao-Ju; Zhang, Yong-Gang; Liu, Xing-Hai | Phosphorus, Sulfur and Silicon and the Related Elements (2020), 195(1), 22-28","1762-95-4, 141573-96-8, 3863-11-4",2132341-50-3,,25322-68-3,"67-64-1, 75-05-8",,,,,,,2,1,85,,,,,,,"{""1"": 85}","[{""index"": 1, ""cas_rn"": ""1762-95-4"", ""smiles"": ""N.N#CS""}, {""index"": 2, ""cas_rn"": ""141573-96-8"", ""smiles"": ""Cn1cc(C(=O)Cl)c(C(F)F)n1""}, {""index"": 3, ""cas_rn"": ""3863-11-4"", ""smiles"": ""Nc1ccc(F)c(F)c1""}]","[{""index"": 1, ""cas_rn"": ""2132341-50-3"", ""yield_pct"": ""85"", ""smiles"": ""Cn1cc(C(=O)NC(=S)Nc2ccc(F)c(F)c2)c(C(F)F)n1""}]",[],"[{""index"": 1, ""cas_rn"": ""25322-68-3""}]","[{""index"": 1, ""cas_rn"": ""67-64-1""}, {""index"": 2, ""cas_rn"": ""75-05-8""}]",,
31-316-CAS-20747985,31-316-CAS-20747985,Reaction_20251105_2049.rdf,Urea and thiourea formation,88,,,N.N#CS.Cn1cc(C(=O)Cl)c(C(F)F)n1.Nc1c(F)cccc1F,Cn1cc(C(=O)NC(=S)Nc2c(F)cccc2F)c(C(F)F)n1,N.N#CS.Cn1cc(C(=O)Cl)c(C(F)F)n1.Nc1c(F)cccc1F>>Cn1cc(C(=O)NC(=S)Nc2c(F)cccc2F)c(C(F)F)n1,Synthesis and biological activity of acyl thiourea containing difluoromethyl pyrazole motif,"Min, Li-Jing; Zhai, Zhi-Wen; Shi, Yan-Xia; Han, Liang; Tan, Cheng-Xia; Weng, Jian-Quan; Li, Bao-Ju; Zhang, Yong-Gang; Liu, Xing-Hai","Phosphorus, Sulfur and Silicon and the Related Elements (2020), 195(1), 22-28","Synthesis and biological activity of acyl thiourea containing difluoromethyl pyrazole motif | Min, Li-Jing; Zhai, Zhi-Wen; Shi, Yan-Xia; Han, Liang; Tan, Cheng-Xia; Weng, Jian-Quan; Li, Bao-Ju; Zhang, Yong-Gang; Liu, Xing-Hai | Phosphorus, Sulfur and Silicon and the Related Elements (2020), 195(1), 22-28","1762-95-4, 141573-96-8, 5509-65-9",2132341-51-4,,25322-68-3,"67-64-1, 75-05-8",,,,,,,2,1,88,,,,,,,"{""1"": 88}","[{""index"": 1, ""cas_rn"": ""1762-95-4"", ""smiles"": ""N.N#CS""}, {""index"": 2, ""cas_rn"": ""141573-96-8"", ""smiles"": ""Cn1cc(C(=O)Cl)c(C(F)F)n1""}, {""index"": 3, ""cas_rn"": ""5509-65-9"", ""smiles"": ""Nc1c(F)cccc1F""}]","[{""index"": 1, ""cas_rn"": ""2132341-51-4"", ""yield_pct"": ""88"", ""smiles"": ""Cn1cc(C(=O)NC(=S)Nc2c(F)cccc2F)c(C(F)F)n1""}]",[],"[{""index"": 1, ""cas_rn"": ""25322-68-3""}]","[{""index"": 1, ""cas_rn"": ""67-64-1""}, {""index"": 2, ""cas_rn"": ""75-05-8""}]",,
31-316-CAS-20747986,31-316-CAS-20747986,Reaction_20251105_2049.rdf,Urea and thiourea formation,91,,,N.N#CS.Cn1cc(C(=O)Cl)c(C(F)F)n1.Cc1cc(C)c(N)c(C)c1,Cc1cc(C)c(NC(=S)NC(=O)c2cn(C)nc2C(F)F)c(C)c1,N.N#CS.Cn1cc(C(=O)Cl)c(C(F)F)n1.Cc1cc(C)c(N)c(C)c1>>Cc1cc(C)c(NC(=S)NC(=O)c2cn(C)nc2C(F)F)c(C)c1,Synthesis and biological activity of acyl thiourea containing difluoromethyl pyrazole motif,"Min, Li-Jing; Zhai, Zhi-Wen; Shi, Yan-Xia; Han, Liang; Tan, Cheng-Xia; Weng, Jian-Quan; Li, Bao-Ju; Zhang, Yong-Gang; Liu, Xing-Hai","Phosphorus, Sulfur and Silicon and the Related Elements (2020), 195(1), 22-28","Synthesis and biological activity of acyl thiourea containing difluoromethyl pyrazole motif | Min, Li-Jing; Zhai, Zhi-Wen; Shi, Yan-Xia; Han, Liang; Tan, Cheng-Xia; Weng, Jian-Quan; Li, Bao-Ju; Zhang, Yong-Gang; Liu, Xing-Hai | Phosphorus, Sulfur and Silicon and the Related Elements (2020), 195(1), 22-28","1762-95-4, 141573-96-8, 88-05-1",2132341-52-5,,25322-68-3,"67-64-1, 75-05-8",,,,,,,2,1,91,,,,,,,"{""1"": 91}","[{""index"": 1, ""cas_rn"": ""1762-95-4"", ""smiles"": ""N.N#CS""}, {""index"": 2, ""cas_rn"": ""141573-96-8"", ""smiles"": ""Cn1cc(C(=O)Cl)c(C(F)F)n1""}, {""index"": 3, ""cas_rn"": ""88-05-1"", ""smiles"": ""Cc1cc(C)c(N)c(C)c1""}]","[{""index"": 1, ""cas_rn"": ""2132341-52-5"", ""yield_pct"": ""91"", ""smiles"": ""Cc1cc(C)c(NC(=S)NC(=O)c2cn(C)nc2C(F)F)c(C)c1""}]",[],"[{""index"": 1, ""cas_rn"": ""25322-68-3""}]","[{""index"": 1, ""cas_rn"": ""67-64-1""}, {""index"": 2, ""cas_rn"": ""75-05-8""}]",,
31-316-CAS-20747987,31-316-CAS-20747987,Reaction_20251105_2049 (1).rdf,Urea and thiourea formation,83,,,N.N#CS.Cn1cc(C(=O)Cl)c(C(F)F)n1.COc1ccccc1N,Cn1cc(C(=O)NC(=S)Nc2ccccc2OC(F)(F)F)c(C(F)F)n1,N.N#CS.Cn1cc(C(=O)Cl)c(C(F)F)n1.COc1ccccc1N>>Cn1cc(C(=O)NC(=S)Nc2ccccc2OC(F)(F)F)c(C(F)F)n1,Synthesis and biological activity of acyl thiourea containing difluoromethyl pyrazole motif,"Min, Li-Jing; Zhai, Zhi-Wen; Shi, Yan-Xia; Han, Liang; Tan, Cheng-Xia; Weng, Jian-Quan; Li, Bao-Ju; Zhang, Yong-Gang; Liu, Xing-Hai","Phosphorus, Sulfur and Silicon and the Related Elements (2020), 195(1), 22-28","Synthesis and biological activity of acyl thiourea containing difluoromethyl pyrazole motif | Min, Li-Jing; Zhai, Zhi-Wen; Shi, Yan-Xia; Han, Liang; Tan, Cheng-Xia; Weng, Jian-Quan; Li, Bao-Ju; Zhang, Yong-Gang; Liu, Xing-Hai | Phosphorus, Sulfur and Silicon and the Related Elements (2020), 195(1), 22-28","1762-95-4, 141573-96-8, 90-04-0",2132341-53-6,,25322-68-3,"67-64-1, 75-05-8",,,,,,,2,1,83,,,,,,,"{""1"": 83}","[{""index"": 1, ""cas_rn"": ""1762-95-4"", ""smiles"": ""N.N#CS""}, {""index"": 2, ""cas_rn"": ""141573-96-8"", ""smiles"": ""Cn1cc(C(=O)Cl)c(C(F)F)n1""}, {""index"": 3, ""cas_rn"": ""90-04-0"", ""smiles"": ""COc1ccccc1N""}]","[{""index"": 1, ""cas_rn"": ""2132341-53-6"", ""yield_pct"": ""83"", ""smiles"": ""Cn1cc(C(=O)NC(=S)Nc2ccccc2OC(F)(F)F)c(C(F)F)n1""}]",[],"[{""index"": 1, ""cas_rn"": ""25322-68-3""}]","[{""index"": 1, ""cas_rn"": ""67-64-1""}, {""index"": 2, ""cas_rn"": ""75-05-8""}]",,
31-316-CAS-20747988,31-316-CAS-20747988,Reaction_20251105_2049.rdf,Urea and thiourea formation,86,,,N.N#CS.Cn1cc(C(=O)Cl)c(C(F)F)n1.Nc1ccccc1Cl,Cn1cc(C(=O)NC(=S)Nc2ccccc2Cl)c(C(F)F)n1,N.N#CS.Cn1cc(C(=O)Cl)c(C(F)F)n1.Nc1ccccc1Cl>>Cn1cc(C(=O)NC(=S)Nc2ccccc2Cl)c(C(F)F)n1,Synthesis and biological activity of acyl thiourea containing difluoromethyl pyrazole motif,"Min, Li-Jing; Zhai, Zhi-Wen; Shi, Yan-Xia; Han, Liang; Tan, Cheng-Xia; Weng, Jian-Quan; Li, Bao-Ju; Zhang, Yong-Gang; Liu, Xing-Hai","Phosphorus, Sulfur and Silicon and the Related Elements (2020), 195(1), 22-28","Synthesis and biological activity of acyl thiourea containing difluoromethyl pyrazole motif | Min, Li-Jing; Zhai, Zhi-Wen; Shi, Yan-Xia; Han, Liang; Tan, Cheng-Xia; Weng, Jian-Quan; Li, Bao-Ju; Zhang, Yong-Gang; Liu, Xing-Hai | Phosphorus, Sulfur and Silicon and the Related Elements (2020), 195(1), 22-28","1762-95-4, 141573-96-8, 95-51-2",2132341-54-7,,25322-68-3,"67-64-1, 75-05-8",,,,,,,2,1,86,,,,,,,"{""1"": 86}","[{""index"": 1, ""cas_rn"": ""1762-95-4"", ""smiles"": ""N.N#CS""}, {""index"": 2, ""cas_rn"": ""141573-96-8"", ""smiles"": ""Cn1cc(C(=O)Cl)c(C(F)F)n1""}, {""index"": 3, ""cas_rn"": ""95-51-2"", ""smiles"": ""Nc1ccccc1Cl""}]","[{""index"": 1, ""cas_rn"": ""2132341-54-7"", ""yield_pct"": ""86"", ""smiles"": ""Cn1cc(C(=O)NC(=S)Nc2ccccc2Cl)c(C(F)F)n1""}]",[],"[{""index"": 1, ""cas_rn"": ""25322-68-3""}]","[{""index"": 1, ""cas_rn"": ""67-64-1""}, {""index"": 2, ""cas_rn"": ""75-05-8""}]",,
31-316-CAS-20747989,31-316-CAS-20747989,Reaction_20251105_2049 (1).rdf,Urea and thiourea formation,82,,,N.N#CS.Cn1cc(C(=O)Cl)c(C(F)F)n1.Cc1cc(C)cc(N)c1,Cc1cc(C)cc(NC(=S)NC(=O)c2cn(C)nc2C(F)F)c1,N.N#CS.Cn1cc(C(=O)Cl)c(C(F)F)n1.Cc1cc(C)cc(N)c1>>Cc1cc(C)cc(NC(=S)NC(=O)c2cn(C)nc2C(F)F)c1,Synthesis and biological activity of acyl thiourea containing difluoromethyl pyrazole motif,"Min, Li-Jing; Zhai, Zhi-Wen; Shi, Yan-Xia; Han, Liang; Tan, Cheng-Xia; Weng, Jian-Quan; Li, Bao-Ju; Zhang, Yong-Gang; Liu, Xing-Hai","Phosphorus, Sulfur and Silicon and the Related Elements (2020), 195(1), 22-28","Synthesis and biological activity of acyl thiourea containing difluoromethyl pyrazole motif | Min, Li-Jing; Zhai, Zhi-Wen; Shi, Yan-Xia; Han, Liang; Tan, Cheng-Xia; Weng, Jian-Quan; Li, Bao-Ju; Zhang, Yong-Gang; Liu, Xing-Hai | Phosphorus, Sulfur and Silicon and the Related Elements (2020), 195(1), 22-28","1762-95-4, 141573-96-8, 108-69-0",2132341-55-8,,25322-68-3,"67-64-1, 75-05-8",,,,,,,2,1,82,,,,,,,"{""1"": 82}","[{""index"": 1, ""cas_rn"": ""1762-95-4"", ""smiles"": ""N.N#CS""}, {""index"": 2, ""cas_rn"": ""141573-96-8"", ""smiles"": ""Cn1cc(C(=O)Cl)c(C(F)F)n1""}, {""index"": 3, ""cas_rn"": ""108-69-0"", ""smiles"": ""Cc1cc(C)cc(N)c1""}]","[{""index"": 1, ""cas_rn"": ""2132341-55-8"", ""yield_pct"": ""82"", ""smiles"": ""Cc1cc(C)cc(NC(=S)NC(=O)c2cn(C)nc2C(F)F)c1""}]",[],"[{""index"": 1, ""cas_rn"": ""25322-68-3""}]","[{""index"": 1, ""cas_rn"": ""67-64-1""}, {""index"": 2, ""cas_rn"": ""75-05-8""}]",,
31-316-CAS-20747992,31-316-CAS-20747992,Reaction_20251105_2049.rdf,Urea and thiourea formation,89,,,N.N#CS.Cn1cc(C(=O)Cl)c(C(F)F)n1.CCc1cccc(CC)c1N,CCc1cccc(CC)c1NC(=S)NC(=O)c1cn(C)nc1C(F)F,N.N#CS.Cn1cc(C(=O)Cl)c(C(F)F)n1.CCc1cccc(CC)c1N>>CCc1cccc(CC)c1NC(=S)NC(=O)c1cn(C)nc1C(F)F,Synthesis and biological activity of acyl thiourea containing difluoromethyl pyrazole motif,"Min, Li-Jing; Zhai, Zhi-Wen; Shi, Yan-Xia; Han, Liang; Tan, Cheng-Xia; Weng, Jian-Quan; Li, Bao-Ju; Zhang, Yong-Gang; Liu, Xing-Hai","Phosphorus, Sulfur and Silicon and the Related Elements (2020), 195(1), 22-28","Synthesis and biological activity of acyl thiourea containing difluoromethyl pyrazole motif | Min, Li-Jing; Zhai, Zhi-Wen; Shi, Yan-Xia; Han, Liang; Tan, Cheng-Xia; Weng, Jian-Quan; Li, Bao-Ju; Zhang, Yong-Gang; Liu, Xing-Hai | Phosphorus, Sulfur and Silicon and the Related Elements (2020), 195(1), 22-28","1762-95-4, 141573-96-8, 579-66-8",2132341-58-1,,25322-68-3,"67-64-1, 75-05-8",,,,,,,2,1,89,,,,,,,"{""1"": 89}","[{""index"": 1, ""cas_rn"": ""1762-95-4"", ""smiles"": ""N.N#CS""}, {""index"": 2, ""cas_rn"": ""141573-96-8"", ""smiles"": ""Cn1cc(C(=O)Cl)c(C(F)F)n1""}, {""index"": 3, ""cas_rn"": ""579-66-8"", ""smiles"": ""CCc1cccc(CC)c1N""}]","[{""index"": 1, ""cas_rn"": ""2132341-58-1"", ""yield_pct"": ""89"", ""smiles"": ""CCc1cccc(CC)c1NC(=S)NC(=O)c1cn(C)nc1C(F)F""}]",[],"[{""index"": 1, ""cas_rn"": ""25322-68-3""}]","[{""index"": 1, ""cas_rn"": ""67-64-1""}, {""index"": 2, ""cas_rn"": ""75-05-8""}]",,
31-316-CAS-20747993,31-316-CAS-20747993,Reaction_20251105_2049.rdf,Urea and thiourea formation,85,,,N.N#CS.Cn1cc(C(=O)Cl)c(C(F)F)n1.CC(C)(C)c1ccc(N)cc1,Cn1cc(C(=O)NC(=S)Nc2ccc(C(C)(C)C)cc2)c(C(F)F)n1,N.N#CS.Cn1cc(C(=O)Cl)c(C(F)F)n1.CC(C)(C)c1ccc(N)cc1>>Cn1cc(C(=O)NC(=S)Nc2ccc(C(C)(C)C)cc2)c(C(F)F)n1,Synthesis and biological activity of acyl thiourea containing difluoromethyl pyrazole motif,"Min, Li-Jing; Zhai, Zhi-Wen; Shi, Yan-Xia; Han, Liang; Tan, Cheng-Xia; Weng, Jian-Quan; Li, Bao-Ju; Zhang, Yong-Gang; Liu, Xing-Hai","Phosphorus, Sulfur and Silicon and the Related Elements (2020), 195(1), 22-28","Synthesis and biological activity of acyl thiourea containing difluoromethyl pyrazole motif | Min, Li-Jing; Zhai, Zhi-Wen; Shi, Yan-Xia; Han, Liang; Tan, Cheng-Xia; Weng, Jian-Quan; Li, Bao-Ju; Zhang, Yong-Gang; Liu, Xing-Hai | Phosphorus, Sulfur and Silicon and the Related Elements (2020), 195(1), 22-28","1762-95-4, 141573-96-8, 769-92-6",2132341-59-2,,25322-68-3,"67-64-1, 75-05-8",,,,,,,2,1,85,,,,,,,"{""1"": 85}","[{""index"": 1, ""cas_rn"": ""1762-95-4"", ""smiles"": ""N.N#CS""}, {""index"": 2, ""cas_rn"": ""141573-96-8"", ""smiles"": ""Cn1cc(C(=O)Cl)c(C(F)F)n1""}, {""index"": 3, ""cas_rn"": ""769-92-6"", ""smiles"": ""CC(C)(C)c1ccc(N)cc1""}]","[{""index"": 1, ""cas_rn"": ""2132341-59-2"", ""yield_pct"": ""85"", ""smiles"": ""Cn1cc(C(=O)NC(=S)Nc2ccc(C(C)(C)C)cc2)c(C(F)F)n1""}]",[],"[{""index"": 1, ""cas_rn"": ""25322-68-3""}]","[{""index"": 1, ""cas_rn"": ""67-64-1""}, {""index"": 2, ""cas_rn"": ""75-05-8""}]",,
31-316-CAS-20777938,31-316-CAS-20777938,Reaction_20251105_2049.rdf,Urea and thiourea formation,87,,,COc1ccc(C(=O)Cl)cc1.N#CS.[K].NNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],COc1ccc(C(=O)NC(=S)NNc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1,COc1ccc(C(=O)Cl)cc1.N#CS.[K].NNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]>>COc1ccc(C(=O)NC(=S)NNc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1,"Synthesis, crystal structure, hydrogen bonding interactions analysis of novel acyl thiourea derivative","Zhang, Xing; Du, Xiaoli; Song, Jirong; Huang, Jie","Journal of Physical Organic Chemistry (2020), 33(1), e4016","Synthesis, crystal structure, hydrogen bonding interactions analysis of novel acyl thiourea derivative | Zhang, Xing; Du, Xiaoli; Song, Jirong; Huang, Jie | Journal of Physical Organic Chemistry (2020), 33(1), e4016","100-07-2, 333-20-0, 119-26-6",2388990-56-3,,,109-99-9,,,,,,,2,1,87,,,,,,,"{""1"": 87}","[{""index"": 1, ""cas_rn"": ""100-07-2"", ""smiles"": ""COc1ccc(C(=O)Cl)cc1""}, {""index"": 2, ""cas_rn"": ""333-20-0"", ""smiles"": ""N#CS.[K]""}, {""index"": 3, ""cas_rn"": ""119-26-6"", ""smiles"": ""NNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]""}]","[{""index"": 1, ""cas_rn"": ""2388990-56-3"", ""yield_pct"": ""87"", ""smiles"": ""COc1ccc(C(=O)NC(=S)NNc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1""}]",[],[],"[{""index"": 1, ""cas_rn"": ""109-99-9""}]",microwave irradiation,
31-316-CAS-20805839,31-316-CAS-20805839,Reaction_20251105_2048.rdf,Urea and thiourea formation,100,,,NCc1ccccc1.S=C=Nc1ccccc1,S=C(NCc1ccccc1)Nc1ccccc1,NCc1ccccc1.S=C=Nc1ccccc1>>S=C(NCc1ccccc1)Nc1ccccc1,Facile synthesis of phthalidyl fused spiro thiohydantoins through silica sulfuric acid induced oxidative rearrangement of ninhydrin adducts of thioureas,"Mandal, Subhro; Pramanik, Animesh","Tetrahedron (2020), 76(2), 130817","Facile synthesis of phthalidyl fused spiro thiohydantoins through silica sulfuric acid induced oxidative rearrangement of ninhydrin adducts of thioureas | Mandal, Subhro; Pramanik, Animesh | Tetrahedron (2020), 76(2), 130817","100-46-9, 103-72-0",726-25-0,,,,,,,,,,1,1,100,,,,,,,"{""1"": 100}","[{""index"": 1, ""cas_rn"": ""100-46-9"", ""smiles"": ""NCc1ccccc1""}, {""index"": 2, ""cas_rn"": ""103-72-0"", ""smiles"": ""S=C=Nc1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""726-25-0"", ""yield_pct"": ""100"", ""smiles"": ""S=C(NCc1ccccc1)Nc1ccccc1""}]",[],[],[],"combinatorial, no solvent",
31-316-CAS-20805840,31-316-CAS-20805840,Reaction_20251105_2048.rdf,Urea and thiourea formation,100,,,S=C=Nc1ccccc1.NCc1cccnc1,S=C(NCc1cccnc1)Nc1ccccc1,S=C=Nc1ccccc1.NCc1cccnc1>>S=C(NCc1cccnc1)Nc1ccccc1,Facile synthesis of phthalidyl fused spiro thiohydantoins through silica sulfuric acid induced oxidative rearrangement of ninhydrin adducts of thioureas,"Mandal, Subhro; Pramanik, Animesh","Tetrahedron (2020), 76(2), 130817","Facile synthesis of phthalidyl fused spiro thiohydantoins through silica sulfuric acid induced oxidative rearrangement of ninhydrin adducts of thioureas | Mandal, Subhro; Pramanik, Animesh | Tetrahedron (2020), 76(2), 130817","103-72-0, 3731-52-0",201215-93-2,,,,,,,,,,1,1,100,,,,,,,"{""1"": 100}","[{""index"": 1, ""cas_rn"": ""103-72-0"", ""smiles"": ""S=C=Nc1ccccc1""}, {""index"": 2, ""cas_rn"": ""3731-52-0"", ""smiles"": ""NCc1cccnc1""}]","[{""index"": 1, ""cas_rn"": ""201215-93-2"", ""yield_pct"": ""100"", ""smiles"": ""S=C(NCc1cccnc1)Nc1ccccc1""}]",[],[],[],"combinatorial, no solvent",
31-316-CAS-20805841,31-316-CAS-20805841,Reaction_20251105_2048.rdf,Urea and thiourea formation,100,,,NCCc1ccccc1.S=C=Nc1ccccc1,S=C(NCCc1ccccc1)Nc1ccccc1,NCCc1ccccc1.S=C=Nc1ccccc1>>S=C(NCCc1ccccc1)Nc1ccccc1,Facile synthesis of phthalidyl fused spiro thiohydantoins through silica sulfuric acid induced oxidative rearrangement of ninhydrin adducts of thioureas,"Mandal, Subhro; Pramanik, Animesh","Tetrahedron (2020), 76(2), 130817","Facile synthesis of phthalidyl fused spiro thiohydantoins through silica sulfuric acid induced oxidative rearrangement of ninhydrin adducts of thioureas | Mandal, Subhro; Pramanik, Animesh | Tetrahedron (2020), 76(2), 130817","64-04-0, 103-72-0",15093-42-2,,,,,,,,,,1,1,100,,,,,,,"{""1"": 100}","[{""index"": 1, ""cas_rn"": ""64-04-0"", ""smiles"": ""NCCc1ccccc1""}, {""index"": 2, ""cas_rn"": ""103-72-0"", ""smiles"": ""S=C=Nc1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""15093-42-2"", ""yield_pct"": ""100"", ""smiles"": ""S=C(NCCc1ccccc1)Nc1ccccc1""}]",[],[],[],"combinatorial, no solvent",
31-316-CAS-20805842,31-316-CAS-20805842,Reaction_20251105_2048.rdf,Urea and thiourea formation,100,,,S=C=Nc1ccccc1.NCc1ccc(F)cc1,Fc1ccc(CNC(=S)Nc2ccccc2)cc1,S=C=Nc1ccccc1.NCc1ccc(F)cc1>>Fc1ccc(CNC(=S)Nc2ccccc2)cc1,Facile synthesis of phthalidyl fused spiro thiohydantoins through silica sulfuric acid induced oxidative rearrangement of ninhydrin adducts of thioureas,"Mandal, Subhro; Pramanik, Animesh","Tetrahedron (2020), 76(2), 130817","Facile synthesis of phthalidyl fused spiro thiohydantoins through silica sulfuric acid induced oxidative rearrangement of ninhydrin adducts of thioureas | Mandal, Subhro; Pramanik, Animesh | Tetrahedron (2020), 76(2), 130817","103-72-0, 140-75-0",351498-92-5,,,,,,,,,,1,1,100,,,,,,,"{""1"": 100}","[{""index"": 1, ""cas_rn"": ""103-72-0"", ""smiles"": ""S=C=Nc1ccccc1""}, {""index"": 2, ""cas_rn"": ""140-75-0"", ""smiles"": ""NCc1ccc(F)cc1""}]","[{""index"": 1, ""cas_rn"": ""351498-92-5"", ""yield_pct"": ""100"", ""smiles"": ""Fc1ccc(CNC(=S)Nc2ccccc2)cc1""}]",[],[],[],"combinatorial, no solvent",
