reaction_id,duplicate_reaction_ids,source_files,reaction_type,yield_pct,temperature_c,time_h,reactant_smiles,product_smiles,reaction_smiles,title,authors,citation,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,product_yields_json,reactants_json,products_json,reagents_json,catalysts_json,solvents_json,notes,structure_warnings
31-006-CAS-11054502,31-006-CAS-11054502,Reaction_20251106_1651.rdf,NaBH4 carbonyl reductions,90,,,c1ccc2cc(C3OCCO3)ccc2c1,O=Cc1ccc2ccccc2c1.OCc1ccc2ccccc2c1,c1ccc2cc(C3OCCO3)ccc2c1>>O=Cc1ccc2ccccc2c1.OCc1ccc2ccccc2c1,"Chemoselective deprotection and deprotection with concomitant reduction of 1,3-dioxolanes, acetals and ketals using nickel boride","Khurana, Jitender M.; Dawra, Kiran; Sharma, Purnima","RSC Advances (2015), 5(16), 12048-12051","Chemoselective deprotection and deprotection with concomitant reduction of 1,3-dioxolanes, acetals and ketals using nickel boride | Khurana, Jitender M.; Dawra, Kiran; Sharma, Purnima | RSC Advances (2015), 5(16), 12048-12051",4469-45-8,"66-99-9, 1592-38-7",16940-66-2,7718-54-9,67-56-1,,,,,,,1,1,90,7,,,,,,"{""1"": 90, ""2"": 7}","[{""index"": 1, ""cas_rn"": ""4469-45-8"", ""smiles"": ""c1ccc2cc(C3OCCO3)ccc2c1""}]","[{""index"": 1, ""cas_rn"": ""66-99-9"", ""yield_pct"": ""90"", ""smiles"": ""O=Cc1ccc2ccccc2c1""}, {""index"": 2, ""cas_rn"": ""1592-38-7"", ""yield_pct"": ""7"", ""smiles"": ""OCc1ccc2ccccc2c1""}]","[{""index"": 1, ""cas_rn"": ""16940-66-2""}]","[{""index"": 1, ""cas_rn"": ""7718-54-9""}]","[{""index"": 1, ""cas_rn"": ""67-56-1""}]","chemoselective, substrate:NiCl2:NaBH4 stoichiometry dependent product, alternative preparation shown",
31-006-CAS-2594462,31-006-CAS-2594462,Reaction_20251106_1651.rdf,NaBH4 carbonyl reductions,87,,,Cc1ccc(C2OCCO2)cc1,Cc1ccc(C=O)cc1.Cc1ccc(CO)cc1,Cc1ccc(C2OCCO2)cc1>>Cc1ccc(C=O)cc1.Cc1ccc(CO)cc1,"Chemoselective deprotection and deprotection with concomitant reduction of 1,3-dioxolanes, acetals and ketals using nickel boride","Khurana, Jitender M.; Dawra, Kiran; Sharma, Purnima","RSC Advances (2015), 5(16), 12048-12051","Chemoselective deprotection and deprotection with concomitant reduction of 1,3-dioxolanes, acetals and ketals using nickel boride | Khurana, Jitender M.; Dawra, Kiran; Sharma, Purnima | RSC Advances (2015), 5(16), 12048-12051",2403-51-2,"104-87-0, 589-18-4",16940-66-2,7718-54-9,67-56-1,,,,,,,1,1,87,6,,,,,,"{""1"": 87, ""2"": 6}","[{""index"": 1, ""cas_rn"": ""2403-51-2"", ""smiles"": ""Cc1ccc(C2OCCO2)cc1""}]","[{""index"": 1, ""cas_rn"": ""104-87-0"", ""yield_pct"": ""87"", ""smiles"": ""Cc1ccc(C=O)cc1""}, {""index"": 2, ""cas_rn"": ""589-18-4"", ""yield_pct"": ""6"", ""smiles"": ""Cc1ccc(CO)cc1""}]","[{""index"": 1, ""cas_rn"": ""16940-66-2""}]","[{""index"": 1, ""cas_rn"": ""7718-54-9""}]","[{""index"": 1, ""cas_rn"": ""67-56-1""}]","chemoselective, substrate:NiCl2:NaBH4 stoichiometry dependent product",
31-006-CAS-7738515,31-006-CAS-7738515,Reaction_20251106_1651.rdf,NaBH4 carbonyl reductions,87,,,COC(OC)c1ccc2ccccc2c1,O=Cc1ccc2ccccc2c1.OCc1ccc2ccccc2c1,COC(OC)c1ccc2ccccc2c1>>O=Cc1ccc2ccccc2c1.OCc1ccc2ccccc2c1,"Chemoselective deprotection and deprotection with concomitant reduction of 1,3-dioxolanes, acetals and ketals using nickel boride","Khurana, Jitender M.; Dawra, Kiran; Sharma, Purnima","RSC Advances (2015), 5(16), 12048-12051","Chemoselective deprotection and deprotection with concomitant reduction of 1,3-dioxolanes, acetals and ketals using nickel boride | Khurana, Jitender M.; Dawra, Kiran; Sharma, Purnima | RSC Advances (2015), 5(16), 12048-12051",77196-31-7,"66-99-9, 1592-38-7",16940-66-2,7718-54-9,67-56-1,,,,,,,1,1,87,8,,,,,,"{""1"": 87, ""2"": 8}","[{""index"": 1, ""cas_rn"": ""77196-31-7"", ""smiles"": ""COC(OC)c1ccc2ccccc2c1""}]","[{""index"": 1, ""cas_rn"": ""66-99-9"", ""yield_pct"": ""87"", ""smiles"": ""O=Cc1ccc2ccccc2c1""}, {""index"": 2, ""cas_rn"": ""1592-38-7"", ""yield_pct"": ""8"", ""smiles"": ""OCc1ccc2ccccc2c1""}]","[{""index"": 1, ""cas_rn"": ""16940-66-2""}]","[{""index"": 1, ""cas_rn"": ""7718-54-9""}]","[{""index"": 1, ""cas_rn"": ""67-56-1""}]","chemoselective, substrate:NiCl2:NaBH4 stoichiometry dependent product, alternative preparation shown",
31-008-CAS-18652295,31-008-CAS-18652295,Reaction_20251106_1651 (2).rdf,NaBH4 carbonyl reductions,88,,,ClCCBr.O=Cc1ccc(O)cc1,OCc1ccc(OCCCl)cc1,ClCCBr.O=Cc1ccc(O)cc1>>OCc1ccc(OCCCl)cc1,Process for preparing novel mesylate intermediate for the synthesis of Bazedoxifene acetate,"Luthra, Parven Kumar; Bhuta, Sachin; Nair, Raji; Salunke, Sanjukumar; Venkataraman, Deepak","India, IN2011KO00877 A 2016-08-26","Process for preparing novel mesylate intermediate for the synthesis of Bazedoxifene acetate | Luthra, Parven Kumar; Bhuta, Sachin; Nair, Raji; Salunke, Sanjukumar; Venkataraman, Deepak | India, IN2011KO00877 A 2016-08-26","107-04-0, 123-08-0",111728-87-1,"584-08-7, 16940-66-2",,"75-05-8, 67-56-1",,,,,,,2,1,88,,,,,,,"{""1"": 88}","[{""index"": 1, ""cas_rn"": ""107-04-0"", ""smiles"": ""ClCCBr""}, {""index"": 2, ""cas_rn"": ""123-08-0"", ""smiles"": ""O=Cc1ccc(O)cc1""}]","[{""index"": 1, ""cas_rn"": ""111728-87-1"", ""yield_pct"": ""88"", ""smiles"": ""OCc1ccc(OCCCl)cc1""}]","[{""index"": 1, ""cas_rn"": ""584-08-7""}, {""index"": 2, ""cas_rn"": ""16940-66-2""}]",[],"[{""index"": 1, ""cas_rn"": ""75-05-8""}, {""index"": 2, ""cas_rn"": ""67-56-1""}]",,
31-008-CAS-19301841,31-008-CAS-19301841,Reaction_20251106_1651 (2).rdf,NaBH4 carbonyl reductions,84,,,COc1cccc(OC)c1O.COc1ccc(C(=O)CBr)cc1OC,COc1ccc(C(O)COc2c(OC)cccc2OC)cc1OC,COc1cccc(OC)c1O.COc1ccc(C(=O)CBr)cc1OC>>COc1ccc(C(O)COc2c(OC)cccc2OC)cc1OC,Selective C-O bond cleavage of oxidized lignin and lignin-type materials into simple aromatic compounds,"Stahl, Shannon S.; Coon, Joshua; Rahimi, Alireza; Ulbrich, Arne","United States, US20150259368 A1 2015-09-17","Selective C-O bond cleavage of oxidized lignin and lignin-type materials into simple aromatic compounds | Stahl, Shannon S.; Coon, Joshua; Rahimi, Alireza; Ulbrich, Arne | United States, US20150259368 A1 2015-09-17","91-10-1, 1835-02-5",1416781-15-1,"584-08-7, 16940-66-2, 12125-02-9",,"67-64-1, 109-99-9, 7732-18-5",,,,,,,3,1,84,,,,,,,"{""1"": 84}","[{""index"": 1, ""cas_rn"": ""91-10-1"", ""smiles"": ""COc1cccc(OC)c1O""}, {""index"": 2, ""cas_rn"": ""1835-02-5"", ""smiles"": ""COc1ccc(C(=O)CBr)cc1OC""}]","[{""index"": 1, ""cas_rn"": ""1416781-15-1"", ""yield_pct"": ""84"", ""smiles"": ""COc1ccc(C(O)COc2c(OC)cccc2OC)cc1OC""}]","[{""index"": 1, ""cas_rn"": ""584-08-7""}, {""index"": 2, ""cas_rn"": ""16940-66-2""}, {""index"": 3, ""cas_rn"": ""12125-02-9""}]",[],"[{""index"": 1, ""cas_rn"": ""67-64-1""}, {""index"": 2, ""cas_rn"": ""109-99-9""}, {""index"": 3, ""cas_rn"": ""7732-18-5""}]",,
31-008-CAS-6883416,31-008-CAS-6883416,Reaction_20251106_1651 (1).rdf,NaBH4 carbonyl reductions,96,,,Oc1ccccc1.COc1ccc(C(=O)CBr)cc1,COc1ccc(C(O)COc2ccccc2)cc1,Oc1ccccc1.COc1ccc(C(=O)CBr)cc1>>COc1ccc(C(O)COc2ccccc2)cc1,Mild and Robust Redox-Neutral Pd/C-Catalyzed Lignol β-O-4' Bond Cleavage Through a Low-Energy-Barrier Pathway,"Galkin, Maxim V.; Dahlstrand, Christian; Samec, Joseph S. M.","ChemSusChem (2015), 8(13), 2187-2192","Mild and Robust Redox-Neutral Pd/C-Catalyzed Lignol β-O-4' Bond Cleavage Through a Low-Energy-Barrier Pathway | Galkin, Maxim V.; Dahlstrand, Christian; Samec, Joseph S. M. | ChemSusChem (2015), 8(13), 2187-2192","108-95-2, 2632-13-5",29509-29-3,"584-08-7, 16940-66-2, 12125-02-9",,"67-64-1, 64-17-5, 7732-18-5",,,,,,,3,1,96,,,,,,,"{""1"": 96}","[{""index"": 1, ""cas_rn"": ""108-95-2"", ""smiles"": ""Oc1ccccc1""}, {""index"": 2, ""cas_rn"": ""2632-13-5"", ""smiles"": ""COc1ccc(C(=O)CBr)cc1""}]","[{""index"": 1, ""cas_rn"": ""29509-29-3"", ""yield_pct"": ""96"", ""smiles"": ""COc1ccc(C(O)COc2ccccc2)cc1""}]","[{""index"": 1, ""cas_rn"": ""584-08-7""}, {""index"": 2, ""cas_rn"": ""16940-66-2""}, {""index"": 3, ""cas_rn"": ""12125-02-9""}]",[],"[{""index"": 1, ""cas_rn"": ""67-64-1""}, {""index"": 2, ""cas_rn"": ""64-17-5""}, {""index"": 3, ""cas_rn"": ""7732-18-5""}]",,
31-010-CAS-21238990,31-010-CAS-21238990,Reaction_20251106_1651 (1).rdf,NaBH4 carbonyl reductions,100,,,CC(C)c1ccc(C=O)cc1.C[SiH](C)c1ccccc1,CC(C)c1ccc(CO[Si](C)(C)c2ccccc2)cc1,CC(C)c1ccc(C=O)cc1.C[SiH](C)c1ccccc1>>CC(C)c1ccc(CO[Si](C)(C)c2ccccc2)cc1,Organosilane oxidation with a half million turnover number using fibrous nanosilica supported ultrasmall nanoparticles and pseudo-single atoms of gold,"Dhiman, Mahak; Chalke, Bhagyashree; Polshettiwar, Vivek","Journal of Materials Chemistry A: Materials for Energy and Sustainability (2017), 5(5), 1935-1940","Organosilane oxidation with a half million turnover number using fibrous nanosilica supported ultrasmall nanoparticles and pseudo-single atoms of gold | Dhiman, Mahak; Chalke, Bhagyashree; Polshettiwar, Vivek | Journal of Materials Chemistry A: Materials for Energy and Sustainability (2017), 5(5), 1935-1940","122-03-2, 766-77-8",2070894-29-8,,"919-30-2, 7440-57-5, 7631-86-9",109-99-9,,,,,,,1,1,100,,,,,,,"{""1"": 100}","[{""index"": 1, ""cas_rn"": ""122-03-2"", ""smiles"": ""CC(C)c1ccc(C=O)cc1""}, {""index"": 2, ""cas_rn"": ""766-77-8"", ""smiles"": ""C[SiH](C)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""2070894-29-8"", ""yield_pct"": ""100"", ""smiles"": ""CC(C)c1ccc(CO[Si](C)(C)c2ccccc2)cc1""}]",[],"[{""index"": 1, ""cas_rn"": ""919-30-2""}, {""index"": 2, ""cas_rn"": ""7440-57-5""}, {""index"": 3, ""cas_rn"": ""7631-86-9""}]","[{""index"": 1, ""cas_rn"": ""109-99-9""}]","3-aminopropyltriethoxysilane functionalized pseudo-single atoms of gold and fibrous nanosilica catalyst prepared and used, recyclable catalyst, selectivity 56%",
31-026-CAS-17972736,31-026-CAS-17972736,Reaction_20251106_1651 (1).rdf,NaBH4 carbonyl reductions,100,,,N[C@@H](CC[SeH])C(=O)O.COc1ccc(CCl)cc1,COc1ccc(C[Se]CC[C@H](N)C(O)O)cc1.Cl,N[C@@H](CC[SeH])C(=O)O.COc1ccc(CCl)cc1>>COc1ccc(C[Se]CC[C@H](N)C(O)O)cc1.Cl,Revisiting ligation at selenomethionine: Insights into native chemical ligation at selenocysteine and homoselenocysteine,"Dardashti, Rebecca Notis; Metanis, Norman","Bioorganic & Medicinal Chemistry (2017), 25(18), 4983-4989","Revisiting ligation at selenomethionine: Insights into native chemical ligation at selenocysteine and homoselenocysteine | Dardashti, Rebecca Notis; Metanis, Norman | Bioorganic & Medicinal Chemistry (2017), 25(18), 4983-4989","29475-60-3, 824-94-2",2101955-28-4,"1310-73-2, 16940-66-2, 7697-37-2, 7647-01-0",,7732-18-5,,,,,,,4,1,100,,,,,,,"{""1"": 100}","[{""index"": 1, ""cas_rn"": ""29475-60-3"", ""smiles"": ""N[C@@H](CC[SeH])C(=O)O""}, {""index"": 2, ""cas_rn"": ""824-94-2"", ""smiles"": ""COc1ccc(CCl)cc1""}]","[{""index"": 1, ""cas_rn"": ""2101955-28-4"", ""yield_pct"": ""100"", ""smiles"": ""COc1ccc(C[Se]CC[C@H](N)C(O)O)cc1.Cl""}]","[{""index"": 1, ""cas_rn"": ""1310-73-2""}, {""index"": 2, ""cas_rn"": ""16940-66-2""}, {""index"": 3, ""cas_rn"": ""7697-37-2""}, {""index"": 4, ""cas_rn"": ""7647-01-0""}]",[],"[{""index"": 1, ""cas_rn"": ""7732-18-5""}]",,
31-084-CAS-17674676,31-084-CAS-17674676,Reaction_20251106_1651 (1).rdf,NaBH4 carbonyl reductions,100,,,O=Cc1ccc(CCc2ccc(-c3ccc(C=O)cc3)cc2)cc1,OCc1ccc(CCc2ccc(-c3ccc(CO)cc3)cc2F)cc1,O=Cc1ccc(CCc2ccc(-c3ccc(C=O)cc3)cc2)cc1>>OCc1ccc(CCc2ccc(-c3ccc(CO)cc3)cc2F)cc1,"Liquid crystal compound having alkenyl on both ends, liquid crystal composition and liquid crystal display device","Gotoh, Yasuyuki; Okumura, Kazuo","United States, US20170051206 A1 2017-02-23","Liquid crystal compound having alkenyl on both ends, liquid crystal composition and liquid crystal display device | Gotoh, Yasuyuki; Okumura, Kazuo | United States, US20170051206 A1 2017-02-23",2085765-30-4,2085765-40-6,"16940-66-2, 12125-02-9",,"109-99-9, 7732-18-5",,,,,,,2,1,100,,,,,,,"{""1"": 100}","[{""index"": 1, ""cas_rn"": ""2085765-30-4"", ""smiles"": ""O=Cc1ccc(CCc2ccc(-c3ccc(C=O)cc3)cc2)cc1""}]","[{""index"": 1, ""cas_rn"": ""2085765-40-6"", ""yield_pct"": ""100"", ""smiles"": ""OCc1ccc(CCc2ccc(-c3ccc(CO)cc3)cc2F)cc1""}]","[{""index"": 1, ""cas_rn"": ""16940-66-2""}, {""index"": 2, ""cas_rn"": ""12125-02-9""}]",[],"[{""index"": 1, ""cas_rn"": ""109-99-9""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]",,
31-113-CAS-16114117,31-113-CAS-16114117,Reaction_20251106_1651 (1).rdf,NaBH4 carbonyl reductions,95,,,O=Cc1ccc(Cl)cc1,OCc1ccccc1,O=Cc1ccc(Cl)cc1>>OCc1ccccc1,A practical and highly efficient reductive dehalogenation of aryl halides using heterogeneous Pd/AlO(OH) nanoparticles and sodium borohydride,"Kara, Belguzar Yasemin; Yazici, Melike; Kilbas, Benan; Goksu, Haydar","Tetrahedron (2016), 72(39), 5898-5902","A practical and highly efficient reductive dehalogenation of aryl halides using heterogeneous Pd/AlO(OH) nanoparticles and sodium borohydride | Kara, Belguzar Yasemin; Yazici, Melike; Kilbas, Benan; Goksu, Haydar | Tetrahedron (2016), 72(39), 5898-5902",104-88-1,100-51-6,16940-66-2,"7440-05-3, 24623-77-6","67-56-1, 7732-18-5",,,,"aluminum hydroxide oxide-supported, complex with palladium",,,1,1,95,,,,,,,"{""1"": 95}","[{""index"": 1, ""cas_rn"": ""104-88-1"", ""smiles"": ""O=Cc1ccc(Cl)cc1""}]","[{""index"": 1, ""cas_rn"": ""100-51-6"", ""yield_pct"": ""95"", ""smiles"": ""OCc1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""16940-66-2""}]","[{""index"": 1, ""cas_rn"": ""7440-05-3"", ""amd"": ""aluminum hydroxide oxide-supported""}, {""index"": 2, ""cas_rn"": ""24623-77-6"", ""amd"": ""complex with palladium""}]","[{""index"": 1, ""cas_rn"": ""67-56-1""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]","green chemistry, green chemistry-solvent, solid-supported catalyst, ultrasound, Schlenk tube used, reusable catalyst, alternative preparation shown, closed vessel used, aluminum oxy hydroxide supported palladium nanoparticles used as catalyst",
31-113-CAS-16114118,31-113-CAS-16114118,Reaction_20251106_1651 (1).rdf,NaBH4 carbonyl reductions,95,,,O=Cc1ccc(Br)cc1,OCc1ccccc1,O=Cc1ccc(Br)cc1>>OCc1ccccc1,A practical and highly efficient reductive dehalogenation of aryl halides using heterogeneous Pd/AlO(OH) nanoparticles and sodium borohydride,"Kara, Belguzar Yasemin; Yazici, Melike; Kilbas, Benan; Goksu, Haydar","Tetrahedron (2016), 72(39), 5898-5902","A practical and highly efficient reductive dehalogenation of aryl halides using heterogeneous Pd/AlO(OH) nanoparticles and sodium borohydride | Kara, Belguzar Yasemin; Yazici, Melike; Kilbas, Benan; Goksu, Haydar | Tetrahedron (2016), 72(39), 5898-5902",1122-91-4,100-51-6,16940-66-2,"7440-05-3, 24623-77-6","67-56-1, 7732-18-5",,,,"aluminum hydroxide oxide-supported, complex with palladium",,,1,1,95,,,,,,,"{""1"": 95}","[{""index"": 1, ""cas_rn"": ""1122-91-4"", ""smiles"": ""O=Cc1ccc(Br)cc1""}]","[{""index"": 1, ""cas_rn"": ""100-51-6"", ""yield_pct"": ""95"", ""smiles"": ""OCc1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""16940-66-2""}]","[{""index"": 1, ""cas_rn"": ""7440-05-3"", ""amd"": ""aluminum hydroxide oxide-supported""}, {""index"": 2, ""cas_rn"": ""24623-77-6"", ""amd"": ""complex with palladium""}]","[{""index"": 1, ""cas_rn"": ""67-56-1""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]","green chemistry, green chemistry-solvent, solid-supported catalyst, ultrasound, Schlenk tube used, reusable catalyst, alternative preparation shown, closed vessel used, aluminum oxy hydroxide supported palladium nanoparticles used as catalyst",
31-113-CAS-16114119,31-113-CAS-16114119,Reaction_20251106_1651 (1).rdf,NaBH4 carbonyl reductions,95,,,O=Cc1ccc(I)cc1,OCc1ccccc1,O=Cc1ccc(I)cc1>>OCc1ccccc1,A practical and highly efficient reductive dehalogenation of aryl halides using heterogeneous Pd/AlO(OH) nanoparticles and sodium borohydride,"Kara, Belguzar Yasemin; Yazici, Melike; Kilbas, Benan; Goksu, Haydar","Tetrahedron (2016), 72(39), 5898-5902","A practical and highly efficient reductive dehalogenation of aryl halides using heterogeneous Pd/AlO(OH) nanoparticles and sodium borohydride | Kara, Belguzar Yasemin; Yazici, Melike; Kilbas, Benan; Goksu, Haydar | Tetrahedron (2016), 72(39), 5898-5902",15164-44-0,100-51-6,16940-66-2,"7440-05-3, 24623-77-6","67-56-1, 7732-18-5",,,,"aluminum hydroxide oxide-supported, complex with palladium",,,1,1,95,,,,,,,"{""1"": 95}","[{""index"": 1, ""cas_rn"": ""15164-44-0"", ""smiles"": ""O=Cc1ccc(I)cc1""}]","[{""index"": 1, ""cas_rn"": ""100-51-6"", ""yield_pct"": ""95"", ""smiles"": ""OCc1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""16940-66-2""}]","[{""index"": 1, ""cas_rn"": ""7440-05-3"", ""amd"": ""aluminum hydroxide oxide-supported""}, {""index"": 2, ""cas_rn"": ""24623-77-6"", ""amd"": ""complex with palladium""}]","[{""index"": 1, ""cas_rn"": ""67-56-1""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]","green chemistry, green chemistry-solvent, solid-supported catalyst, ultrasound, Schlenk tube used, reusable catalyst, alternative preparation shown, closed vessel used, aluminum oxy hydroxide supported palladium nanoparticles used as catalyst",
31-113-CAS-16114137,31-113-CAS-16114137,Reaction_20251106_1651 (1).rdf,NaBH4 carbonyl reductions,95,,,CC(=O)c1ccc(Br)s1,CC(O)c1cccs1,CC(=O)c1ccc(Br)s1>>CC(O)c1cccs1,A practical and highly efficient reductive dehalogenation of aryl halides using heterogeneous Pd/AlO(OH) nanoparticles and sodium borohydride,"Kara, Belguzar Yasemin; Yazici, Melike; Kilbas, Benan; Goksu, Haydar","Tetrahedron (2016), 72(39), 5898-5902","A practical and highly efficient reductive dehalogenation of aryl halides using heterogeneous Pd/AlO(OH) nanoparticles and sodium borohydride | Kara, Belguzar Yasemin; Yazici, Melike; Kilbas, Benan; Goksu, Haydar | Tetrahedron (2016), 72(39), 5898-5902",5370-25-2,2309-47-9,16940-66-2,"7440-05-3, 24623-77-6","67-56-1, 7732-18-5",,,,"aluminum hydroxide oxide-supported, complex with palladium",,,1,1,95,,,,,,,"{""1"": 95}","[{""index"": 1, ""cas_rn"": ""5370-25-2"", ""smiles"": ""CC(=O)c1ccc(Br)s1""}]","[{""index"": 1, ""cas_rn"": ""2309-47-9"", ""yield_pct"": ""95"", ""smiles"": ""CC(O)c1cccs1""}]","[{""index"": 1, ""cas_rn"": ""16940-66-2""}]","[{""index"": 1, ""cas_rn"": ""7440-05-3"", ""amd"": ""aluminum hydroxide oxide-supported""}, {""index"": 2, ""cas_rn"": ""24623-77-6"", ""amd"": ""complex with palladium""}]","[{""index"": 1, ""cas_rn"": ""67-56-1""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]","green chemistry, green chemistry-solvent, solid-supported catalyst, ultrasound, Schlenk tube used, reusable catalyst, closed vessel used, aluminum oxy hydroxide supported palladium nanoparticles used as catalyst",
31-116-CAS-17275138,31-116-CAS-17275138,Reaction_20251106_1651 (2).rdf,NaBH4 carbonyl reductions,83,,,O=Cc1ccccc1,[2H]C(O)c1ccccc1,O=Cc1ccccc1>>[2H]C(O)c1ccccc1,Second-order biomimicry: In situ oxidative self-processing converts copper(I)/diamine precursor into a highly active aerobic oxidation catalyst,"McCann, Scott D.; Lumb, Jean-Philip; Arndtsen, Bruce A.; Stahl, Shannon S.","ACS Central Science (2017), 3(4), 314-321","Second-order biomimicry: In situ oxidative self-processing converts copper(I)/diamine precursor into a highly active aerobic oxidation catalyst | McCann, Scott D.; Lumb, Jean-Philip; Arndtsen, Bruce A.; Stahl, Shannon S. | ACS Central Science (2017), 3(4), 314-321",100-52-7,4546-45-6,"15681-89-7, 12125-02-9",,"1455-13-6, 7732-18-5",,,,,,,2,1,83,,,,,,,"{""1"": 83}","[{""index"": 1, ""cas_rn"": ""100-52-7"", ""smiles"": ""O=Cc1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""4546-45-6"", ""yield_pct"": ""83"", ""smiles"": ""[2H]C(O)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""15681-89-7""}, {""index"": 2, ""cas_rn"": ""12125-02-9""}]",[],"[{""index"": 1, ""cas_rn"": ""1455-13-6""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]",regioselective,
31-244-CAS-20001482,31-244-CAS-20001482,Reaction_20251106_1651 (2).rdf,NaBH4 carbonyl reductions,83,,,Cc1ccc(S(=O)(=O)N2C[C@@]34C=C[C@@H](O3)[C@H]3C(=O)C=C[C@]2(C)[C@H]34)cc1,Cc1ccc(S(=O)(=O)N2C[C@@]34C=C[C@@H](O3)[C@@H]3[C@H]4[C@@]2(C)CC[C@@H]3O)cc1,Cc1ccc(S(=O)(=O)N2C[C@@]34C=C[C@@H](O3)[C@H]3C(=O)C=C[C@]2(C)[C@H]34)cc1>>Cc1ccc(S(=O)(=O)N2C[C@@]34C=C[C@@H](O3)[C@@H]3[C@H]4[C@@]2(C)CC[C@@H]3O)cc1,"Mitsunobu-initiated cascade cyclization of p-quinamines and 2-furanylmethanols: highly regio- and diastereoselective synthesis of functionalized hydrobenzo[c,d]indoles","Cao, Bo; Wei, Yin; Shi, Min","Organic & Biomolecular Chemistry (2019), 17(15), 3737-3740","Mitsunobu-initiated cascade cyclization of p-quinamines and 2-furanylmethanols: highly regio- and diastereoselective synthesis of functionalized hydrobenzo[c,d]indoles | Cao, Bo; Wei, Yin; Shi, Min | Organic & Biomolecular Chemistry (2019), 17(15), 3737-3740",2305122-42-1,2305122-63-6,"7790-86-5, 16940-66-2, 7732-18-5",,67-56-1,,,,,,,2,1,83,,,,,,,"{""1"": 83}","[{""index"": 1, ""cas_rn"": ""2305122-42-1"", ""smiles"": ""Cc1ccc(S(=O)(=O)N2C[C@@]34C=C[C@@H](O3)[C@H]3C(=O)C=C[C@]2(C)[C@H]34)cc1""}]","[{""index"": 1, ""cas_rn"": ""2305122-63-6"", ""yield_pct"": ""83"", ""smiles"": ""Cc1ccc(S(=O)(=O)N2C[C@@]34C=C[C@@H](O3)[C@@H]3[C@H]4[C@@]2(C)CC[C@@H]3O)cc1""}]","[{""index"": 1, ""cas_rn"": ""7790-86-5""}, {""index"": 2, ""cas_rn"": ""16940-66-2""}, {""index"": 3, ""cas_rn"": ""7732-18-5""}]",[],"[{""index"": 1, ""cas_rn"": ""67-56-1""}]",stereoselective,
31-244-CAS-20634422,31-244-CAS-20634422,Reaction_20251106_1651 (1).rdf,NaBH4 carbonyl reductions,96,,,Cc1ccc(S(=O)(=O)/C(=C/c2ccc(Cl)c(Cl)c2)C(=O)c2ccccc2)cc1,Cc1ccc(S(=O)(=O)[C@H](Cc2ccc(Cl)c(Cl)c2)[C@H](O)c2ccccc2)cc1,Cc1ccc(S(=O)(=O)/C(=C/c2ccc(Cl)c(Cl)c2)C(=O)c2ccccc2)cc1>>Cc1ccc(S(=O)(=O)[C@H](Cc2ccc(Cl)c(Cl)c2)[C@H](O)c2ccccc2)cc1,Synthesis of 2-Sulfonyl Indenes and Indanes,"Chang, Meng-Yang; Wu, Yan-Shin; Tsai, Yu-Lin; Chen, Hsing-Yin","Journal of Organic Chemistry (2019), 84(18), 11699-11723","Synthesis of 2-Sulfonyl Indenes and Indanes | Chang, Meng-Yang; Wu, Yan-Shin; Tsai, Yu-Lin; Chen, Hsing-Yin | Journal of Organic Chemistry (2019), 84(18), 11699-11723",2376381-96-1,2376381-61-0,16940-66-2,,"67-56-1, 109-99-9",,,,,,,1,1,96,,,,,,,"{""1"": 96}","[{""index"": 1, ""cas_rn"": ""2376381-96-1"", ""smiles"": ""Cc1ccc(S(=O)(=O)/C(=C/c2ccc(Cl)c(Cl)c2)C(=O)c2ccccc2)cc1""}]","[{""index"": 1, ""cas_rn"": ""2376381-61-0"", ""yield_pct"": ""96"", ""smiles"": ""Cc1ccc(S(=O)(=O)[C@H](Cc2ccc(Cl)c(Cl)c2)[C@H](O)c2ccccc2)cc1""}]","[{""index"": 1, ""cas_rn"": ""16940-66-2""}]",[],"[{""index"": 1, ""cas_rn"": ""67-56-1""}, {""index"": 2, ""cas_rn"": ""109-99-9""}]",stereoselective,
