schema_version,observation_id,reaction_id,canonical_reaction_id,source_dataset,source_row_number,source_declared_family,reference_id,reference_resolution_status,admission_tier,admission_reasons,chemistry_status,condition_status,outcome_status,index_eligibility,reaction_smiles,canonical_reaction_smiles,evidence_quality,transformation_class,transformation_confidence,named_family,family_confidence,reaction_label,reaction_label_status,reaction_display_label_status,reaction_display_label_detailed,reaction_display_label_json,yield_pct,temperature_c,time_h,condition_recipe_id,condition_recipe_core_id,reference_condition_series_id,legacy_condition_recipe_id,raw_recipe_id,catalyst_cas,reagent_cas,solvent_cas,condition_resolved_count,condition_unresolved_count,condition_invalid_count,condition_identity_uncertainty,reaction_scope,formed_ring_sizes,ring_count_delta,reaction_event_count,reaction_event_scope,reaction_signature_id,signature_l0_exact,signature_l1_handle,signature_l2_transformation,signature_l3_bond_edit,signature_l4_environment,reaction_signature_json,reference
1.9,OBS1:5170c39b91683dbf4f4e7f831c5ae62384d7a98161f71d00123550d02344a3e2,31-004-CAS-1836339,CRX1:53c15cf7dc3433e8e17adfc03c055446a0e139263d97d52450e347cf7677de58,Acetal_ketal_formation,2,Acetal ketal formation,REF1:047573cf0c1bf22a78277f2d5d6193851d693b58a9f8335afffe6d2153e7f037,bibliographic_text,review,missing_verified_reaction_signature,review,resolved_complete,usable,review_only,CO.Cc1ccc(S(=O)(=O)OC2CCCCC2=O)cc1>>COC1(OC)CCCCC1O,CO.Cc1ccc(S(=O)(=O)OC2CCCCC2=O)cc1>>COC1(OC)CCCCC1O,reactant_grammar_only,,0.0,,0.0,Allyl–OTs + R2–OH →,reactant_only,reactant_only,Allyl–OTs + R2–OH →,"{""clauses"":[],""concise"":""Allyl–OTs + R2–OH →"",""confidence"":0.0,""contextual_label"":null,""definition_version"":""1.1"",""detailed"":""Allyl–OTs + R2–OH →"",""event_count"":0,""event_labels"":[],""evidence"":""unresolved"",""family_label"":null,""grammar_id"":null,""grammar_label"":null,""pattern_definition_version"":null,""pattern_id"":null,""product_context_label"":null,""reactant_context_label"":null,""schema_version"":""1.3"",""status"":""reactant_only"",""structural_label"":null,""style"":""unicode"",""transformation_label"":null,""warnings"":[""SCAFFOLD_CORRESPONDENCE_REQUIRES_ONE_SUBSTRATE""]}",83.0,,,RCR1:2a0628265740b505bfd9f894f53990ace9308deba2d45f2c896a8720717ad930,RCORE1:23c37805815b8e88bf051362b06600aad9764d21b54c13139464f624da8ccd91,,COND1:catalyst=unknown|reagent=1310-58-3|solvent=67-56-1,RAWCOND1:8503c06d3667d71ceae1ddbb7880e0fe1f8277c1ab9b48f957939d5931902a29,,1310-58-3,67-56-1,2,0,0,False,,,,,,,,,,,,,"Journal of Chemical Research, Synopses (1993), (10), 430-1"
1.9,OBS1:3163b83d082bea2c1d009a04bc1dd0156770e3fe0a495686eadc03cfaf084003,31-031-CAS-1041360,CRX1:056d407ce0bf461cb49b011d64de53824512a7bf3bc8327bfc186942a54268e3,Acetal_ketal_formation,30,Acetal ketal formation,REF1:6f6884f1ffd94f2b30ab0920790e44e99916083822d68e271a414f19af26e53b,bibliographic_text,review,missing_verified_reaction_signature|multistage_conditions_not_structured,review,multistage_ambiguous,usable,review_only,Cc1ccc(N)c(Cl)c1.O=C(CCCl)CCCl.COC(OC)OC>>COC1(OC)CCN(c2ccc(C)cc2Cl)CC1,COC(OC)OC.Cc1ccc(N)c(Cl)c1.O=C(CCCl)CCCl>>COC1(OC)CCN(c2ccc(C)cc2Cl)CC1,reactant_grammar_only,,0.0,,0.0,(Ar–Cl + activated C–H) OR (R1–C(R2)=O + Ar–NH2) OR (R–Cl + Ar–NH2) OR (intramolecular Ar–Cl / Ar–H) OR (intramolecular Ar–Cl / Ar–NH2) →,ambiguous_reactants,ambiguous_reactants,(Ar–Cl + activated C–H) OR (R1–C(R2)=O + Ar–NH2) OR (R–Cl + Ar–NH2) OR (intramolecular Ar–Cl / Ar–H) OR (intramolecular Ar–Cl / Ar–NH2) →,"{""clauses"":[],""concise"":""(Ar–Cl + activated C–H) OR (R1–C(R2)=O + Ar–NH2) OR (R–Cl + Ar–NH2) OR (intramolecular Ar–Cl / Ar–H) OR (intramolecular Ar–Cl / Ar–NH2) →"",""confidence"":0.0,""contextual_label"":null,""definition_version"":""1.1"",""detailed"":""(Ar–Cl + activated C–H) OR (R1–C(R2)=O + Ar–NH2) OR (R–Cl + Ar–NH2) OR (intramolecular Ar–Cl / Ar–H) OR (intramolecular Ar–Cl / Ar–NH2) →"",""event_count"":0,""event_labels"":[],""evidence"":""unresolved"",""family_label"":null,""grammar_id"":null,""grammar_label"":null,""pattern_definition_version"":null,""pattern_id"":null,""product_context_label"":null,""reactant_context_label"":null,""schema_version"":""1.3"",""status"":""ambiguous_reactants"",""structural_label"":null,""style"":""unicode"",""transformation_label"":null,""warnings"":[""SCAFFOLD_CORRESPONDENCE_REQUIRES_ONE_SUBSTRATE""]}",81.0,,,RCR1:fbd2484eafcef32c1bbcd7d2f7101e1421fcd012a9d6043315072ae66d75cf2e,RCORE1:b30d97acc93ef7505637787c3126293065c28141f68d1b3cbcdd4702f32bba65,,COND1:catalyst=unknown|reagent=104-15-4|solvent=67-56-1,RAWCOND1:c2f89058baf94824439132701d6d3d5ae2c314583384816c52b4436a426266bb,,104-15-4,67-56-1,2,0,0,False,,,,,,,,,,,,,"Journal of the Chemical Society, Perkin Transactions 1: Organic and Bio-Organic Chemistry (1997), (3), 191-194"
1.9,OBS1:c1f2aa7f85534dbf4d4c4d01efa8ed53f609d9783ce412efa4032f9d770f9bee,31-031-CAS-14433790,CRX1:8ddfa909ae10eb037341ff5f5eb8e49cfe791306c9354a2fea0e81d060a2d50b,Acetal_ketal_formation,31,Acetal ketal formation,REF1:6f6884f1ffd94f2b30ab0920790e44e99916083822d68e271a414f19af26e53b,bibliographic_text,review,missing_verified_reaction_signature|multistage_conditions_not_structured,review,multistage_ambiguous,usable,review_only,Nc1ccccc1F.O=C(CCCl)CCCl.COC(OC)OC>>COC1(OC)CCN(c2ccccc2F)CC1,COC(OC)OC.Nc1ccccc1F.O=C(CCCl)CCCl>>COC1(OC)CCN(c2ccccc2F)CC1,reactant_grammar_only,,0.0,,0.0,(Ar–F + activated C–H) OR (R1–C(R2)=O + Ar–NH2) OR (R–Cl + Ar–NH2) OR (intramolecular Ar–F / Ar–H) OR (intramolecular Ar–F / Ar–NH2) →,ambiguous_reactants,ambiguous_reactants,(Ar–F + activated C–H) OR (R1–C(R2)=O + Ar–NH2) OR (R–Cl + Ar–NH2) OR (intramolecular Ar–F / Ar–H) OR (intramolecular Ar–F / Ar–NH2) →,"{""clauses"":[],""concise"":""(Ar–F + activated C–H) OR (R1–C(R2)=O + Ar–NH2) OR (R–Cl + Ar–NH2) OR (intramolecular Ar–F / Ar–H) OR (intramolecular Ar–F / Ar–NH2) →"",""confidence"":0.0,""contextual_label"":null,""definition_version"":""1.1"",""detailed"":""(Ar–F + activated C–H) OR (R1–C(R2)=O + Ar–NH2) OR (R–Cl + Ar–NH2) OR (intramolecular Ar–F / Ar–H) OR (intramolecular Ar–F / Ar–NH2) →"",""event_count"":0,""event_labels"":[],""evidence"":""unresolved"",""family_label"":null,""grammar_id"":null,""grammar_label"":null,""pattern_definition_version"":null,""pattern_id"":null,""product_context_label"":null,""reactant_context_label"":null,""schema_version"":""1.3"",""status"":""ambiguous_reactants"",""structural_label"":null,""style"":""unicode"",""transformation_label"":null,""warnings"":[""SCAFFOLD_CORRESPONDENCE_REQUIRES_ONE_SUBSTRATE""]}",81.0,,,RCR1:fbd2484eafcef32c1bbcd7d2f7101e1421fcd012a9d6043315072ae66d75cf2e,RCORE1:b30d97acc93ef7505637787c3126293065c28141f68d1b3cbcdd4702f32bba65,,COND1:catalyst=unknown|reagent=104-15-4|solvent=67-56-1,RAWCOND1:c2f89058baf94824439132701d6d3d5ae2c314583384816c52b4436a426266bb,,104-15-4,67-56-1,2,0,0,False,,,,,,,,,,,,,"Journal of the Chemical Society, Perkin Transactions 1: Organic and Bio-Organic Chemistry (1997), (3), 191-194"
1.9,OBS1:0b3bd2e8ad7afcc2275b97cf2232059c116176f587a4aa9ce9253fdd94d3e451,31-116-CAS-10096531,CRX1:ec2350846b3d5408bb10652722ce0864afc4364af5c56b85656f52654b564913,Acetal_ketal_formation,39,Acetal ketal formation,REF1:0cafed86e7ce824b667b0e09d55bcdcb8a65b8fd127e394cd2c4574a5536b0b5,bibliographic_text,review,missing_verified_reaction_signature,review,resolved_complete,usable,review_only,c1ccc(CNCc2ccccc2)cc1.CCCC=O.[2H]OC([2H])([2H])[2H]>>[2H]C([2H])([2H])OC(OC([2H])([2H])[2H])C([2H])(CC)N(Cc1ccccc1)Cc1ccccc1,CCCC=O.[2H]OC([2H])([2H])[2H].c1ccc(CNCc2ccccc2)cc1>>[2H]C([2H])([2H])OC(OC([2H])([2H])[2H])C([2H])(CC)N(Cc1ccccc1)Cc1ccccc1,reactant_grammar_only,,0.0,,0.0,R1–CH=O + R2R3–NH →,reactant_only,reactant_only,R1–CH=O + R2R3–NH →,"{""clauses"":[],""concise"":""R1–CH=O + R2R3–NH →"",""confidence"":0.0,""contextual_label"":null,""definition_version"":""1.1"",""detailed"":""R1–CH=O + R2R3–NH →"",""event_count"":0,""event_labels"":[],""evidence"":""unresolved"",""family_label"":null,""grammar_id"":null,""grammar_label"":null,""pattern_definition_version"":null,""pattern_id"":null,""product_context_label"":null,""reactant_context_label"":null,""schema_version"":""1.3"",""status"":""reactant_only"",""structural_label"":null,""style"":""unicode"",""transformation_label"":null,""warnings"":[""SCAFFOLD_CORRESPONDENCE_REQUIRES_ONE_SUBSTRATE""]}",80.0,,,RCR1:b31ed8acad8cca0a03c04144a33ca840678e1560197a01530b33c73b2513639b,RCORE1:4c8cae7c3e5585e40e6b8fdbc4c3efe7a52629205b4ca6bfc8fe66a2b2e1ae83,,COND1:catalyst=7681-65-4|reagent=75-91-2|solvent=75-05-8+811-98-3,RAWCOND1:136496e966f3081cef1005123f7f467f2254e112ce80a50b370288a1d5f55fe5,7681-65-4,75-91-2,75-05-8|811-98-3,4,0,0,True,,,,,,,,,,,,,"Chemical Communications (Cambridge, United Kingdom) (2011), 47(19), 5458-5460"
1.9,OBS1:37cb9d049ff11aa0ac205570f241cf6af7e14574700a9df9a45187e968f47497,31-174-CAS-9828353,CRX1:0a96b00832f76301d86863cad48cc0c1b729b28a2f4e44fa88985d8a328b7427,Acetal_ketal_formation,42,Acetal ketal formation,REF1:cd6a752192c490b348c59dc9b07e8a244bdceb62881b6848ae068a6dfcb2611d,bibliographic_text,review,condition_identifier_uncertainty|missing_verified_reaction_signature,review,unresolved_retained,usable,review_only,CO.O=Cc1ccccc1F>>COC(OC)c1ccccc1Br,CO.O=Cc1ccccc1F>>COC(OC)c1ccccc1Br,reactant_grammar_only,,0.0,,0.0,(Ar–F + R–OH) OR (intramolecular Ar–F / Ar–H) →,ambiguous_reactants,ambiguous_reactants,(Ar–F + R–OH) OR (intramolecular Ar–F / Ar–H) →,"{""clauses"":[],""concise"":""(Ar–F + R–OH) OR (intramolecular Ar–F / Ar–H) →"",""confidence"":0.0,""contextual_label"":null,""definition_version"":""1.1"",""detailed"":""(Ar–F + R–OH) OR (intramolecular Ar–F / Ar–H) →"",""event_count"":0,""event_labels"":[],""evidence"":""unresolved"",""family_label"":null,""grammar_id"":null,""grammar_label"":null,""pattern_definition_version"":null,""pattern_id"":null,""product_context_label"":null,""reactant_context_label"":null,""schema_version"":""1.3"",""status"":""ambiguous_reactants"",""structural_label"":null,""style"":""unicode"",""transformation_label"":null,""warnings"":[""SCAFFOLD_CORRESPONDENCE_REQUIRES_ONE_SUBSTRATE""]}",95.0,,,RCR1:473b3d0ccf3d1ad4b8667d0fc5ca7622f5afcb283dda41251847743b3e6a206e,RCORE1:e8cd91ac8481c368fe505027159ac028b25be75c64e1c271af959744d96c0044,,COND1:catalyst=1034343-98-0+130225-27-3|reagent=unknown|solvent=unknown,RAWCOND1:98fa457744cd828acc8cb4669e74cfd7d8db3cc5a012218891286b3fa6448319,1034343-98-0|130225-27-3,,,1,1,0,True,,,,,,,,,,,,,"ChemCatChem (2012), 4(12), 2026-2030, S2026/1-S2026/4"
1.9,OBS1:32d11932e611f7b87d868891cd270783f3e45df9352b50f1ee4eee1d1f21de2f,31-208-CAS-2338347,CRX1:421976a99c8e0af4097860ce7bdc682714f58c06a21340b253eb288ed52c6a29,Acetal_ketal_formation,47,Acetal ketal formation,REF1:6d67e29e90deb3c9dfd9c79c221f51303e6f2316657bd633c209038a3b8ac3ea,bibliographic_text,review,missing_verified_reaction_signature|multistage_conditions_not_structured,review,multistage_ambiguous,usable,review_only,O=Cc1ccc(Cl)cc1.CCCCO.CC(C)(C)OO>>CCCCOC(OOC(C)(C)C)c1ccc(Cl)cc1,CC(C)(C)OO.CCCCO.O=Cc1ccc(Cl)cc1>>CCCCOC(OOC(C)(C)C)c1ccc(Cl)cc1,reactant_grammar_only,,0.0,,0.0,(Ar–Cl + O–OH) OR (Ar–Cl + R–OH) OR (intramolecular Ar–Cl / Ar–H) →,ambiguous_reactants,ambiguous_reactants,(Ar–Cl + O–OH) OR (Ar–Cl + R–OH) OR (intramolecular Ar–Cl / Ar–H) →,"{""clauses"":[],""concise"":""(Ar–Cl + O–OH) OR (Ar–Cl + R–OH) OR (intramolecular Ar–Cl / Ar–H) →"",""confidence"":0.0,""contextual_label"":null,""definition_version"":""1.1"",""detailed"":""(Ar–Cl + O–OH) OR (Ar–Cl + R–OH) OR (intramolecular Ar–Cl / Ar–H) →"",""event_count"":0,""event_labels"":[],""evidence"":""unresolved"",""family_label"":null,""grammar_id"":null,""grammar_label"":null,""pattern_definition_version"":null,""pattern_id"":null,""product_context_label"":null,""reactant_context_label"":null,""schema_version"":""1.3"",""status"":""ambiguous_reactants"",""structural_label"":null,""style"":""unicode"",""transformation_label"":null,""warnings"":[""SCAFFOLD_CORRESPONDENCE_REQUIRES_ONE_SUBSTRATE""]}",80.0,,,RCR1:ff5a4dcafc8711326e3f516c0ea4daee0e5bbc053e9bac83b0eb88a233aac19a,RCORE1:0a9ea6e8eeedb5ced7d9c45874a0d8e114a2f37889b608036995c82b7c787c0a,,COND1:catalyst=7550-45-0|reagent=unknown|solvent=108-88-3+67-66-3,RAWCOND1:8c7c69350e18846370eaabc727b61f18ce5c8d04eaf14a3abdf613ce68451f57,7550-45-0,,108-88-3|67-66-3,3,0,0,False,,,,,,,,,,,,,"Canadian Journal of Chemistry (2012), 90(4), 321-325"
1.9,OBS1:a1623f80e2b0b67bd6a46ef6137d7bb3c6ae85c39a3c147630f71def7868f029,31-232-CAS-4206579,CRX1:402a5744d366e96c84289e134211450792fb5df68f335cec7c23b797a7ccb5f0,Acetal_ketal_formation,50,Acetal ketal formation,REF1:743f4f7b357691ccf1afcd42b23d5210986cef6b95ff2ed83020bfe9f2ae0f82,bibliographic_text,review,missing_verified_reaction_signature|multistage_conditions_not_structured,review,multistage_ambiguous,usable,review_only,CO.O=CCCCBr>>COC(CCCBr)OC,CO.O=CCCCBr>>COC(CCCBr)OC,reactant_grammar_only,,0.0,,0.0,R1–Br + R2–OH →,reactant_only,reactant_only,R1–Br + R2–OH →,"{""clauses"":[],""concise"":""R1–Br + R2–OH →"",""confidence"":0.0,""contextual_label"":null,""definition_version"":""1.1"",""detailed"":""R1–Br + R2–OH →"",""event_count"":0,""event_labels"":[],""evidence"":""unresolved"",""family_label"":null,""grammar_id"":null,""grammar_label"":null,""pattern_definition_version"":null,""pattern_id"":null,""product_context_label"":null,""reactant_context_label"":null,""schema_version"":""1.3"",""status"":""reactant_only"",""structural_label"":null,""style"":""unicode"",""transformation_label"":null,""warnings"":[""SCAFFOLD_CORRESPONDENCE_REQUIRES_ONE_SUBSTRATE""]}",99.0,,,RCR1:43e4d28d8fe4718912f030f130ebfa9be64a2d21bd5d4bbed10a1cb9abd209bd,RCORE1:733e2400e487ae47be49bf98fd6006b38d38cdeed9fcd8ef0a9f2cb6a5b3e702,,COND1:catalyst=77214-82-5|reagent=144-55-8+149-73-5|solvent=67-56-1+7732-18-5,RAWCOND1:d57c57863690ebbcd5de322a8178654ae0485ebcb5f4c1975eb56e859b7e1cb0,77214-82-5,144-55-8|149-73-5,67-56-1|7732-18-5,4,1,0,True,,,,,,,,,,,,,"Synthetic Communications (2008), 38(15), 2607-2618"
1.9,OBS1:b5ccf40db403e71d5cfbf21ab5cad7d158f07e70092614eff140ae8116123c08,31-301-CAS-10048377,CRX1:3ec95456660feb48b2745fe0daac3417391710d0445a6dd722a2066dc2ae46a7,Acetal_ketal_formation,64,Acetal ketal formation,REF1:41c5f345b3b199d5a3e3cf31a10d74a4e5d146836439eee08c864fb2d40aa09e,bibliographic_text,review,missing_verified_reaction_signature,review,resolved_complete,usable,review_only,OCCCO.COc1ccc(Br)c(C=O)c1>>COc1ccc(Br)c(C2OCCCO2)c1,COc1ccc(Br)c(C=O)c1.OCCCO>>COc1ccc(Br)c(C2OCCCO2)c1,reactant_grammar_only,,0.0,,0.0,(Ar–Br + R–OH) OR (intramolecular Ar–Br / Ar–H) →,ambiguous_reactants,ambiguous_reactants,(Ar–Br + R–OH) OR (intramolecular Ar–Br / Ar–H) →,"{""clauses"":[],""concise"":""(Ar–Br + R–OH) OR (intramolecular Ar–Br / Ar–H) →"",""confidence"":0.0,""contextual_label"":null,""definition_version"":""1.1"",""detailed"":""(Ar–Br + R–OH) OR (intramolecular Ar–Br / Ar–H) →"",""event_count"":0,""event_labels"":[],""evidence"":""unresolved"",""family_label"":null,""grammar_id"":null,""grammar_label"":null,""pattern_definition_version"":null,""pattern_id"":null,""product_context_label"":null,""reactant_context_label"":null,""schema_version"":""1.3"",""status"":""ambiguous_reactants"",""structural_label"":null,""style"":""unicode"",""transformation_label"":null,""warnings"":[""SCAFFOLD_CORRESPONDENCE_REQUIRES_ONE_SUBSTRATE""]}",96.0,,,RCR1:6d1bb4395706e34403383770a3bf2dcbf0a500cc1dc33259923c1d39001068f0,RCORE1:b19d74be0eb7d115aff5e1d24997ede640d6445159e83a0ee4f14694d7e36b97,,COND1:catalyst=104-15-4|reagent=unknown|solvent=108-88-3,RAWCOND1:cb89b3d226028c77e97263454c08ba9630d5f577b0a2cda8c0fbed2a9bd1b560,104-15-4,,108-88-3,2,0,0,True,,,,,,,,,,,,,"Organic Letters (2011), 13(23), 6276-6279"
1.9,OBS1:e281819c93f51cd19a9619cfb439826aca9f87233184d5f40ec9ccfcf8a257d0,31-301-CAS-10130249,CRX1:d548b2abb2842350d6f95ca42aaa077d537c539c86390f2bbde1fef4ad8171e4,Acetal_ketal_formation,77,Acetal ketal formation,REF1:215affde2cce5be238038c5becaa9b5d063e47fdac053430f39f6f184e1734f5,bibliographic_text,review,missing_verified_reaction_signature,review,resolved_complete,usable,review_only,CCO.O=Cc1ccc(Cl)cc1>>CCOC(OCC)c1ccc(Cl)cc1,CCO.O=Cc1ccc(Cl)cc1>>CCOC(OCC)c1ccc(Cl)cc1,reactant_grammar_only,,0.0,,0.0,(Ar–Cl + R–OH) OR (intramolecular Ar–Cl / Ar–H) →,ambiguous_reactants,ambiguous_reactants,(Ar–Cl + R–OH) OR (intramolecular Ar–Cl / Ar–H) →,"{""clauses"":[],""concise"":""(Ar–Cl + R–OH) OR (intramolecular Ar–Cl / Ar–H) →"",""confidence"":0.0,""contextual_label"":null,""definition_version"":""1.1"",""detailed"":""(Ar–Cl + R–OH) OR (intramolecular Ar–Cl / Ar–H) →"",""event_count"":0,""event_labels"":[],""evidence"":""unresolved"",""family_label"":null,""grammar_id"":null,""grammar_label"":null,""pattern_definition_version"":null,""pattern_id"":null,""product_context_label"":null,""reactant_context_label"":null,""schema_version"":""1.3"",""status"":""ambiguous_reactants"",""structural_label"":null,""style"":""unicode"",""transformation_label"":null,""warnings"":[""SCAFFOLD_CORRESPONDENCE_REQUIRES_ONE_SUBSTRATE""]}",97.0,,,RCR1:957f36afbe93203cdb3ed69f60fd53d87ac123a3dcd63da59e35d2d143e430fd,RCORE1:85b57925b4d184b832f65b4aead41e8d2bc825ea413d66893b115fbf9397b273,,COND1:catalyst=128-08-5|reagent=122-51-0|solvent=75-09-2,RAWCOND1:b6998c53f4613f3486d514f06a4e36c60fd2852adeeaa51e961b771b9b858310,128-08-5,122-51-0,75-09-2,3,0,0,True,,,,,,,,,,,,,"Synlett (1999), (9), 1456-1458"
1.9,OBS1:d7550b0e86f164abcf237f15df6215d9f4b875b318dc958f58d701311736d69f,31-301-CAS-10157993,CRX1:319431f33d5b7fd8c2c5173355150d71f7413bca607abec0a41ec2924e5351f9,Acetal_ketal_formation,80,Acetal ketal formation,REF1:9b1af7bdb99e75aa027d636ca2c325778e4f0956941b36bc286192d998fa9953,bibliographic_text,review,missing_verified_reaction_signature|multistage_conditions_not_structured,review,multistage_ambiguous,usable,review_only,CCO.O=Cc1cccc(Br)c1>>CCOC(OCC)c1cccc(Br)c1,CCO.O=Cc1cccc(Br)c1>>CCOC(OCC)c1cccc(Br)c1,reactant_grammar_only,,0.0,,0.0,(Ar–Br + R–OH) OR (intramolecular Ar–Br / Ar–H) →,ambiguous_reactants,ambiguous_reactants,(Ar–Br + R–OH) OR (intramolecular Ar–Br / Ar–H) →,"{""clauses"":[],""concise"":""(Ar–Br + R–OH) OR (intramolecular Ar–Br / Ar–H) →"",""confidence"":0.0,""contextual_label"":null,""definition_version"":""1.1"",""detailed"":""(Ar–Br + R–OH) OR (intramolecular Ar–Br / Ar–H) →"",""event_count"":0,""event_labels"":[],""evidence"":""unresolved"",""family_label"":null,""grammar_id"":null,""grammar_label"":null,""pattern_definition_version"":null,""pattern_id"":null,""product_context_label"":null,""reactant_context_label"":null,""schema_version"":""1.3"",""status"":""ambiguous_reactants"",""structural_label"":null,""style"":""unicode"",""transformation_label"":null,""warnings"":[""SCAFFOLD_CORRESPONDENCE_REQUIRES_ONE_SUBSTRATE""]}",99.0,,,RCR1:122762e491edafac3dbc87c258ff8ece38da4a87f79230883dea4b248feedc9f,RCORE1:d35a8ab6c47538995aae87d94f34de75da26f2b7ca349ecb935957d554420274,,COND1:catalyst=13450-91-4|reagent=122-51-0+144-55-8|solvent=64-17-5,RAWCOND1:99de8ce0db3223c3af784e6c9c089af72d1e3bfb7863a2076bd15475eb0de24c,13450-91-4,122-51-0|144-55-8,64-17-5,4,0,0,True,,,,,,,,,,,,,"Journal of the Indian Chemical Society (2008), 85(5), 566-568"
