reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-041-CAS-10295810,Knoevenagel condensation,92,,,CN(C)c1ccc(C=O)cc1.BrCc1ccccc1.O=C1CNC(=S)N1>>CN(C)c1ccc(C=C2NC(=S)N(Cc3ccccc3)C2=O)cc1,"Medicinal Chemistry Research (2014), 23(10), 4595-4606","100-39-0, 504-17-6, 587-04-2",1610672-73-5,,"7440-02-0, 25322-68-3, 1437326-26-5",107-21-1,,,,"PEG-stabilized, complex with nickel",,"General/Typical Procedure: General procedure for the synthesis of 3-benzyl-5-arylidene-2-thioxoimidazolidin-4-ones (IIIa-h). In a typical reaction, a mixture of aromatic aldehyde (1.0 equiv.), 2-thiohydantoin (1.0 equiv.), and benzyl bromide (1.0 equiv.) in Ni nanoparticles dispersion in ethylene glycol [2.0 mL of dispersion (0.0235 wt% of Ni)/0.1 g aldehyde] was stirred thoroughly in a 50 mL R. B. flask maintained at 70 °C. The reaction progress was monitored by TLC, using petroleum ether/ethyl acetate (60:40) as eluent. Upon completion, 15 mL of water was added to the reaction mixture, and the solid product was filtered at pump, washed with water, dried, and recrystallized from hot ethanol. The products were identified by spectral data. 3-Benzyl-5-(4-(dimethylamino)benzylidene)-2-thioxoimidazolidin-4-one (IIIh), Orange solid; Yield = 92 %; Time: 60 minutes. m.p. 195-200 °C; IR (KBr, cm-1) υmax = 3435, 3005, 2820, 1692, 1586, 1525, 1433, 1367, 1163; 1H NMR (400 MHz, DMSO-d6) δ: 11.55 (s, 1H, NH), 8.05 (d, J = 8.8 Hz, 2H, Ar-H), 7.50 (d, J = 7.3 Hz, 2H, Ar-H), 7.35-7.31 (m, 2H, Ar-H), 7.27-7.23 (m, 1H, Ar-H), 6.75 (d, J = 8.8 Hz, 2H, Ar-H), 6.67 (s, 1H, CH), 4.53 (s, 2H, CH2), 2.99 (s, 6H, N-CH3); 13C NMR (100 MHz, DMSO-d6) δ: 170.52(C, C═S), 159.27(C, C═O), 151.10(C, C4Ar), 137.42(C, C5NH), 135.24(C, C1Ph), 133.39, 129.03(CH, C2Ar & CH, C6Ar), 128.55(CH, C3Ph & CH, C5Ph), 127.44(CH, C4Ph), 123.21(C, C1Ar), 121.70(CH, C3Ar & C5Ar), 111.71(C, C-Ar), 33.23(CH2, NCPh); Anal. Calcd for C19H19N3OS : C, 67.63; H, 5.68; N, 12.45; S, 9.50 %. Found: C, 67.58; H, 5.63; N, 12.44; S, 9.47 %.",1,1,92,,,,,,,"chemoselective, green chemistry, catalyst prepared and used, reusable catalyst, PEG-stabilized nickel nanoparticles used"
31-041-CAS-10772677,Knoevenagel condensation,89,,,BrCc1ccccc1.CC(C)c1ccc(C=O)cc1.O=C1CC(=O)NC(=S)N1>>CC(C)c1ccc(C=C2C(=O)N(Cc3ccccc3)C(=S)N(Cc3ccccc3)C2=O)cc1,"Medicinal Chemistry Research (2014), 23(10), 4595-4606","5718-83-2, 50890-67-0",2369970-68-1,,"7440-02-0, 25322-68-3, 1437326-26-5",107-21-1,,,,"PEG-stabilized, complex with nickel",,"General/Typical Procedure: General procedure for the synthesis of 1,3-dibenzyl-5-arylidene-2-thioxodihydropyrimidine-4,6(1H,5H)-diones (IVa-i). In a typical reaction, a mixture of aromatic aldehyde (1.0 equiv.), 2-thiobarbituric acid (1.0 equiv.), benzyl bromide (2.0 equiv.), and Ni nanoparticles dispersion in ethylene glycol[2.0 mL of dispersion (0.0235 wt% of Ni)/0.1 g aldehyde] was stirred thoroughly in a 50 mL R. B. flask maintained at 70 °C. The reaction progress was monitored by thin column chromatography (TLC), using petroleum ether/ethyl acetate (60:40)aseluent.Uponcompletion,15 mLofwaterwasadded to the reaction mixture, and the solid product was filtered at pump, washed with water, dried, and recrystallized from hot ethanol. The products were identified by spectral data. 1,3-Dibenzyl-5-(4-isopropylbenzylidene)-2-thioxodihydropyrimidine-4,6(1H,5H)-dione (IVe), Colorless solid; Yield = 89 %; Time: 50 minutes. m.p. 250 °C (d); IR (KBr, cm-1) υmax = 2926, 1624, 1560, 1411, 1295, 1266, 1068; 1H NMR (400 MHz, DMSO-d6) δ: 7.43 (d, J = 7.3 Hz, 4H, Ar-H), 7.33-7.29 (m, 4H, Ar-H), 7.27-7.23 (m, 2H, Ar-H), 7.07 (d, J = 8.0 Hz, 2H, Ar-H), 6.89 (d, J = 7.3 Hz, 2H, Ar-H), 6.02 (s, 1H, CH), 4.39 (s, 4H, CH2), 2.84-2.76 (m, 1H, CH), 1.15 (d, J = 7.3 Hz, 6H, CH3); 13C NMR (100 MHz, DMSO-d6) δ: 166.53(C, C═S), 158.78(C, C═O), 145.41(CH, C-CAr), 137.42(C 1, CAr), 137.09(C1, CPh), 129.15(CH, C3Ph & CH, C5Ph), 128.55(CH, C2Ph & CH,C6Ph), 127.41(CH, C4Ph), 126.38(CH, CAr), 125.97(CH, CAr), 99.81(C, C═CAr), 33.43(CH2, NCPh), 32.93(CH2, NCPh), 31.59(CH, CH(Me)2), 23.96(CH3, CH(Me)2); MS (ESI) m/z calcd. = 454.17, found: 455.19 [M+ + H]; Anal. Calcd for C28H26N2O2S : C, 73.98; H, 5.76; N, 6.16; S, 7.05 %. Found: C, 73.92; H, 5.73; N, 6.12; S, 6.99 %.",1,1,89,,,,,,,"chemoselective, green chemistry, catalyst prepared and used, reusable catalyst, PEG-stabilized nickel nanoparticles used"
31-041-CAS-10943593,Knoevenagel condensation,87,,,O=Cc1ccc2ccccc2c1.BrCc1ccccc1.O=C1CC(=O)NC(=S)N1>>O=C1C(=Cc2ccc3ccccc3c2)C(=O)N(Cc2ccccc2)C(=S)N1Cc1ccccc1,"Medicinal Chemistry Research (2014), 23(10), 4595-4606","104-87-0, 720671-10-3",2010965-72-5,,"7440-02-0, 25322-68-3, 1437326-26-5",107-21-1,,,,"PEG-stabilized, complex with nickel",,"General/Typical Procedure: General procedure for the synthesis of 1,3-dibenzyl-5-arylidene-2-thioxodihydropyrimidine-4,6(1H,5H)-diones (IVa-i). In a typical reaction, a mixture of aromatic aldehyde (1.0 equiv.), 2-thiobarbituric acid (1.0 equiv.), benzyl bromide (2.0 equiv.), and Ni nanoparticles dispersion in ethylene glycol[2.0 mL of dispersion (0.0235 wt% of Ni)/0.1 g aldehyde] was stirred thoroughly in a 50 mL R. B. flask maintained at 70 °C. The reaction progress was monitored by thin column chromatography (TLC), using petroleum ether/ethyl acetate (60:40)aseluent.Uponcompletion,15 mLofwaterwasadded to the reaction mixture, and the solid product was filtered at pump, washed with water, dried, and recrystallized from hot ethanol. The products were identified by spectral data. 1,3-Dibenzyl-5-(naphthalen-2-ylmethylene)-2-thioxodihydropyrimidine-4,6(1H,5H)-dione (IVh), Colorless solid; Yield = 87 %; Time: 60 minutes. m.p. 205-207 °C; IR (KBr, cm-1) υmax = 2924, 2854, 1618, 1546, 1423, 1295, 1274, 1220; 1H NMR (400 MHz, DMSO-d6) δ: 7.83-7.75 (m, 2H, Ar-H), 7.46-7.39 (m, 8H, Ar-H), 7.32 (t, J = 7.3 Hz, 4H, Ar-H), 7.28-7.24 (m, 2H, Ar-H), 7.18 (d, J = 8.8 Hz, 1H, Ar-H), 6.21 (s, 1H, CH), 4.42 (s, 4H, CH2); 13C NMR (100 MHz, DMSO-d6) δ: 166.60(C, C═S), 158.93(C, C═O) 137.96(CH, C-CAr), 137.09(C, C1Ph), 133.02(C, CNp), 131.57(C, CNp), 129.17(CH, C3Ph & C5Ph), 128.56(CH, C2Ph & C6Ph), 127.55(C, CNp), 127.42(CH, C4Ph), 127.25(C, CNp), 125.85(C, CNp), 125.20(C, CNp), 124.17(C, CNp), 99.69(C, C═CAr), 33.46(CH2, NCPh), 32.40(CH2, NCPh); MS (ESI) m/z calcd. = 462.14, found: 463.13 [M+ + H]; Anal. Calcd for C29H22N2O2S : C, 75.30; H, 4.79; N, 6.06; S, 6.93 %. Found: C, 75.27; H, 4.71; N, 6.02; S, 6.90 %.",1,1,87,,,,,,,"chemoselective, green chemistry, catalyst prepared and used, reusable catalyst, PEG-stabilized nickel nanoparticles used"
31-041-CAS-12462084,Knoevenagel condensation,93,,,BrCc1ccccc1.O=C1CNC(=S)N1.N#Cc1cccc(C=O)c1>>N#Cc1cccc(C=C2NC(=S)N(Cc3ccccc3)C2=O)c1,"Medicinal Chemistry Research (2014), 23(10), 4595-4606","109-77-3, 33320-27-3",55843-61-3,,"7440-02-0, 25322-68-3, 1437326-26-5",107-21-1,,,,"PEG-stabilized, complex with nickel",,"General/Typical Procedure: General procedure for the synthesis of 3-benzyl-5-arylidene-2-thioxoimidazolidin-4-ones (IIIa-h). In a typical reaction, a mixture of aromatic aldehyde (1.0 equiv.), 2-thiohydantoin (1.0 equiv.), and benzyl bromide (1.0 equiv.) in Ni nanoparticles dispersion in ethylene glycol [2.0 mL of dispersion (0.0235 wt% of Ni)/0.1 g aldehyde] was stirred thoroughly in a 50 mL R. B. flask maintained at 70 °C. The reaction progress was monitored by TLC, using petroleum ether/ethyl acetate (60:40) as eluent. Upon completion, 15 mL of water was added to the reaction mixture, and the solid product was filtered at pump, washed with water, dried, and recrystallized from hot ethanol. The products were identified by spectral data. 3-((1-Benzyl-5-oxo-2-thioxoimidazolidin-4-ylidene)methyl)benzonitrile (IIIg), Yellow solid; Yield = 93 %; Time: 30 minutes. m.p. 203-205 °C; IR (KBr, cm-1) υmax = 3433, 3126, 2925, 2233, 1717, 1639, 1500, 1187; 1H NMR (400 MHz, DMSO-d6) δ: 11.96 (s, 1H, NH), 8.65 (s, 1H, Ar-H), 8.44-8.42 (m, 1H, Ar-H), 7.81-7.89 (m, 1H, Ar-H), 7.65-7.61 (m, 1H, Ar-H), 7.53-7.51 (m, 2H, Ar-H), 7.36-7.33 (m, 2H, Ar-H), 7.27-7.24 (m, 1H, Ar-H), 6.76 (s, 1H, CH), 4.55 (s, 2H, CH2); 13C NMR (100 MHz, DMSO-d6) δ: 170.16(C, C═S), 166.07(C, C═O), 140.64(C, C1NH), 137.10(C, C1Ph), 135.58(C, C1Ar), 135.50(CH, C4Ar), 134.22(CH, C6Ar), 132.30(CH, C2Ar), 129.85(CH, C5Ar), 128.98(CH, C3Ar & CH, C5Ar), 128.52(CH, C2Ph & CH, C6Ph), 127.47(CH, C4Ph), 118.58(C, C:N), 118.00(CH, C-Ar), 111.81(C, C3Ar), 33.53(CH2, NCPh,); MS (ESI) m/z calcd. = 319.08, found: 320.08 [M+ + H]; Anal. Calcd for C18H13N3OS : C, 67.69; H, 4.10; N, 13.16; S, 10.04 %. Found: C, 67.62; H, 4.07; N, 13.10; S, 9.98 %.",1,1,93,,,,,,,"chemoselective, green chemistry, catalyst prepared and used, reusable catalyst, PEG-stabilized nickel nanoparticles used"
31-041-CAS-13189428,Knoevenagel condensation,91,,,BrCc1ccccc1.O=C1CC(=O)NC(=S)N1.Cc1ccccc1C=O>>Cc1ccccc1C=C1C(=O)N(Cc2ccccc2)C(=S)N(Cc2ccccc2)C1=O,"Medicinal Chemistry Research (2014), 23(10), 4595-4606","4521-33-9, 56278-50-3",496805-08-4,,"7440-02-0, 25322-68-3, 1437326-26-5",107-21-1,,,,"PEG-stabilized, complex with nickel",,"General/Typical Procedure: General procedure for the synthesis of 1,3-dibenzyl-5-arylidene-2-thioxodihydropyrimidine-4,6(1H,5H)-diones (IVa-i). In a typical reaction, a mixture of aromatic aldehyde (1.0 equiv.), 2-thiobarbituric acid (1.0 equiv.), benzyl bromide (2.0 equiv.), and Ni nanoparticles dispersion in ethylene glycol[2.0 mL of dispersion (0.0235 wt% of Ni)/0.1 g aldehyde] was stirred thoroughly in a 50 mL R. B. flask maintained at 70 °C. The reaction progress was monitored by thin column chromatography (TLC), using petroleum ether/ethyl acetate (60:40)aseluent.Uponcompletion,15 mLofwaterwasadded to the reaction mixture, and the solid product was filtered at pump, washed with water, dried, and recrystallized from hot ethanol. The products were identified by spectral data. 1,3-Dibenzyl-5-(2-methylbenzylidene)-2-thioxodihydropyrimidine-4,6(1H,5H)-dione (IVf), Colorless solid; Yield = 91 %; Time: 60 minutes. m.p. 248-250 °C (d); IR (KBr, cm-1) υmax = 2927, 1610, 1549, 1420, 1284, 1237, 1066; 1H NMR (400 MHz, DMSO-d6) δ: 7.42 (d, J = 7.3 Hz, 4H, Ar-H), 7.32-7.23 (m, 6H, Ar-H), 7.03 (s, 4H, Ar-H), 5.86 (s, 1H, CH), 4.37 (s, 4H, CH2), 2.00 (s, 3H, CH3); 13C NMR (100 MHz, DMSO-d6) δ: 166.43(C, C═S), 166.02(C, C═O), 139.47(CH, C-CAr), 137.14(C1, CPh), 135.50(C1, CAr), 130.16(C, CAr), 129.12(CH, C3Ph & CH, C5Ph), 128.51(CH, C2Ph & CH, C6Ph), 127.78(CH, CAr), 127.38(CH, C4Ph), 125.65(CH, CAr), 125.17(CH, CAr), 99.52(C, C═CAr), 33.40(CH2, NCPh), 31.55, 19.01(CH3, C(Me)); MS (ESI) m/z calcd. = 426.14, found: 427.16 [M+ + H]; Anal. Calcd for C26H22N2O2S : C, 73.21; H, 5.20; N, 6.57; S, 7.52 %. Found: C, 73.16; H, 5.13; N, 6.49; S, 7.47 %.",1,1,91,,,,,,,"chemoselective, green chemistry, catalyst prepared and used, reusable catalyst, PEG-stabilized nickel nanoparticles used"
31-041-CAS-14383651,Knoevenagel condensation,90,,,BrCc1ccccc1.O=Cc1ccc(F)cc1.O=C1CNC(=S)N1>>O=C1C(=Cc2ccc(F)cc2)NC(=S)N1Cc1ccccc1,"Medicinal Chemistry Research (2014), 23(10), 4595-4606","504-17-6, 1318186-13-8",1318186-40-1,,"7440-02-0, 25322-68-3, 1437326-26-5",107-21-1,,,,"PEG-stabilized, complex with nickel",,"General/Typical Procedure: General procedure for the synthesis of 3-benzyl-5-arylidene-2-thioxoimidazolidin-4-ones (IIIa-h). In a typical reaction, a mixture of aromatic aldehyde (1.0 equiv.), 2-thiohydantoin (1.0 equiv.), and benzyl bromide (1.0 equiv.) in Ni nanoparticles dispersion in ethylene glycol [2.0 mL of dispersion (0.0235 wt% of Ni)/0.1 g aldehyde] was stirred thoroughly in a 50 mL R. B. flask maintained at 70 °C. The reaction progress was monitored by TLC, using petroleum ether/ethyl acetate (60:40) as eluent. Upon completion, 15 mL of water was added to the reaction mixture, and the solid product was filtered at pump, washed with water, dried, and recrystallized from hot ethanol. The products were identified by spectral data. 3-Benzyl-5-(4-fluorobenzylidene)-2-thioxoimidazolidin-4-one (IIId), Pale yellow solid; Yield = 90 %; Time: 45 minutes. m.p. 195-197 °C; IR (KBr, cm-1) υmax = 3448, 3064, 2803, 1716, 1596, 1508, 1224, 1172; 1H NMR (400 MHz, DMSO-d6) δ: 11.83 (s, 1H, NH), 8.28-8.24 (m, 2H, Ar-H), 7.50 (d, J = 8.0 Hz, 2H, Ar-H), 7.35-7.23 (m, 5H, Ar-H), 6.76 (s, 1H, CH), 4.55 (s, 2H, CH2); 13C NMR (100 MHz, DMSO-d6) δ: 170.47(C, C═S), 164.14(C, C═O), 163.84(CF, C4Ar), 161.36(CF, C4Ar), 138.84(C, C5, CNH), 137.09(C, C1Ph), 133.78(CH, C2Ar), 133.71(CH, C6Ar), 130.94(C, C1Ar), 129.04, 128.55, 127.49, 119.87(CH, C-Ar), 115.85(CH, C5Ar), 115.63(CH, C3Ar), 33.43(CH2, NCPh); MS (ESI) m/z calcd. = 312.07, found: 313.08 [M+ + H]; Anal. Calcd for C17H13FN2OS : C, 65.37; H, 4.19; F, 6.08; N, 8.97; S, 10.27 %. Found: C, 65.29; H, 4.13; F, 6.02; N, 8.92; S, 10.24 %.",1,1,90,,,,,,,"chemoselective, green chemistry, catalyst prepared and used, reusable catalyst, PEG-stabilized nickel nanoparticles used"
31-041-CAS-1682240,Knoevenagel condensation,90,,,O=C1CSC(=O)N1.O=Cc1ccc2ccccc2n1.CCCCBr>>CCCCN1C(=O)SC(=Cc2ccc3ccccc3n2)C1=O,"Indian Journal of Chemistry, Section B: Organic Chemistry Including Medicinal Chemistry (2012), 51B(9), 1396-1399","67-52-7, 1318186-12-7",1318186-27-4,,,25322-68-3,,,,,,,2,1,90,,,,,,,"green chemistry-solvent, alternative preparation shown, Knoevenagel condensation (stage 1)"
31-041-CAS-2308404,Knoevenagel condensation,88,,,BrCc1ccccc1.O=Cc1ccc(F)cc1.O=C1CC(=O)NC(=S)N1>>O=C1C(=Cc2ccc(F)cc2)C(=O)N(Cc2ccccc2)C(=S)N1Cc1ccccc1,"Medicinal Chemistry Research (2014), 23(10), 4595-4606","86-81-7, 1563931-94-1",1563937-83-6,,"7440-02-0, 25322-68-3, 1437326-26-5",107-21-1,,,,"PEG-stabilized, complex with nickel",,"General/Typical Procedure: General procedure for the synthesis of 1,3-dibenzyl-5-arylidene-2-thioxodihydropyrimidine-4,6(1H,5H)-diones (IVa-i). In a typical reaction, a mixture of aromatic aldehyde (1.0 equiv.), 2-thiobarbituric acid (1.0 equiv.), benzyl bromide (2.0 equiv.), and Ni nanoparticles dispersion in ethylene glycol[2.0 mL of dispersion (0.0235 wt% of Ni)/0.1 g aldehyde] was stirred thoroughly in a 50 mL R. B. flask maintained at 70 °C. The reaction progress was monitored by thin column chromatography (TLC), using petroleum ether/ethyl acetate (60:40)aseluent.Uponcompletion,15 mLofwaterwasadded to the reaction mixture, and the solid product was filtered at pump, washed with water, dried, and recrystallized from hot ethanol. The products were identified by spectral data. 1,3-Dibenzyl-5-(4-fluorobenzylidene)-2-thioxodihydropyrimidine-4,6(1H,5H)-dione (IVb), Colorless solid; Yield = 88 %; Time: 75 minutes. m.p. 255-257 °C (d); IR (KBr, cm-1) υmax = 3027, 2926, 2853, 1623, 1552, 1507, 1407, 1296, 1227, 1065; 1H NMR (400 MHz, DMSO-d6) δ: 7.32 (d, J = 7.3 Hz, 4H, Ar-H), 7.31 (t, J = 7.3 Hz, 4H, Ar-H), 7.27-7.23 (m, 2H, Ar-H), 7.05-7.00 (m, 4H, Ar-H), 6.02 (s, 1H, CH), 4.39 (s, 4H, CH2); 13C NMR (100 MHz, DMSO-d6) δ: 166.36(C, C═S), 161.64(C-F, CAr) 159.24(C, C═O), 137.07(C, C1Ph), 136.18(CH, C═CAr), 129.15(CH, C3Ph & CH, C5Ph), 128.54(CH, C2Ph & CH, C6Ph), 128.34(CH, CAr), 128.26(CH, CAr), 127.40(CH, C4Ph), 114.76(CH, CAr), 114.55(CH, CAr), 99.62(C, C═CAr), 33.41(CH2, NCPh), 31.50(CH2, NCPh); MS (ESI) m/z calcd. = 430.12, found: 431.14 [M+ + H]; Anal. Calcd for C25H19FN2O2S : C, 69.75; H, 4.45; F, 4.41; N, 6.51; S, 7.45 %. Found: C, 69.70; H, 4.39; F, 4.38; N, 6.44; S, 7.42 %.",1,1,88,,,,,,,"chemoselective, green chemistry, catalyst prepared and used, reusable catalyst, PEG-stabilized nickel nanoparticles used"
31-041-CAS-2433216,Knoevenagel condensation,90,,,BrCc1ccccc1.O=C1CC(=O)NC(=S)N1.O=Cc1ccccc1[N+](=O)[O-]>>O=C1C(=Cc2ccccc2[N+](=O)[O-])C(=O)N(Cc2ccccc2)C(=S)N1Cc1ccccc1,"Medicinal Chemistry Research (2014), 23(10), 4595-4606","67-52-7, 1318186-23-0",1318186-35-4,,"7440-02-0, 25322-68-3, 1437326-26-5",107-21-1,,,,"PEG-stabilized, complex with nickel",,"General/Typical Procedure: General procedure for the synthesis of 1,3-dibenzyl-5-arylidene-2-thioxodihydropyrimidine-4,6(1H,5H)-diones (IVa-i). In a typical reaction, a mixture of aromatic aldehyde (1.0 equiv.), 2-thiobarbituric acid (1.0 equiv.), benzyl bromide (2.0 equiv.), and Ni nanoparticles dispersion in ethylene glycol[2.0 mL of dispersion (0.0235 wt% of Ni)/0.1 g aldehyde] was stirred thoroughly in a 50 mL R. B. flask maintained at 70 °C. The reaction progress was monitored by thin column chromatography (TLC), using petroleum ether/ethyl acetate (60:40)aseluent.Uponcompletion,15 mLofwaterwasadded to the reaction mixture, and the solid product was filtered at pump, washed with water, dried, and recrystallized from hot ethanol. The products were identified by spectral data. 1,3-Dibenzyl-5-(2-nitrobenzylidene)-2-thioxodihydropyrimidine-4,6(1H,5H)-dione (IVg), Colorless solid; Yield = 90 %; Time: 45 minutes. m.p. 220-224 °C; IR (KBr, cm-1) υmax = 3061, 1653, 1545, 1395, 1363, 1286, 1240, 1063; 1H NMR (400 MHz, DMSO-d6) δ: 7.67 (d, J = 6.6 Hz, 1H, Ar-H), 7.53-7.49 (m, 1H, Ar-H), 7.42 (d, J = 7.3 Hz, 4H, Ar-H), 7.39-7.35 (m, 1H, Ar-H), 7.31 (t, J = 7.3 Hz, 4H, Ar-H), 7.26-7.22 (m, 3H, Ar-H), 6.21 (s, 1H, CH), 4.36 (s, 4H, CH2); 13C NMR (100 MHz, DMSO-d6) δ: 206.48(C, C═S), 165.47(C, C═O), 149.50(CH, C-CAr), 137.20(C-NO2, C2Ar), 135.08(C1, CPh), 131.88, 129.81(CH, C3Ph & CH, C5Ph), 129.14(CH, C2Ph & CH, C6Ph), 128.53(CH, CAr), 127.38(CH, C4Ph), 126.97(CH, CAr), 123.77(CH, CAr), 98.03(C, C═CAr), 33.35(CH2, NCPh), 30.70(CH2, NCPh); MS (ESI) m/z calcd. = 457.11, found: 458.12 [M+ + H]; Anal. Calcd for C25H19N3O4S : C, 65.63; H, 4.19; N, 9.18; S, 7.01 %. Found: C, 65.59; H, 4.16; N, 9.11; S, 6.97 %.",1,1,90,,,,,,,"chemoselective, green chemistry, catalyst prepared and used, reusable catalyst, PEG-stabilized nickel nanoparticles used"
31-041-CAS-3937545,Knoevenagel condensation,94,,,BrCc1ccccc1.N#Cc1ccc(C=O)cc1.O=C1CNC(=S)N1>>N#Cc1ccc(C=C2NC(=S)N(Cc3ccccc3)C2=O)cc1,"Medicinal Chemistry Research (2014), 23(10), 4595-4606","108-26-9, 487-89-8",1347738-26-4,,"7440-02-0, 25322-68-3, 1437326-26-5",107-21-1,,,,"PEG-stabilized, complex with nickel",,"General/Typical Procedure: General procedure for the synthesis of 3-benzyl-5-arylidene-2-thioxoimidazolidin-4-ones (IIIa-h). In a typical reaction, a mixture of aromatic aldehyde (1.0 equiv.), 2-thiohydantoin (1.0 equiv.), and benzyl bromide (1.0 equiv.) in Ni nanoparticles dispersion in ethylene glycol [2.0 mL of dispersion (0.0235 wt% of Ni)/0.1 g aldehyde] was stirred thoroughly in a 50 mL R. B. flask maintained at 70 °C. The reaction progress was monitored by TLC, using petroleum ether/ethyl acetate (60:40) as eluent. Upon completion, 15 mL of water was added to the reaction mixture, and the solid product was filtered at pump, washed with water, dried, and recrystallized from hot ethanol. The products were identified by spectral data. 4-((1-Benzyl-5-oxo-2-thioxoimidazolidin-4-ylidene)methyl)benzonitrile (IIIf), Yellow solid; Yield = 94 %; Time: 30 minutes. m.p. 230-232 °C; IR (KBr, cm-1) υmax = 3447, 3128, 2222, 1717, 1632, 1501, 1406, 1182; 1H NMR (400 MHz, DMSO-d6) δ: 11.99 (s, 1H, NH), 8.33 (d, J = 8.0 Hz, 2H, Ar-H), 7.86 (d, J = 8.0 Hz, 2H, Ar-H), 7.50 (d, J = 7.2 Hz, 2H, Ar-H), 7.36-7.32 (m, 2H, Ar-H), 7.27-7.26 (m, 1H, Ar-H), 6.77 (s, 1H, CH), 4.56 (s, 2H, CH2); 13C NMR (100 MHz, DMSO-d6) δ: 170.24(C, C═S), 166.64(C,C═O),141.31(C,C1Ar), 138.87(C,C1Ar),136.93(C, C1Ph), 132.44, 132.33, 131.66, 129.83, 129.08, 128.60, 127.55, 118.89, 118.23, 110.93, 105.81, 33.59(CH2, NCPh); MS (ESI) m/z calcd. = 319.08, found: 320.08 [M+ + H]; Anal. Calcd for C18H13N3OS : C, 67.69; H, 4.10; N, 13.16; S, 10.04 %. Found: C, 67.64; H, 4.04; N, 13.11; S, 10.00 %.",1,1,94,,,,,,,"chemoselective, green chemistry, catalyst prepared and used, reusable catalyst, PEG-stabilized nickel nanoparticles used"
31-041-CAS-425803,Knoevenagel condensation,90,,,O=Cc1cccc([N+](=O)[O-])c1.BrCc1ccccc1.O=C1CC(=O)NC(=S)N1>>O=C1C(=Cc2cccc([N+](=O)[O-])c2)C(=O)N(Cc2ccccc2)C(=S)N1Cc1ccccc1,"Medicinal Chemistry Research (2014), 23(10), 4595-4606","1620-98-0, 90564-48-0",664979-31-1,,"7440-02-0, 25322-68-3, 1437326-26-5",107-21-1,,,,"PEG-stabilized, complex with nickel",,"General/Typical Procedure: General procedure for the synthesis of 1,3-dibenzyl-5-arylidene-2-thioxodihydropyrimidine-4,6(1H,5H)-diones (IVa-i). In a typical reaction, a mixture of aromatic aldehyde (1.0 equiv.), 2-thiobarbituric acid (1.0 equiv.), benzyl bromide (2.0 equiv.), and Ni nanoparticles dispersion in ethylene glycol[2.0 mL of dispersion (0.0235 wt% of Ni)/0.1 g aldehyde] was stirred thoroughly in a 50 mL R. B. flask maintained at 70 °C. The reaction progress was monitored by thin column chromatography (TLC), using petroleum ether/ethyl acetate (60:40)aseluent.Uponcompletion,15 mLofwaterwasadded to the reaction mixture, and the solid product was filtered at pump, washed with water, dried, and recrystallized from hot ethanol. The products were identified by spectral data. 1,3-Dibenzyl-5-(3-nitrobenzylidene)-2-thioxodihydropyrimidine-4,6(1H,5H)-dione (IVc), Colorless solid; Yield = 90 %; Time: 40 minutes. m.p. 225-227 °C; IR (KBr, cm-1) υmax = 2924, 1624, 1560, 1420, 1350, 1300, 1094; 1H NMR (400 MHz, DMSO-d6) δ: 8.03 (d, J = 7.3 Hz, 1H, Ar-H), 7.77 (s, 1H, Ar-H), 7.55-7.49 (m, 2H, Ar-H), 7.44 (d, J = 6.6 Hz, 4H, Ar-H), 7.33-7.23 (m, 6H, Ar-H), 6.07 (s, 1H, CH), 4.40 (s, 4H, CH2); 13C NMR (100 MHz, DMSO-d6) δ: 166.24(C, C═S), 166.03, 147.81(C-NO2, C4Ar), 143.39(CH, C-CAr), 137.06(CH, C═CAr), 133.93(C1, CAr), 129.61(CH, C3Ph & CH, C5Ph), 129.18(CH, C2Ph & CH, C6Ph), 128.57(CH, CAr), 127.44(CH, CAr), 121.08(CH, CAr), 120.88(CH, CAr), 98.76(C, C═CAr), 33.46(CH2, NCPh), 30.71; MS (ESI) m/z calcd. = 457.11, found: 458.14 [M+ + H]; Anal. Calcd for C25H19N3O4S : C, 65.63; H, 4.19; N, 9.18; S, 7.01 %. Found: C, 65.57; H, 4.12; N, 9.15; S, 6.97 %.",1,1,90,,,,,,,"chemoselective, green chemistry, catalyst prepared and used, reusable catalyst, PEG-stabilized nickel nanoparticles used"
