reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes,predicted_reaction_type,predicted_reaction_confidence,predicted_reaction_key,predicted_reaction_key_quality_level,predicted_reaction_key_quality_score,predicted_mapping_warning,prediction_error
31-006-CAS-5377604,Reductive_amination,85,,,O=Cc1cccnc1.CC1(C)O[C@H]2[C@@H](O1)[C@@H](N)C[C@H]1OC(C)(C)O[C@H]21>>O[C@@H]1[C@@H](O)[C@H](O)C[C@H](NCc2cccnc2)[C@@H]1O,"Bioorganic & Medicinal Chemistry Letters (2015), 25(12), 2570-2573","1445-73-4, 1093070-16-6",2817810-35-6,"64-19-7, 25895-60-7, 7732-18-5, 76-05-1, 11119-67-8",,"67-56-1, 7732-18-5",,,,,,,4,1,85,,,,,,,,Reductive_amination,0.0,|Ar-CHO|R2CH-NH2|R3C-OR -> Bn-NHR|R2CH-NHR | spectators: HeteroAr-H|Pyridine,high,0.85,1,
31-022-CAS-5649968,Reductive_amination,22,,,O=Cc1ccc(O)c(C(=O)O)c1.CO.CNC.O=S(=O)(OS(=O)(=O)C(F)(F)F)C(F)(F)F>>COC(=O)c1cc(CN(C)C)ccc1OS(=O)(=O)C(F)(F)F,"Journal of Medicinal Chemistry (2014), 57(3), 955-969","74-89-5, 1007-32-5",84952-60-3,"100-39-0, 298-14-6, 25895-60-7, 110-86-1",,"68-12-2, 67-56-1, 75-09-2",,,,,,"Methyl 5-((Dimethylamino)methyl)-2-(trifluoromethylsulfonyloxy) benzoate (IV-3). 2-Hydroxy-5-formylbenzoic acid (IV-1) (2.0 g, 12 mmol) was dissolved in 30 mL of DMF. Potassium bicarbonate (1.3 g, 13 mmol) was added, followed by benzyl bromide (1.6 mL, 13 mmol). The mixture was stirred at room temperature for 12 h. The reaction mixture was poured into water and extracted with EtOAc. The combined extract was washed with brine, dried over Na2SO4, concentrated to a light brown oil. This oil was dissolved in 10 mL of MeOH, and dimethylamine (25 mL, 2.0 N in MeOH) was added. The mixture was stirred at room temperature for 30 min, and the sodium cyanoborohydride (1.3 g, 20 mmol) was added. The mixture was stirred at room temperature for 12 h. It was diluted with water and extracted with EtOAc. The combined extract was washed with brine, dried over Na2SO4, concentrated to light brown oil. This material was dissolved in CH2Cl2 (100 mL) and cooled at 0 °C. Pyridine (4.0 g, 50 mmol) was added, followed by triflic anhydride (2.5 mL, 15 mmol). The reaction mixture was stirred at 0 °C for 30 min and then poured into water. The mixture was extracted with EtOAc. The combined extract was washed with brine, dried over Na2SO4, concentrated, and purified by flash chromatography (silica, 1:1 EtOAc/hexane). 0.88 g of brown oil (22%). MS: 342.2 (M + 1)+.",4,1,22,,,,,,,alternative preparation shown,Alkyl_Nucleophilic_Substitution,0.0,|Alkyl-F|Ar-CHO|Ar-CO2H|Ar-OH|CH3-NHR|CH3-OH -> Bn-NR2|CH3-NR2 | events: Amid+C-N,medium,0.55,1,
31-031-CAS-12002744,Reductive_amination,41,,,NC1CCCCC1.CC(C)(C)OC(=O)N1CC(C=O)C1.Fc1ccccc1CCl>>Fc1ccccc1CN(CC1CNC1)C1CCCCC1,"ACS Medicinal Chemistry Letters (2014), 5(9), 999-1004","108-91-8, 177947-96-5, 611-19-8",1620170-76-4,"16940-66-2, 1310-73-2, 584-08-7, 76-05-1",,"108-88-3, 67-56-1, 7732-18-5, 68-12-2, 75-09-2",,,,,,"General/Typical Procedure: Synthesis of tert-butyl 3-aminoazetidine-1-carboxylate 4 (General Procedure) Method A To a solution of 1-Boc-3-azetidinone 3 in methylene chloride (100 mL) at room temperature under Ar atmosphere was added sequentially aniline (14 mmol), acetic acid (1.4 mmol) and sodium triacetoxyborohydride (42 mmol). The reaction mixture was stirred at the same temperature for 5 h. To the resulting reaction mixture was added 1N aqueous NaOH solution while stirring. This mixture was stirred at room temperature for 0.5 h and then extracted with methylene chloride. The organic extract was dried over anhydrous MgSO4. The solvent was removed by evaporation and the crude product was then purified by flash chromatography on silica gel (n-hexane:ethyl acetate = 1:1) to obtain 4 (R1=phenyl or substitutied phenyl group) (soild, 49~95% yields). Synthesis of the azetidine derivatives 7 (series A) (General Procedure) path A (n=1) To a solution of 4 (1.0 mmol) in DMF (6.0 mL) at room temperature was added alkyl or benzyl halide 5 (1.5 mol) and K2CO3 (3.0 mol). The mixture was refluxed for 6 h and the reaction mixture was then cooled to room temperature. The solvent was removed by evaporation and the residue was dissolved in ethyl acetate, washed with water, and then dried over MgSO4. The solvent was removed by evaporation and the crude product was then purified by flash chromatography on silica gel (n-hexane:ethyl acetate = 4:1) to obtain 7 (n=1) (oil, 41~99% yields). Synthesis of the azetidine derivatives 8 (series A) (General Procedure) - Use of trifluoroacetic acid To a solution of 7 (0.5 mmol) dissolved in methylene chloride (10 mL) at room temperature was added trifluoroacetic acid (6.5 mmol). The reaction mixture was stirred for 10 h. To the resulting reaction mixture was added 1N aqueous NaOH solution (1.0 mL) while stirring. This mixture was stirred at room temperature for 0.5 h and then extracted with methylene chloride. The organic extract was dried over anhydrous MgSO4. The solvent was removed by evaporation and the crude product was then purified by flash chromatography on silica gel (methylene chloride:methanol = 4:1) to obtain the 3-aminoazetidines 8, series A (26~96% yields). N-(azetidin-3-y)-N-(2-fluorobenzyl)cyclohexanamine (10db) Yield 41%; oil. 1H NMR (400MHz, CDCl3) δ 1.08-1.82 (m, 10H, cyclohexyl H), 2.41 (m, 1H, cyclohexyl C1H), 2.71-2.80 (m, 3H, CH, CHCH2), 3.30 (m, 2H, azetidine H), 3.60-3.70 (m, 4H, azetidine H, NCH2), 6.97-7.46 (m, 4H, ArH); The 13C NMR data could not be obtained due to lack of the sample.",6,1,41,,,,,,,Dean-Stark water trap used (stage 1),Reductive_amination,0.0,|Bn-Cl|R2CH-CHO|R2CH-NH2|R_acidic-H -> Bn-NR2|R2CH-NR2|RCH2-NHR|RCH2-NR2 | spectators: Ar-F | events: LGDisp+C-N,high,0.85,1,
31-031-CAS-6324431,Reductive_amination,67,,,Nc1ccccc1.CC(C)(C)OC(=O)N1CC(C=O)C1.Fc1c(F)c(F)c(CBr)c(F)c1F.O=C(O)C(F)(F)F>>Fc1c(F)c(F)c(CN(CC2CNC2)c2ccccc2)c(F)c1F.O=C(O)C(F)(F)F,"ACS Medicinal Chemistry Letters (2014), 5(9), 999-1004","5680-79-5, 143140-36-7",501380-88-7,"56553-60-7, 1310-73-2, 584-08-7",64-19-7,"75-09-2, 7732-18-5, 68-12-2",,,,,,"General/Typical Procedure: Synthesis of tert-butyl 3-aminoazetidine-1-carboxylate 4 (General Procedure) Method A To a solution of 1-Boc-3-azetidinone 3 in methylene chloride (100 mL) at room temperature under Ar atmosphere was added sequentially aniline (14 mmol), acetic acid (1.4 mmol) and sodium triacetoxyborohydride (42 mmol). The reaction mixture was stirred at the same temperature for 5 h. To the resulting reaction mixture was added 1N aqueous NaOH solution while stirring. This mixture was stirred at room temperature for 0.5 h and then extracted with methylene chloride. The organic extract was dried over anhydrous MgSO4. The solvent was removed by evaporation and the crude product was then purified by flash chromatography on silica gel (n-hexane:ethyl acetate = 1:1) to obtain 4 (R1=phenyl or substitutied phenyl group) (soild, 49~95% yields). Synthesis of the azetidine derivatives 7 (series A) (General Procedure) path A (n=1) To a solution of 4 (1.0 mmol) in DMF (6.0 mL) at room temperature was added alkyl or benzyl halide 5 (1.5 mol) and K2CO3 (3.0 mol). The mixture was refluxed for 6 h and the reaction mixture was then cooled to room temperature. The solvent was removed by evaporation and the residue was dissolved in ethyl acetate, washed with water, and then dried over MgSO4. The solvent was removed by evaporation and the crude product was then purified by flash chromatography on silica gel (n-hexane:ethyl acetate = 4:1) to obtain 7 (n=1) (oil, 41~99% yields). Synthesis of the azetidine derivatives 8 (series A) (General Procedure) - Use of trifluoroacetic acid To a solution of 7 (0.5 mmol) dissolved in methylene chloride (10 mL) at room temperature was added trifluoroacetic acid (6.5 mmol). The reaction mixture was stirred for 10 h. To the resulting reaction mixture was added 1N aqueous NaOH solution (1.0 mL) while stirring. This mixture was stirred at room temperature for 0.5 h and then extracted with methylene chloride. The organic extract was dried over anhydrous MgSO4. The solvent was removed by evaporation and the crude product was then purified by flash chromatography on silica gel (methylene chloride:methanol = 4:1) to obtain the 3-aminoazetidines 8, series A (26~96% yields). N-(azetidin-3-y)-N-((perfluorophenyl)methyl)aniline 2,2,2-trifluoroacetate (10cr) Yield 67%; oil. 1H NMR (400MHz, CDCl3) δ 3.16 (m, 1H, CH), 3.57 (d, 2H, J = 7.6Hz, CHCH2), 3.72 (m, 2H, azetidine H), 4.01 (m, 2H, azetidine H), 4.53 (s, 2H, NCH2), 6.87-7.29 (m, 5H, ArH); 13C NMR (100MHz, DMSO-d6) δ 30.25, 45.09, 49.27, 52.70, 112.60, 115.36, 115.79, 119.19, 129.57, 147.72, 158.89",5,1,67,,,,,,,,Alkyl_Nucleophilic_Substitution,0.0,|Ar-NH2|Bn-Br|R2CH-CHO|R_acidic-H -> Ar-NR2|Bn-NR2|RCH2-NHR|RCH2-NR2 | spectators: Alkyl-CO2H|Alkyl-F|Ar-F | events: LGDisp+C-N,high,0.85,1,
31-032-CAS-7632778,Reductive_amination,26,,,OC1CC(OCc2ccccc2)CC1O.NCc1ccccc1.O=C(O)CC(=O)CC(=O)O>>O=C1C[C@@H]2C[C@@H](OCc3ccccc3)C[C@H](C1)N2Cc1ccccc1.O=C1C[C@@H]2C[C@H](OCc3ccccc3)C[C@H](C1)N2Cc1ccccc1,"Journal of Medicinal Chemistry (2013), 56(1), 301-319","929-59-9, 12093-10-6",164297-15-8,"7790-28-5, 7647-01-0, 1310-73-2",,"7732-18-5, 75-05-8",,,,,,"(1R,5S,7r)-9-Benzyl-7-(benzyloxy)-9-azabicyclo[3.3.1]nonan-3-one (11a) and (1R,5S,7s)-9-Benzyl-7-(benzyloxy)-9-azabicyclo[3.3.1]nonan-3-one (11b). To a stirred solution of 4- (benzyloxy)cyclopentane-1,2-diol16 (8.50 g, 40.82 mmol) in H2O (88.0 mL) was added NaIO4 (4.41 mg, 20.4 mmol) at 23 °C. After 18 h, CH3CN (60 mL) was added and stirring was continued for an additional 30 min. The mixture was filtered, and the filtrate was concentrated. Acetonitrile (60 mL) was added. The mixture was filtered and the filtrate was concentrated to provide a clear oil. To the crude oil in H2O (40 mL) were added acetone-1,3-dicarboxylic acid (6.15 g, 40.8 mmol) and concentrated HCl (2.2 mL), followed by dropwise addition of benzylamine (3.6 mL, 33.6 mmol). The mixture was stirred for 1.5 h at 23 °C, then heated at 50 °C for 6 h. After cooling, the mixture was placed in an ice bath and basified to pH >9 using 1 N NaOH. The basic solution was extracted 3× with CH2Cl2 (60 mL). The organic phase was dried over K2CO3, filtered, and the filtrate was concentrated to dryness. The resulting brown viscous oil was purified by silica gel chromatography using 40% EtOAc/heptanes to provide 11a. 11a, semisolid, yield 3.59 g, 10.7 mmol; 11b,yellow solid, 1.198 g, 3.57 mmol, 35%. 11a: 1H NMR (CDCl3, 400 MHz) δ 1.85-1.95 (m, 4H), (m, 2H), 2.31 (d, J = 16.4 Hz, 2H), 2.73 (dd, J = 6.8 Hz, J = 16.6 Hz, 2H), 3.45 (br s, 2H), 3.64-3.75 (m, 1H), 3.92 (s, 2H), 4.47 (s, 2H), 4.69 (d, J = 5.87 Hz), 7.24-7.39 (m, 10 H). 13C NMR (CDCl3, 100 MHz) δ 34.7, 44.9, 53.7, 56.6, 65.6, 70.1, 127.2, 127.9, 128.6, 128.8, 138.7, 139.2, 141.1, 210.3. LCMS: 336.1 (M + 1). 11b: (1.198 g, 3.57 mmol). 1H NMR (CDCl3, 400 MHz) δ 1.80 (d, J = 13.7 Hz, 2H), 1.95-2.05 (m, 2H), 2.37 (d, J = 17.8 Hz, 2H), 2.62 (dd, J = 7.3 Hz, J = 17.6 Hz, 2H), 3.28 (br s, 2H), 3.77 (s, 1H), 3.88 (s, 2H), 4.40 (s, 2H), 7.20- 7.40 (m, 10 H). 13C NMR (CDCl3, 100 MHz) δ 32.2, 42.4, 50.5, 57.0, 69.2, 70.9, 127.4, 127.6, 127.9, 128.5, 128.7, 138.7, 206.5. LCMS: 336.1 (M + 1).",4,1,26,9,,,,,,"stereoselective (stage 2), Mannich reaction (stage 2), intermediate could be isolated (stage 1)",Oxidation_alcohol,0.0,|Bn-NH2|R2CH-OH|RCH2-CO2H -> RCH2-COR | spectators: Bn-OR|RCH2-COR|R_acidic-H | events: Amid+Ann+C-N+C-C,medium,0.55,1,
31-049-CAS-4817722,Reductive_amination,82,,,CCCC=O.c1ccc(COC[C@@H]2NC[C@H](OCc3ccccc3)[C@@H](OCc3ccccc3)[C@@H]2OCc2ccccc2)cc1>>CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@@H]1CO,"Journal of Medicinal Chemistry (2010), 53(2), 689-698","100-52-7, 106-49-0",5459-79-0,"64-19-7, 25895-60-7, 10294-34-5",,"75-05-8, 75-09-2",,,,,,"N-Butyl-L-ido-1-deoxynojirimycin (15). Butyraldehyde (66 μL, 0.73 mmol) and NaCNBH3 (27 mg, 0.44 mmol) were successively added to a solution of 13 (76 mg, 0.145 mmol) in CH3CN/AcOH (1.45 mL, 30/1, v/v). The reaction mixture was stirred for 20 hours after which sat. aq. NaHCO3 (5 mL) was added and the resulting mixture was extracted with Et2O (3×5 mL). The combined organic phases were dried (Na2SO4) and concentrated to provide the crude N-butylated intermediate (Rf = 0.5 in 4:1; PE:EtOAc). The crude intermediate was coevaporated with dichloroethane and dissolved in CH2Cl2 (1.5 mL). The solution was cooled to 0°C and BCl3 (1.74 mL, 1M in CH2Cl2) was added. After stirring for 20 hours at 0°C MeOH (2 mL) was carefully added. The mixture was concentrated and coevaporated with toluene. The residue was purified by flash silica gel chromatography (0→ MeOH in CHCl3 + 1% NH4OH) to produce 15 (26 mg, 0.12 mmol) in 82% yield over two steps as a colorless oil. N-Butyl-L-ido-1-deoxynojirimycin (15), yield 26 mg, 0.12 mmol, 82% Rf = 0.18 (3:1; CHCl3:MeOH + 1% NH4OH). 1H NMR (400 MHz, MeOD) δ 4.06 - 3.96 (m, 3H, CH2-6, H-4), 3.94 (d, J = 7.4, 1H, H-2), 3.83 (s, 1H, H-3), 3.51 (s, 1H, H-5), 3.44 (d, J = 12.8, 1H, H-1a), 3.36 - 3.28 (m, 3H, H-1b, CH2-1'), 1.87 - 1.65 (m, 2H, CH2-2'), 1.48 - 1.38 (m, 2H, CH2-3'), 1.01 (t, J = 7.4, 3H, CH3-4'). 13C NMR (100 MHz,MeOD) δ 69.2, 63.8, 55.0, 21.1 (CH2-3'), 14.1 (CH3-4'). IR νmax(thin film)/ cm-1: 3279, 2963, 2876, 1637, 1653, 1445, 1063, 979.4. [α]20D: +12.2 (c 0.7, CH3OH). HRMS: found 220.1538 [M+H]+, calculated for [C10H21O4N1+H]+ 220.1543.",2,1,82,,,,,,,,Reductive_amination,0.0,|Bn-OR|R2CH-NHR|RCH2-CHO|RCH2-NHR -> R2CH-NR2|RCH2-NR2 | bond_formed: C-N | bond_formed_labeled: C-N | bond_broken: C-O,high,1.0,0,
31-111-CAS-1080792,Reductive_amination,74,,,COc1cccc([C@@H](C)N)c1.O=Cc1ccc(OC(F)(F)F)c(-c2ccc(C(F)(F)F)cc2)c1>>C[C@@H](NCc1ccc(OC(F)(F)F)c(-c2ccc(C(F)(F)F)cc2)c1)c1ccccc1,"Bioorganic & Medicinal Chemistry Letters (2010), 20(18), 5544-5547","852682-75-8, 24424-99-5",852682-87-2,"64-19-7, 56553-60-7",,107-06-2,,,,,,,1,1,74,,,,,,,,Reductive_amination,0.0,|Ar-CHO|Ar-OR|R2CH-NH2 -> Bn-NHR|R2CH-NHR | spectators: Ar-Alkyl|Ar-Ar|Ar-CF3|Ar-OCF3,high,0.85,1,
31-113-CAS-13626160,Reductive_amination,85,,,C1COCCN1.COc1c([N+](=O)[O-])cc(Cl)c2c1CCC(=O)CC2>>COc1c(N)ccc2c1CCC(N1CCOCC1)CC2,"Organic Process Research & Development (2012), 16(1), 148-155","110-91-8, 2973-80-0",1038827-78-9,64-18-6,7440-05-3,67-56-1,,,,,,"1-Methoxy-7-morpholin-4-yl-6,7,8,9-tetrahydro-5H-benzocyclohepten-2-ylamine (6). To a solution of morpholine (12.10 kg, 139 mol, 10.5 equiv) in MeOH (24.8 kg, 5.5 vols) at 15 °C was added formic acid (5.40 kg, 117 mol, 8.8 equiv) over 10 min at <40 °C. This solution was added to a slurry of 20 (3.90 kg physical, 91 wt %, 3.55 kg corrected, 13.2 mol) and 10% Pd/C (4.45 kg, 125 wt %, 50% wet) in methanol (91.2 kg, 11 vols) at 65 °C over 1.5 h. After stirring at 60 °C for 1.5 h and cooling to 25 °C, the batch was filtered through Celite 545 (0.8 kg) which was washed extensively with EtOAc (30 kg). The MeOH in the filtrate was removed by vacuum (73-144 mmHg, 23-29 °C) before adding EtOAc (60.3 kg, 7.5 vols) and sodium bicarbonate solution (8% aqueous, 7.6 gal) and then separating the layers. The aqueous was extracted with 30 kg of EtOAc. The EtOAc phases were combined, dried over Na2SO4 (4 kg), filtered, and then concentrated to dryness in vacuo. The solids were dried under vacuum (50 mmHg, 50 °C) to an LOD of 0.73%, yielding 6 with 97.6 A% and 98.6 wt % purity before purification by chromatography. Yield 3.04 kg, 11.27 mol, 85.4%. 1H NMR (400 MHz, CDCl3) δ 6.71 (d, J= 7.88 Hz, 1H), 6.51 (d, J= 7.96 Hz, 1H), 3.70 (s, 3H), 3.70 (broad s, 2H, [NH2]), 3.69 (dd, J= 4.72, 4.72 Hz, 4H), 3.29 (dd, J= 7.27, 14.08 Hz, 1H), 2.74 (ddd, J= 1.24, 7.55, 14.49 Hz, 1H), 2.63-2.57 (m, 2H), 2.55 (dd, J= 4.64, 4.64 Hz, 4H), 2.30 (dd, J= 11.60, 14.04 Hz, 1H), 2.13-2.04 (m, 2H), 1.42-1.34 (m, 2H).",2,1,85,,,,,,,,Reductive_amination / C_N_Coupling / Snar_cn / Reduction_nitro,0.0,|Ar-Cl|Ar-NO2|RCH2-COR|RCH2-NHR|R_acidic-H -> R2CH-NR2|RCH2-NR2 | spectators: Ar-Alkyl|Ar-OR|RCH2-OR | events: LGDisp+C-N | reaction_types: Reductive_amination+C_N_Coupling+Snar_cn+Reduction_nitro,high,0.85,1,
31-142-CAS-2114994,Reductive_amination,83,,,C1COCCN1.O=Cc1cc(O)ccc1Br>>OB(O)c1ccc(O)cc1CN1CCOCC1,"Journal of Medicinal Chemistry (2014), 57(11), 4661-4676","110-91-8, 1393456-05-7",1374006-96-8,"56553-60-7, 67-56-1, 594-19-4, 5419-55-6, 12125-02-9",,"75-09-2, 109-99-9, 7732-18-5",,,,,,"4-Hydroxy-2-(morpholinomethyl)phenylboronic Acid 16. Morpholine (1.19 mL, 1.1 equiv) was added to a solution of 2-bromo-5-hydroxybenzaldehyde (2.50 g, 1 equiv) in CH2Cl2 (20 mL) and stirred for 20 min. Sodium triacetoxyborohydride (2.90 g, 1.1 equiv) was added and stirred for 2 h. The reaction was quenched with MeOH and stirred for 1 h. The solution was concentrated, dissolved in MeOH, and loaded onto a SCX (50 g) column, flushing with MeOH. Eluting with methanolic ammonia and concentration of the eluent gave 4-bromo-3-(morpholinomethyl)phenol (3.0 g, 89%), which was dissolved in THF (60 mL) and cooled to −78 °C, then 1.7 M t-butyllithium (19.45 mL, 3 equiv) was added dropwise. The reaction mixture was stirred for 10 min then warmed to 0 °C for 15 min. The reaction was then cooled to −78 °C and triisopropyl borate (7.6 mL, 3 equiv) added. The reaction was warmed to rt and stirred for 1 h. Saturated aqueous NH4Cl was added and the reaction stirred at rt for 2 h. The reaction mixture was diluted with EtOAc (200 mL), the phases were separated, and the aqueous was further extracted with EtOAc. The combined organic extracts were washed with saturated brine, dried (MgSO4), and concentrated to give 16. Yield 2.45 g, 83% (over 2 steps). LRMS: m/z 238 [M + H]+.",6,1,83,,,,,,,,Reductive_amination / Miyaura_borylation,0.0,|Ar-Br|Ar-CHO|RCH2-NHR -> Bn-NR2|RCH2-NR2 | spectators: Ar-OH|RCH2-OR | events: LGDisp+C-N | reaction_types: Reductive_amination+Miyaura_borylation,high,0.85,1,
31-170-CAS-7356175,Reductive_amination,63,,,COc1cccc(O)c1.NCCCNc1ccnc2cc(Br)ccc12.O=Cc1cccc2c1OCO2>>COc1cccc(Oc2ccc3c(NCCCNCc4cccc5c4OCO5)ccnc3c2)c1.Cl,"Journal of Medicinal Chemistry (2011), 54(20), 7084-7093","308796-14-7, 927800-50-8, 148-53-8",1337982-30-5,"534-17-8, 16940-66-2, 7732-18-5, 7647-01-0","94-67-7, 7681-65-4","123-91-1, 67-56-1",,,,,,"General/Typical Procedure: Procedure for Parallel Synthesis of Compounds 9{x=1}: Ullmann Coupling. To a mixture of compound 8 (279 mg, 1 mmol) in 1,4-dioxane (6 mL) were added the phenol reagent (4 mmol), cs2CO3 (1.3 g, 4 mmol), 4 Å powder molecular sieves (~280 mg, dried in oven), salicylaldoxime (55 mg, 0.4 mmol) and copper(I) iodide (38 mg, 0.2 mmol). The mixture was heated to reflux and maintained at that temperature for 24 h and then cooled to room temperature. A solution of dichloromethane (10 mL) and methanol (1 mL) was added to the mixture. After filtration the solvents were removed in vacuo. The crude product was purified by flash chromatography (MeOH/TEA in CH2Cl2 = 10%/1% to 40%/4% gradient) to give the corresponding compound 9{x=1}. To a solution of compound 9{x} (0.1 0.2 mmol) in methanol (1 2 mL) was added 1 M aldehyde stock solution in methanol (1 equiv) After the mixture was stirred for 1 h, sodium borohydride (0.5 equiv) was added to the reaction mixture and the resulting mixture stirred for 30 min. The reaction was quenched by addition of water (2 mL). The aqueous portion was extracted with CH2Cl2 and the sample was concentrated in vacuo. The crude product was purified by flash chromotography (1% methanol in CH2Cl2 (12 mL) and 30% methanol in CH2Cl2 (16 mL)). The solvent was removed in vacuo and the product was suspended in 1.25 M HCl in methanol solution (1 mL). The solvent and excess of HCl were evaporated in vacuo to give the corresponding HCl salt.Structure115. Structure3. Yield 62.8%. 1H NMR (DMSO-d6): 13.66 (s, 1H), 9.54 (brs, 1H), 9.41 (brs, 2H), 8.67 (d, J = 9.2 Hz, 1H), 8.49 (t, J = 6.6 Hz, 1H), 7.47 (dd, J = 8.8, 2.4 Hz, 1H), 7.45 (t, J = 8.4 Hz, 1H), 7.26 (d, J = 2.4 Hz, 1H), 7.11 (d, J = 8.0 Hz, 1H), 6.99-6.78 (m, 6H), 6.07 (s, 2H), 4.10 (brs, 2H), 3.79 (s, 3H), 3.65 (brs, 2H), 3.08 (brs, 2H), 2.13-2.02 (m, 2H). MW+2HCl: 530.45.",5,1,63,,,,,,,"combinatorial, Ullmann coupling in stage 1, mol. sieves used in stage 1",Reductive_amination / C_O_Coupling,0.0,|Ar-CHO|Ar-OH|HeteroAr-Br|RCH2-NH2 -> Bn-NHR|RCH2-NHR | bond_formed: C(ar)-O; C-N | bond_formed_labeled: C(ar)-O; C-N | bond_broken: Br-C(ar); C-O | spectators: Ar-OR|HeteroAr-H|HeteroAr-NHR|Quinoline | events: LGDisp+C-N+C-O | reaction_types: Reductive_amination+C_O_Coupling,high,1.0,0,
31-170-CAS-9181281,Reductive_amination,54,,,Oc1ccc(F)cc1.NCCCNc1ccnc2cc(Br)ccc12.COc1cccc(C=O)c1O>>COc1cccc(CNCCCNc2ccnc3cc(Oc4ccc(F)cc4)ccc23)c1O.Cl,"Journal of Medicinal Chemistry (2011), 54(20), 7084-7093","29421-75-8, 212392-65-9",1437786-93-0,"534-17-8, 16940-66-2, 7732-18-5, 7647-01-0","94-67-7, 7681-65-4","123-91-1, 67-56-1",,,,,,"General/Typical Procedure: Procedure for Parallel Synthesis of Compounds 9{x=1}: Ullmann Coupling. To a mixture of compound 8 (279 mg, 1 mmol) in 1,4-dioxane (6 mL) were added the phenol reagent (4 mmol), cs2CO3 (1.3 g, 4 mmol), 4 Å powder molecular sieves (~280 mg, dried in oven), salicylaldoxime (55 mg, 0.4 mmol) and copper(I) iodide (38 mg, 0.2 mmol). The mixture was heated to reflux and maintained at that temperature for 24 h and then cooled to room temperature. A solution of dichloromethane (10 mL) and methanol (1 mL) was added to the mixture. After filtration the solvents were removed in vacuo. The crude product was purified by flash chromatography (MeOH/TEA in CH2Cl2 = 10%/1% to 40%/4% gradient) to give the corresponding compound 9{x=1}. To a solution of compound 9{x} (0.1 0.2 mmol) in methanol (1 2 mL) was added 1 M aldehyde stock solution in methanol (1 equiv) After the mixture was stirred for 1 h, sodium borohydride (0.5 equiv) was added to the reaction mixture and the resulting mixture stirred for 30 min. The reaction was quenched by addition of water (2 mL). The aqueous portion was extracted with CH2Cl2 and the sample was concentrated in vacuo. The crude product was purified by flash chromotography (1% methanol in CH2Cl2 (12 mL) and 30% methanol in CH2Cl2 (16 mL)). The solvent was removed in vacuo and the product was suspended in 1.25 M HCl in methanol solution (1 mL). The solvent and excess of HCl were evaporated in vacuo to give the corresponding HCl salt.Structure115. Structure2. Yield 53.6%. 1H NMR (DMSO-d6): 13.58 (brs, 1H), 9.39 (brs, 2H), 8.94 (brs, 2H), 8.61 (d, J = 9.2 Hz, 1H), 8.49 (d, J = 7.2 Hz, 1H), 7.48 (dd, J = 9.2, 2.8 Hz, 1H), 7.43-7.36 (m, 2H), 7.35-7.29 (m, 2H), 7.19-7.16 (m, 1H), 7.01 (t, J = 8.0 Hz, 2H), 6.87-6.79 (m, 2H), 4.10 (s, 2H), 3.82 (s, 3H), 3.62 (brs, 2H), 3.04 (brs, 2H), 2.12-2.00 (m, 2H). MW+2HCl: 520.42.",5,1,54,,,,,,,"combinatorial, Ullmann coupling in stage 1, mol. sieves used in stage 1",Reductive_amination / C_O_Coupling,0.0,|Ar-CHO|Ar-OH|HeteroAr-Br|RCH2-NH2 -> Bn-NHR|RCH2-NHR | bond_formed: C-N; C(ar)-O | bond_formed_labeled: C-N; C(ar)-O | bond_broken: C-O; Br-C(ar) | spectators: Ar-F|Ar-OR|HeteroAr-H|HeteroAr-NHR|Quinoline | events: LGDisp+C-N+C-O | reaction_types: Reductive_amination+C_O_Coupling,high,1.0,0,
