reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,Reaction_Events,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
C_O_Coupling,C_O_Coupling,OCC1CCCCO1.Fc1ccc(I)cc1>>Fc1ccc(OCC2CCCCO2)cc1,|Ar-I|RCH2-OH -> Ar-OR | spectators: Ar-F|RCH2-OR,sig:LGDisp+C-O | form:C(ar)-O | form_labeled:C(ar)-O[Ar-OR] | break:C(ar)-I | redox:redox_neutral | redox_conf:0.65 | q:high(1.00) | kinds:c_o_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-O | break_cls:C-I | lg:I | nuc:O | ringd:0 | mech:SNAr | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:alcohol_or_phenol | amb:0,RCH2-OH,Ar-I,,Ar-OR,CuTC,,Na2CO3,,,,,,7152-42-3,MeCN,F / OR,"ACS Catalysis (2025), 15(16), 14161-14166",70,0.0
C_O_Coupling,C_O_Coupling,Cc1ccc(Br)cc1.Cc1ccc(O)cc1>>Cc1ccc(Oc2ccc(C)cc2)cc1,|Ar-Br|Ar-OH -> Ar-OR | spectators: Ar-Alkyl,sig:LGDisp+C-O | redox:redox_neutral | redox_conf:0.65 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_o_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-O | break_cls:Br-C | lg:Br | nuc:O | ringd:0 | anom:mapping_unreliable_fallback_used | mech:SNAr | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:alcohol_or_phenol | amb:0,Ar-Br,Ar-OH,,Ar-OR,"CuI/[(S,S)-Teth-MsDPEN-RuCl]",,Cs2CO3,,,,,,1251862-76-6,DMSO,,"RSC Advances (2012), 2(13), 5528-5530",75,-0.41
C_O_Coupling,C_O_Coupling,Oc1cccc(C(F)(F)F)c1.COc1cc([N+](=O)[O-])c2ncccc2c1Br>>COc1cc([N+](=O)[O-])c2ncccc2c1Oc1cccc(C(F)(F)F)c1,|Ar-OH|HeteroAr-Br -> HeteroAr-OR | spectators: Ar-CF3|Ar-NO2|HeteroAr-H|HeteroAr-OR|Quinoline,sig:LGDisp+C-O | redox:redox_neutral | redox_conf:0.65 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_o_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-O | break_cls:Br-C | lg:Br | nuc:O | ringd:0 | anom:mapping_unreliable_fallback_used | mech:SNAr | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:alcohol_or_phenol | amb:0,Ar-OH,HeteroAr-Br,,HeteroAr-OR,,,,,,,,,,,Quinoline / CF3 / HeteroAr / NO2 / OR,"Journal of Medicinal Chemistry (1982), 25(9), 1097-101",84,0.0
C_O_Coupling,C_O_Coupling,COCCOCCOCCO.[Na].Brc1ccc2cc3c(cc2c1)sc1c2cc4ccccc4cc2sc31>>COCCOCCOCCOc1ccc2cc3c(cc2c1)sc1c2cc4ccccc4cc2sc31,|Ar-Br|Inorganic|RCH2-OH -> Ar-OR | spectators: Benzothiophene|HeteroAr-H|RCH2-OR,sig:LGDisp+C-O | form:C(ar)-O | form_labeled:C(ar)-O[Ar-OR] | break:Br-C(ar) | redox:redox_neutral | redox_conf:0.65 | q:high(1.00) | kinds:c_o_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-O | break_cls:Br-C | lg:Br | nuc:O | ringd:0 | mech:SNAr | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:alcohol_or_phenol | amb:0,RCH2-OH,Inorganic,Ar-Br,Ar-OR,CuI,,,,,,,,14040-79-0,THF,Benzothiophene / HeteroAr / OR,"Journal of Organic Chemistry (2020), 85(1), 195-206",77,0.0
C_O_Coupling,C_O_Coupling,CC(C)(C)OC(=O)N1CCCCC1CCO.O=[N+]([O-])c1ccc(F)cc1>>CC(C)(C)OC(=O)N1CCCCC1CCOc1ccc([N+](=O)[O-])cc1,|Ar-F|RCH2-OH -> Ar-OR | spectators: Ar-NO2,sig:LGDisp+C-O | redox:redox_neutral | redox_conf:0.65 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_o_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-O | break_cls:C-F | lg:F | nuc:O | ringd:0 | anom:mapping_unreliable_fallback_used | mech:SNAr | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:alcohol_or_phenol | amb:0,RCH2-OH,Ar-F,,Ar-OR,,,NaH,,,,,,,DMF,NO2,"Journal of Enzyme Inhibition and Medicinal Chemistry (2024), 39(1), 2353711/1-2353711/23",84,0.34
C_O_Coupling,C_O_Coupling,CCCCCCCCCCCCO.Brc1ccc2cc(Br)cc-2cc1>>CCCCCCCCCCCCOc1ccc2cc(Br)cc-2cc1,|Ar-Br|RCH2-OH -> Ar-OR | spectators: Ar-Ar,sig:LGDisp+C-O | form:C(ar)-O | form_labeled:C(ar)-O[Ar-OR] | break:Br-C(ar) | redox:redox_neutral | redox_conf:0.65 | q:high(1.00) | kinds:c_o_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-O | break_cls:Br-C | lg:Br | nuc:O | ringd:0 | mech:SNAr | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:alcohol_or_phenol | amb:0,RCH2-OH,Ar-Br,,Ar-OR,,,NaH,,,,,,,THF,Br,"Soft Matter (2023), 19(13), 2397-2406",95,0.98
C_O_Coupling,C_O_Coupling,OC1CCOCC1.COc1cc(Br)cc(OC)c1>>COc1cc(OC)cc(OC2CCOCC2)c1,|Ar-Br|R2CH-OH -> Ar-OR | spectators: Ar-OR|RCH2-OR,sig:LGDisp+C-O | redox:redox_neutral | redox_conf:0.65 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_o_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-O | break_cls:Br-C | lg:Br | nuc:O | ringd:0 | anom:mapping_unreliable_fallback_used | mech:SNAr | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:alcohol_or_phenol | amb:0,R2CH-OH,Ar-Br,,Ar-OR,CuI,,NaOtBu,HCl,,,,,349121-37-5,Dioxane/H2O,OR,"Chemical Communications (Cambridge, United Kingdom) (2024), 60(69), 9210-9213",79,0.71
C_O_Coupling,Multi-Event:Ann+C-O+C-C,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1.N#Cc1c(F)c(F)c(F)c(F)c1F>>CC(C)(c1ccc(Oc2c(F)c(F)c(C#N)c(F)c2F)cc1)c1ccc(Oc2c(F)c(F)c(C#N)c(F)c2F)cc1,|Ar-OH -> Ar-OR | spectators: Ar-Alkyl|Ar-CN|Ar-F,"sig:Ann+C-O+C-C | redox:net_oxidation | redox_conf:0.55 | q:medium(0.70) | q_reason:mapping_unreliable_fallback_used,multi_transform_record_possible | kinds:c_c_bond_formation+c_o_bond_formation+intermolecular_or_multi_component+ring_closure_or_annulation | fam:annulation+bond_formation | mol:intermolecular_or_multi_component | form_cls:C-C;C-O | ringd:1 | anom:mapping_unreliable_fallback_used,multi_transform_record_possible | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:alcohol_or_phenol+carbon_nucleophile_like | amb:0",Ar-OH,Ar-F,,Ar-CN|Ar-F|Ar-OR,,,K2CO3,,,,,,"Sodiumsulfide,anhydrous",DMF/H2O,CN / F,"Polymer (2018), 135295-304",83,0.0
C_O_Coupling,C_O_Coupling,COc1ccc(O)c2ccccc12.N#Cc1c(F)c(F)c(F)c(F)c1C#N>>COc1ccc(Oc2c(F)c(F)c(C#N)c(C#N)c2F)c2ccccc12,|Ar-F|Ar-OH -> Ar-OR | spectators: Ar-CN|Ar-OR,sig:LGDisp+C-O | redox:redox_neutral | redox_conf:0.65 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_o_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-O | break_cls:C-F | lg:F | nuc:O | ringd:0 | anom:mapping_unreliable_fallback_used | mech:SNAr | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:alcohol_or_phenol | amb:0,Ar-OH,Ar-F,,Ar-OR,,,LiOH,,,,,,,DMSO,CN / F / OR,"Molecular Crystals and Liquid Crystals (2017), 644(1), 249-256",80,-0.98
C_O_Coupling,C_O_Coupling,CC(C)c1ccc(O)c(Br)c1.Brc1cnc(Br)cn1>>CC(C)c1ccc(Oc2cnc(Oc3ccc(C(C)C)cc3Br)cn2)c(Br)c1,|Ar-OH|HeteroAr-Br -> HeteroAr-OR | spectators: Ar-Alkyl|Ar-Br|HeteroAr-H|Pyrimidine,sig:LGDisp+C-O | redox:redox_neutral | redox_conf:0.65 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_o_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-O | break_cls:Br-C | lg:Br | nuc:O | ringd:0 | anom:mapping_unreliable_fallback_used | mech:SNAr | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:alcohol_or_phenol | amb:0,Ar-OH,HeteroAr-Br,,HeteroAr-OR,,,K2CO3,,,,,,,H2O/DMSO,Pyrimidine / Br / HeteroAr,"Journal of Materials Chemistry C: Materials for Optical and Electronic Devices (2024), 12(7), 2370-2378",92,0.91
